t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5025020E+02         9.3317574E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.6655540E-01         9.6499085E-01         3.2823777E-01         1.5954621E-02         2.1251666E-03         6.7995381E-01         9.3182623E-01         5.8544781E-02         7.6483034E-02         6.6943755E-03         6.6126525E-01         9.5066255E-01         1.9351906E-01         1.8423462E-01        -1.5465664E-02         6.8455070E-01         9.4385588E-01         1.2134145E-01         2.7351847E-01         3.6121491E-02         6.7608017E-01
  1.5025800E+02         9.3301100E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6643703E-01         9.6119297E-01         3.4074244E-01         1.1447053E-02         1.2192226E-02         6.7638034E-01         9.2933035E-01         4.5575455E-02         6.8364859E-02         1.6320189E-02         6.5820569E-01         9.5192200E-01         2.0181806E-01         1.7791434E-01        -2.0049402E-02         6.8567300E-01         9.4571418E-01         1.0831005E-01         2.6924387E-01         3.9262529E-02         6.7686689E-01
  1.5026580E+02         9.3290520E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6636074E-01         9.5707667E-01         3.5558894E-01         7.3347087E-03         2.2972882E-02         6.7219085E-01         9.2674220E-01         3.2387905E-02         6.3266315E-02         2.1185542E-02         6.5516418E-01         9.5509285E-01         2.0969847E-01         1.6641830E-01        -2.2574442E-02         6.8712032E-01         9.4739348E-01         1.0031372E-01         2.6422620E-01         4.2454932E-02         6.7766470E-01
  1.5027370E+02         9.3286043E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6632825E-01         9.5175284E-01         3.7152255E-01         5.5045937E-03         3.5549048E-02         6.6694164E-01         9.2414653E-01         1.9464612E-02         5.9022170E-02         2.4087459E-02         6.5235877E-01         9.5955896E-01         2.1821639E-01         1.5133843E-01        -2.2196485E-02         6.8866736E-01         9.4862968E-01         9.4887592E-02         2.6086515E-01         4.5796145E-02         6.7839491E-01
  1.5028140E+02         9.3286854E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6633373E-01         9.4474214E-01         3.8260075E-01         8.7876637E-03         4.8288509E-02         6.6080636E-01         9.2155111E-01         6.2572644E-03         5.5624552E-02         2.5222044E-02         6.5001035E-01         9.6418267E-01         2.2811696E-01         1.3524103E-01        -1.8822115E-02         6.8999439E-01         9.4930238E-01         8.9681335E-02         2.5816986E-01         5.0708037E-02         6.7898619E-01
  1.5028930E+02         9.3293810E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6638309E-01         9.3562114E-01         3.8167053E-01         1.9902078E-02         5.8806524E-02         6.5402579E-01         9.1869015E-01        -8.5679926E-03         5.2896589E-02         2.3452992E-02         6.4795572E-01         9.6834743E-01         2.4033995E-01         1.1891101E-01        -1.3466007E-02         6.9093966E-01         9.4945312E-01         8.2679562E-02         2.5478563E-01         5.8330834E-02         6.7938435E-01
  1.5029700E+02         9.3309271E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6649288E-01         9.2580318E-01         3.6433530E-01         3.8238060E-02         6.3672394E-02         6.4783013E-01         9.1567683E-01        -2.4767928E-02         5.1646553E-02         1.6952977E-02         6.4605546E-01         9.7146851E-01         2.5386932E-01         1.0366490E-01        -8.0449032E-03         6.9132876E-01         9.4911426E-01         7.3514350E-02         2.5125727E-01         6.7923367E-02         6.7945862E-01
  1.5030490E+02         9.3337399E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6669309E-01         9.1653925E-01         3.3350825E-01         6.0767565E-02         6.2475432E-02         6.4262104E-01         9.1269737E-01        -4.2572252E-02         5.2923914E-02         4.0459079E-03         6.4425588E-01         9.7359866E-01         2.6859868E-01         8.8541560E-02        -3.4870976E-03         6.9106567E-01         9.4840264E-01         6.1730612E-02         2.4858886E-01         7.8876592E-02         6.7916423E-01
  1.5031260E+02         9.3374383E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6695696E-01         9.0920973E-01         3.0201223E-01         8.1228912E-02         5.8497060E-02         6.3863391E-01         9.1031319E-01        -5.9141748E-02         5.7416443E-02        -1.3445550E-02         6.4288908E-01         9.7478968E-01         2.8378254E-01         7.3703602E-02         1.4179750E-04         6.9017750E-01         9.4755417E-01         4.8048686E-02         2.4760836E-01         8.9652605E-02         6.7856848E-01
  1.5032050E+02         9.3416154E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6725522E-01         9.0345609E-01         2.8189331E-01         9.7766466E-02         5.9019443E-02         6.3559669E-01         9.0874523E-01        -7.3953524E-02         6.6188529E-02        -3.2797836E-02         6.4219701E-01         9.7519958E-01         3.0036315E-01         5.8697090E-02         4.1402467E-03         6.8874121E-01         9.4672602E-01         3.2182198E-02         2.4831656E-01         9.9647000E-02         6.7775112E-01
