x0	i=0	x1	i=1	x2	i=2	
1.031031e-01 	 1.030311e-01 	1.031031e-01 	 1.031034e-01 	1.031031e-01 	 1.030984e-01 	 
1.041041e-01 	 1.040314e-01 	1.041041e-01 	 1.041045e-01 	1.041041e-01 	 1.040994e-01 	 
1.051051e-01 	 1.050316e-01 	1.051051e-01 	 1.051055e-01 	1.051051e-01 	 1.051003e-01 	 
1.061061e-01 	 1.060318e-01 	1.061061e-01 	 1.061065e-01 	1.061061e-01 	 1.061013e-01 	 
1.071071e-01 	 1.070320e-01 	1.071071e-01 	 1.071075e-01 	1.071071e-01 	 1.071022e-01 	 
1.081081e-01 	 1.080322e-01 	1.081081e-01 	 1.081085e-01 	1.081081e-01 	 1.081032e-01 	 
1.091091e-01 	 1.090323e-01 	1.091091e-01 	 1.091096e-01 	1.091091e-01 	 1.091041e-01 	 
1.101101e-01 	 1.100325e-01 	1.101101e-01 	 1.101106e-01 	1.101101e-01 	 1.101051e-01 	 
1.111111e-01 	 1.110327e-01 	1.111111e-01 	 1.111116e-01 	1.111111e-01 	 1.111060e-01 	 
1.121121e-01 	 1.120328e-01 	1.121121e-01 	 1.121126e-01 	1.121121e-01 	 1.121070e-01 	 
1.131131e-01 	 1.130330e-01 	1.131131e-01 	 1.131136e-01 	1.131131e-01 	 1.131080e-01 	 
1.141141e-01 	 1.140331e-01 	1.141141e-01 	 1.141147e-01 	1.141141e-01 	 1.141089e-01 	 
1.151151e-01 	 1.150333e-01 	1.151151e-01 	 1.151157e-01 	1.151151e-01 	 1.151099e-01 	 
1.161161e-01 	 1.160334e-01 	1.161161e-01 	 1.161167e-01 	1.161161e-01 	 1.161108e-01 	 
1.171171e-01 	 1.170335e-01 	1.171171e-01 	 1.171177e-01 	1.171171e-01 	 1.171118e-01 	 
1.181181e-01 	 1.180336e-01 	1.181181e-01 	 1.181188e-01 	1.181181e-01 	 1.181127e-01 	 
1.191191e-01 	 1.190338e-01 	1.191191e-01 	 1.191198e-01 	1.191191e-01 	 1.191137e-01 	 
1.201201e-01 	 1.200338e-01 	1.201201e-01 	 1.201208e-01 	1.201201e-01 	 1.201146e-01 	 
