x0	G1	x1	G2	x2	G3	x3	G4	
-1.981020e-01 	 -7.948717e-01 	1.767670e-01 	 -5.246018e-01 	-4.771090e-02 	 -6.424285e-01 	-4.771090e-02 	 -6.680702e-01 	 
-1.932150e-01 	 -7.925029e-01 	1.852830e-01 	 -5.258506e-01 	-4.071420e-02 	 -6.344462e-01 	-4.071420e-02 	 -6.595463e-01 	 
-1.882980e-01 	 -7.896977e-01 	1.937270e-01 	 -5.270246e-01 	-3.370590e-02 	 -6.261895e-01 	-3.370590e-02 	 -6.513264e-01 	 
-1.833540e-01 	 -7.864400e-01 	2.020960e-01 	 -5.282495e-01 	-2.668770e-02 	 -6.180477e-01 	-2.668770e-02 	 -6.436200e-01 	 
-1.783830e-01 	 -7.828211e-01 	2.103880e-01 	 -5.296609e-01 	-1.966130e-02 	 -6.107623e-01 	-1.966130e-02 	 -6.361705e-01 	 
-1.733850e-01 	 -7.789814e-01 	2.185980e-01 	 -5.311937e-01 	-1.262830e-02 	 -6.042279e-01 	-1.262830e-02 	 -6.282305e-01 	 
-1.683610e-01 	 -7.750019e-01 	2.267240e-01 	 -5.327787e-01 	-5.590530e-03 	 -5.983563e-01 	-5.590530e-03 	 -6.197229e-01 	 
-1.633120e-01 	 -7.707946e-01 	2.347620e-01 	 -5.343746e-01 	1.450460e-03 	 -5.930764e-01 	1.450460e-03 	 -6.115498e-01 	 
-1.582380e-01 	 -7.664617e-01 	2.427100e-01 	 -5.359477e-01 	8.492950e-03 	 -5.881809e-01 	8.492950e-03 	 -6.041831e-01 	 
-1.531410e-01 	 -7.621834e-01 	2.505650e-01 	 -5.375353e-01 	1.553520e-02 	 -5.838033e-01 	1.553520e-02 	 -5.974887e-01 	 
-1.480200e-01 	 -7.579260e-01 	2.583240e-01 	 -5.391155e-01 	2.257560e-02 	 -5.797824e-01 	2.257560e-02 	 -5.910660e-01 	 
-1.428770e-01 	 -7.534993e-01 	2.659840e-01 	 -5.405402e-01 	2.961240e-02 	 -5.760931e-01 	2.961240e-02 	 -5.842409e-01 	 
-1.377130e-01 	 -7.487961e-01 	2.735420e-01 	 -5.417583e-01 	3.664400e-02 	 -5.729022e-01 	3.664400e-02 	 -5.772015e-01 	 
-1.325270e-01 	 -7.440682e-01 	2.809960e-01 	 -5.428396e-01 	4.366860e-02 	 -5.698839e-01 	4.366860e-02 	 -5.707717e-01 	 
-1.273210e-01 	 -7.394889e-01 	2.883430e-01 	 -5.438192e-01 	5.068460e-02 	 -5.668554e-01 	5.068460e-02 	 -5.651119e-01 	 
-1.220950e-01 	 -7.347955e-01 	2.955810e-01 	 -5.446968e-01 	5.769020e-02 	 -5.638613e-01 	5.769020e-02 	 -5.600264e-01 	 
-1.168510e-01 	 -7.298674e-01 	3.027070e-01 	 -5.454420e-01 	6.468380e-02 	 -5.608729e-01 	6.468380e-02 	 -5.556484e-01 	 
-1.115890e-01 	 -7.246390e-01 	3.097180e-01 	 -5.460240e-01 	7.166380e-02 	 -5.580909e-01 	7.166380e-02 	 -5.522670e-01 	 
-1.063090e-01 	 -7.190991e-01 	3.166140e-01 	 -5.464640e-01 	7.862840e-02 	 -5.557635e-01 	7.862840e-02 	 -5.497574e-01 	 
-1.010120e-01 	 -7.138516e-01 	3.233900e-01 	 -5.467686e-01 	8.557600e-02 	 -5.538256e-01 	8.557600e-02 	 -5.477324e-01 	 
-9.569990e-02 	 -7.089711e-01 	3.300460e-01 	 -5.469183e-01 	9.250500e-02 	 -5.520552e-01 	9.250500e-02 	 -5.459398e-01 	 
-9.037240e-02 	 -7.036195e-01 	3.365800e-01 	 -5.469223e-01 	9.941360e-02 	 -5.503848e-01 	9.941360e-02 	 -5.441947e-01 	 
-8.503060e-02 	 -6.974348e-01 	3.429890e-01 	 -5.467804e-01 	1.063000e-01 	 -5.488452e-01 	1.063000e-01 	 -5.426110e-01 	 
-7.967510e-02 	 -6.905899e-01 	3.492710e-01 	 -5.464675e-01 	1.131630e-01 	 -5.473745e-01 	1.131630e-01 	 -5.414624e-01 	 
