x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	
4.517594e-01 	 3.800411e-03 	nan          	nan          	4.517594e-01 	 1.861805e-04 	nan          	nan          	 
4.556781e-01 	 3.725630e-03 	nan          	nan          	4.556781e-01 	 1.578002e-04 	nan          	nan          	 
4.593906e-01 	 3.654836e-03 	nan          	nan          	4.593906e-01 	 1.315459e-04 	nan          	nan          	 
4.629025e-01 	 3.586705e-03 	nan          	nan          	4.629025e-01 	 1.075103e-04 	nan          	nan          	 
4.662198e-01 	 3.520464e-03 	nan          	nan          	4.662198e-01 	 8.543720e-05 	nan          	nan          	 
4.693491e-01 	 3.456710e-03 	nan          	nan          	4.693491e-01 	 6.505884e-05 	nan          	nan          	 
4.722976e-01 	 3.396010e-03 	nan          	nan          	4.722976e-01 	 4.674720e-05 	nan          	nan          	 
4.750729e-01 	 3.338937e-03 	nan          	nan          	4.750729e-01 	 2.972202e-05 	nan          	nan          	 
4.776833e-01 	 3.283996e-03 	nan          	nan          	4.776833e-01 	 1.432343e-05 	nan          	nan          	 
4.801378e-01 	 3.230673e-03 	nan          	nan          	4.801378e-01 	 7.621370e-07 	nan          	nan          	 
4.824458e-01 	 3.180045e-03 	nan          	nan          	4.824458e-01 	 -1.279326e-05 	nan          	nan          	 
4.846173e-01 	 3.130805e-03 	nan          	nan          	4.846173e-01 	 -2.351228e-05 	nan          	nan          	 
4.866631e-01 	 3.085486e-03 	nan          	nan          	4.866631e-01 	 -3.352233e-05 	nan          	nan          	 
4.885946e-01 	 3.044925e-03 	nan          	nan          	4.885946e-01 	 -4.471140e-05 	nan          	nan          	 
4.904236e-01 	 3.005642e-03 	nan          	nan          	4.904236e-01 	 -5.103025e-05 	nan          	nan          	 
4.921628e-01 	 2.973036e-03 	nan          	nan          	4.921628e-01 	 -6.099913e-05 	nan          	nan          	 
4.938255e-01 	 2.945277e-03 	nan          	nan          	4.938255e-01 	 -6.603067e-05 	nan          	nan          	 
4.954256e-01 	 2.918205e-03 	nan          	nan          	4.954256e-01 	 -6.576831e-05 	nan          	nan          	 
4.969777e-01 	 2.904034e-03 	nan          	nan          	4.969777e-01 	 -8.992807e-05 	nan          	nan          	 
4.984972e-01 	 2.904906e-03 	nan          	nan          	4.984972e-01 	 -4.102902e-05 	nan          	nan          	 
5.000000e-01 	 2.916233e-03 	nan          	nan          	5.000000e-01 	 1.622809e-04 	nan          	nan          	 
