x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
-9.875774e-02 	 -1.808000e-04 	-9.875774e-02 	 -5.600000e-06 	-1.919223e-01 	 -6.892000e-04 	-2.696781e-01 	 -1.284667e-03 	-3.318447e-01 	 -1.828000e-03 	4.782020e-01 	 2.810780e-03 	 
-9.131944e-02 	 -2.928000e-04 	-9.131944e-02 	 5.400000e-06 	-1.869835e-01 	 -6.484000e-04 	-2.639664e-01 	 -1.243867e-03 	-3.288332e-01 	 -1.802267e-03 	nan          	nan          	 
-8.386105e-02 	 -4.018000e-04 	-8.386105e-02 	 8.000000e-05 	-1.820447e-01 	 -6.264000e-04 	-2.581944e-01 	 -1.204133e-03 	-3.258118e-01 	 -1.773733e-03 	nan          	nan          	 
-7.637256e-02 	 -4.006000e-04 	-7.637256e-02 	 2.492000e-04 	-1.771059e-01 	 -6.022000e-04 	-2.523522e-01 	 -1.167067e-03 	-3.227702e-01 	 -1.744133e-03 	nan          	nan          	 
-6.887402e-02 	 -3.258000e-04 	-6.887402e-02 	 3.816000e-04 	-1.721570e-01 	 -5.590000e-04 	-2.464397e-01 	 -1.129333e-03 	-3.197186e-01 	 -1.714133e-03 	nan          	nan          	 
-6.135541e-02 	 -3.602000e-04 	-6.135541e-02 	 1.846000e-04 	-1.672082e-01 	 -5.144000e-04 	-2.404770e-01 	 -1.093200e-03 	-3.166569e-01 	 -1.684400e-03 	nan          	nan          	 
-5.381673e-02 	 -6.790000e-04 	-5.381673e-02 	 -5.790000e-04 	-1.622594e-01 	 -4.820000e-04 	-2.344441e-01 	 -1.057733e-03 	-3.135752e-01 	 -1.654800e-03 	nan          	nan          	 
-4.625796e-02 	 -1.385000e-03 	-4.625796e-02 	 -1.853200e-03 	-1.573005e-01 	 -4.542000e-04 	-2.283509e-01 	 -1.023200e-03 	-3.104734e-01 	 -1.625467e-03 	nan          	nan          	 
-3.868916e-02 	 -2.473600e-03 	-3.868916e-02 	 -3.327800e-03 	-1.523416e-01 	 -4.208000e-04 	-2.222075e-01 	 -9.916000e-04 	-3.073716e-01 	 -1.596267e-03 	nan          	nan          	 
-3.111032e-02 	 -3.797600e-03 	-3.111032e-02 	 -4.740400e-03 	-1.473828e-01 	 -3.778000e-04 	-2.159939e-01 	 -9.622667e-04 	-3.042497e-01 	 -1.567200e-03 	nan          	nan          	 
-2.351141e-02 	 -5.148400e-03 	-2.351141e-02 	 -6.065800e-03 	-1.424239e-01 	 -3.392000e-04 	-2.097300e-01 	 -9.352000e-04 	-3.011077e-01 	 -1.537867e-03 	nan          	nan          	 
-1.590245e-02 	 -6.300600e-03 	-1.590245e-02 	 -7.372200e-03 	-1.374550e-01 	 -3.198000e-04 	-2.034160e-01 	 -9.078667e-04 	-2.979557e-01 	 -1.508667e-03 	nan          	nan          	 
-8.293498e-03 	 -6.932000e-03 	-8.293498e-03 	 -8.705800e-03 	-1.324861e-01 	 -3.378000e-04 	-1.970417e-01 	 -8.809333e-04 	-2.947937e-01 	 -1.480000e-03 	nan          	nan          	 
-6.745049e-04 	 -6.779200e-03 	-6.745049e-04 	 -1.010560e-02 	-1.275172e-01 	 -3.934000e-04 	-1.906173e-01 	 -8.530667e-04 	-2.916116e-01 	 -1.453067e-03 	nan          	nan          	 
6.954526e-03 	 -6.116600e-03 	6.954526e-03 	 -1.135560e-02 	-1.225382e-01 	 -4.642000e-04 	-1.841326e-01 	 -8.248000e-04 	-2.884195e-01 	 -1.425733e-03 	nan          	nan          	 
1.459359e-02 	 -5.747600e-03 	1.459359e-02 	 -1.181640e-02 	-1.175693e-01 	 -5.188000e-04 	-1.776078e-01 	 -7.946667e-04 	-2.852072e-01 	 -1.398400e-03 	nan          	nan          	 
2.222263e-02 	 -6.113400e-03 	2.222263e-02 	 -1.105320e-02 	-1.125803e-01 	 -5.458000e-04 	-1.710328e-01 	 -7.656000e-04 	-2.819850e-01 	 -1.373733e-03 	nan          	nan          	 
2.986169e-02 	 -6.736600e-03 	2.986169e-02 	 -9.567200e-03 	-1.076014e-01 	 -5.680000e-04 	-1.644176e-01 	 -7.400000e-04 	-2.787527e-01 	 -1.346667e-03 	nan          	nan          	 
3.750076e-02 	 -6.874200e-03 	3.750076e-02 	 -8.321200e-03 	-1.026124e-01 	 -6.142000e-04 	-1.577522e-01 	 -7.201333e-04 	-2.755003e-01 	 -1.323733e-03 	nan          	nan          	 
4.513983e-02 	 -6.360000e-03 	4.513983e-02 	 -7.614000e-03 	-9.762342e-02 	 -6.530000e-04 	-1.510367e-01 	 -7.052000e-04 	-2.722379e-01 	 -1.298400e-03 	nan          	nan          	 
5.276886e-02 	 -5.655000e-03 	5.276886e-02 	 -6.990400e-03 	-9.263444e-02 	 -6.156000e-04 	-1.442910e-01 	 -7.040000e-04 	-2.689554e-01 	 -1.274800e-03 	nan          	nan          	 
6.039789e-02 	 -5.224800e-03 	6.039789e-02 	 -6.066800e-03 	-8.764546e-02 	 -4.722000e-04 	-1.374951e-01 	 -7.192000e-04 	-2.656629e-01 	 -1.252400e-03 	nan          	nan          	 
6.802692e-02 	 -5.015000e-03 	6.802692e-02 	 -4.948800e-03 	-8.264643e-02 	 -2.684000e-04 	-1.306692e-01 	 -7.269333e-04 	-2.623603e-01 	 -1.230533e-03 	nan          	nan          	 
7.563588e-02 	 -4.517400e-03 	7.563588e-02 	 -3.878800e-03 	-7.764741e-02 	 -6.540000e-05 	-1.238030e-01 	 -6.974667e-04 	-2.590377e-01 	 -1.209333e-03 	nan          	nan          	 
8.324483e-02 	 -3.299000e-03 	8.324483e-02 	 -2.848000e-03 	-7.263835e-02 	 7.920000e-05 	-1.168968e-01 	 -6.188000e-04 	-2.557050e-01 	 -1.188000e-03 	nan          	nan          	 
9.084375e-02 	 -1.520000e-03 	9.084375e-02 	 -1.669600e-03 	-6.762929e-02 	 9.980000e-05 	-1.099704e-01 	 -4.873333e-04 	-2.523623e-01 	 -1.167067e-03 	nan          	nan          	 
9.843263e-02 	 2.860000e-04 	9.843263e-02 	 -2.112000e-04 	-6.262023e-02 	 -1.860000e-05 	-1.030039e-01 	 -3.029333e-04 	-2.489995e-01 	 -1.146133e-03 	nan          	nan          	 
1.060115e-01 	 1.707800e-03 	1.060115e-01 	 1.495600e-03 	-5.761117e-02 	 -1.850000e-04 	-9.600727e-02 	 -1.166667e-04 	-2.456266e-01 	 -1.125867e-03 	nan          	nan          	 
1.135702e-01 	 2.629600e-03 	1.135702e-01 	 3.182200e-03 	-5.259207e-02 	 -3.264000e-04 	-8.898054e-02 	 -1.960000e-05 	-2.422337e-01 	 -1.105067e-03 	nan          	nan          	 
1.211190e-01 	 3.245600e-03 	1.211190e-01 	 4.476000e-03 	-4.757297e-02 	 -5.508000e-04 	-8.193372e-02 	 -4.933333e-05 	-2.388308e-01 	 -1.084933e-03 	nan          	nan          	 
1.286476e-01 	 3.955600e-03 	1.286476e-01 	 5.210800e-03 	-4.255387e-02 	 -1.076800e-03 	-7.486683e-02 	 -1.996000e-04 	-2.354178e-01 	 -1.064800e-03 	nan          	nan          	 
1.361562e-01 	 4.962000e-03 	1.361562e-01 	 5.532800e-03 	-3.753477e-02 	 -1.966600e-03 	-6.776982e-02 	 -5.634667e-04 	-2.319947e-01 	 -1.044267e-03 	nan          	nan          	 
1.436447e-01 	 5.986600e-03 	1.436447e-01 	 5.643200e-03 	-3.250563e-02 	 -2.999200e-03 	-6.065274e-02 	 -1.318800e-03 	-2.285516e-01 	 -1.025200e-03 	nan          	nan          	 
1.511131e-01 	 6.707200e-03 	1.511131e-01 	 5.543200e-03 	-2.747649e-02 	 -3.927600e-03 	-5.351558e-02 	 -2.520400e-03 	-2.250985e-01 	 -1.006667e-03 	nan          	nan          	 
1.585614e-01 	 7.136800e-03 	1.585614e-01 	 5.226200e-03 	-2.243732e-02 	 -4.730600e-03 	-4.636838e-02 	 -4.015733e-03 	-2.216253e-01 	 -9.886667e-04 	nan          	nan          	 
1.659897e-01 	 7.344800e-03 	1.659897e-01 	 4.963200e-03 	-1.740818e-02 	 -5.470200e-03 	-3.920111e-02 	 -5.594000e-03 	-2.181521e-01 	 -9.710667e-04 	nan          	nan          	 
1.733979e-01 	 7.234200e-03 	1.733979e-01 	 5.116800e-03 	-1.236901e-02 	 -6.110400e-03 	-3.202380e-02 	 -7.085333e-03 	-2.146588e-01 	 -9.537333e-04 	nan          	nan          	 
1.807760e-01 	 6.834800e-03 	1.807760e-01 	 5.614600e-03 	-7.319792e-03 	 -6.605400e-03 	-2.483645e-02 	 -8.297067e-03 	-2.111554e-01 	 -9.380000e-04 	nan          	nan          	 
1.881239e-01 	 6.451400e-03 	1.881239e-01 	 5.974600e-03 	-2.280617e-03 	 -7.104400e-03 	-1.763906e-02 	 -9.023467e-03 	-2.076320e-01 	 -9.229333e-04 	nan          	nan          	 
