x0	T1	x1	T2	
4.964395e-01 	 -5.331161e-04 	4.964395e-01 	 -9.412066e-04 	 
4.968691e-01 	 -5.013233e-04 	4.968691e-01 	 -8.896664e-04 	 
4.972869e-01 	 -4.571349e-04 	4.972869e-01 	 -8.285224e-04 	 
4.976942e-01 	 -4.166443e-04 	4.976942e-01 	 -7.746501e-04 	 
4.980926e-01 	 -3.335165e-04 	4.980926e-01 	 -6.847286e-04 	 
4.984833e-01 	 -3.129374e-04 	4.984833e-01 	 -6.577451e-04 	 
4.988679e-01 	 -2.211844e-04 	4.988679e-01 	 -5.609962e-04 	 
4.992479e-01 	 -3.315174e-04 	4.992479e-01 	 -6.567659e-04 	 
4.996247e-01 	 -7.254921e-04 	4.996247e-01 	 -1.001356e-03 	 
5.000000e-01 	 -7.129548e-04 	5.000000e-01 	 -8.734781e-04 	 
