x0	T1	x1	T2	x2	T3	x3	T4	x4	avg	
-3.829007e-01 	 1.697471e-03 	-3.829007e-01 	 -7.371444e-03 	-3.829007e-01 	 2.580205e-03 	-3.829007e-01 	 -6.078670e-04 	-3.975987e-01 	 1.177735e-03 	 
-3.801112e-01 	 2.253611e-03 	-3.801112e-01 	 -8.395405e-03 	-3.801112e-01 	 2.383416e-03 	-3.801112e-01 	 -7.688375e-04 	-3.947768e-01 	 1.034564e-03 	 
-3.772762e-01 	 3.041465e-03 	-3.772762e-01 	 -9.429252e-03 	-3.772762e-01 	 2.042258e-03 	-3.772762e-01 	 -9.240974e-04 	-3.919083e-01 	 9.198783e-04 	 
-3.743956e-01 	 3.586013e-03 	-3.743956e-01 	 -1.029076e-02 	-3.743956e-01 	 2.543684e-03 	-3.743956e-01 	 -1.022220e-03 	-3.889933e-01 	 8.309773e-04 	 
-3.714696e-01 	 3.734568e-03 	-3.714696e-01 	 -1.092800e-02 	-3.714696e-01 	 3.426225e-03 	-3.714696e-01 	 -1.058915e-03 	-3.860318e-01 	 7.428387e-04 	 
-3.684980e-01 	 3.639091e-03 	-3.684980e-01 	 -1.137148e-02 	-3.684980e-01 	 3.724996e-03 	-3.684980e-01 	 -1.069423e-03 	-3.830236e-01 	 6.580314e-04 	 
-3.654809e-01 	 3.340433e-03 	-3.654809e-01 	 -1.158542e-02 	-3.654809e-01 	 3.802703e-03 	-3.654809e-01 	 -1.087266e-03 	-3.799690e-01 	 5.953054e-04 	 
-3.624185e-01 	 3.100638e-03 	-3.624185e-01 	 -1.173211e-02 	-3.624185e-01 	 4.311816e-03 	-3.624185e-01 	 -1.119861e-03 	-3.768680e-01 	 5.613596e-04 	 
-3.593107e-01 	 3.108162e-03 	-3.593107e-01 	 -1.204131e-02 	-3.593107e-01 	 4.735371e-03 	-3.593107e-01 	 -1.156523e-03 	-3.737206e-01 	 5.342653e-04 	 
-3.561577e-01 	 3.043298e-03 	-3.561577e-01 	 -1.241496e-02 	-3.561577e-01 	 4.421965e-03 	-3.561577e-01 	 -1.183816e-03 	-3.705270e-01 	 4.844553e-04 	 
-3.529596e-01 	 2.758437e-03 	-3.529596e-01 	 -1.246865e-02 	-3.529596e-01 	 3.879454e-03 	-3.529596e-01 	 -1.192259e-03 	-3.672872e-01 	 4.269930e-04 	 
-3.497164e-01 	 2.614510e-03 	-3.497164e-01 	 -1.189346e-02 	-3.497164e-01 	 3.858451e-03 	-3.497164e-01 	 -1.186394e-03 	-3.640014e-01 	 4.202503e-04 	 
-3.464285e-01 	 2.702697e-03 	-3.464285e-01 	 -1.081760e-02 	-3.464285e-01 	 3.971804e-03 	-3.464285e-01 	 -1.185271e-03 	-3.606697e-01 	 5.023653e-04 	 
-3.430957e-01 	 2.665203e-03 	-3.430957e-01 	 -9.637346e-03 	-3.430957e-01 	 3.833584e-03 	-3.430957e-01 	 -1.206386e-03 	-3.572923e-01 	 6.367693e-04 	 
-3.397186e-01 	 2.448373e-03 	-3.397186e-01 	 -8.294758e-03 	-3.397186e-01 	 3.846374e-03 	-3.397186e-01 	 -1.232919e-03 	-3.538693e-01 	 7.591312e-04 	 
-3.362970e-01 	 2.120018e-03 	-3.362970e-01 	 -6.532031e-03 	-3.362970e-01 	 3.973566e-03 	-3.362970e-01 	 -1.223673e-03 	-3.504010e-01 	 8.573889e-04 	 
-3.328313e-01 	 1.644217e-03 	-3.328313e-01 	 -4.542873e-03 	-3.328313e-01 	 3.808702e-03 	-3.328313e-01 	 -1.182002e-03 	-3.468875e-01 	 9.513766e-04 	 
-3.293217e-01 	 1.286085e-03 	-3.293217e-01 	 -2.590257e-03 	-3.293217e-01 	 3.401221e-03 	-3.293217e-01 	 -1.159465e-03 	-3.433292e-01 	 1.044521e-03 	 
-3.257684e-01 	 1.279437e-03 	-3.257684e-01 	 -7.217106e-04 	-3.257684e-01 	 2.979579e-03 	-3.257684e-01 	 -1.172247e-03 	-3.397261e-01 	 1.141794e-03 	 
-3.221716e-01 	 1.402832e-03 	-3.221716e-01 	 1.080728e-03 	-3.221716e-01 	 2.628030e-03 	-3.221716e-01 	 -1.187683e-03 	-3.360786e-01 	 1.255919e-03 	 
-3.185317e-01 	 1.442160e-03 	-3.185317e-01 	 2.808744e-03 	-3.185317e-01 	 2.390312e-03 	-3.185317e-01 	 -1.195268e-03 	-3.323869e-01 	 1.381641e-03 	 
-3.148488e-01 	 1.367331e-03 	-3.148488e-01 	 4.318382e-03 	-3.148488e-01 	 2.126629e-03 	-3.148488e-01 	 -1.207479e-03 	-3.286513e-01 	 1.481891e-03 	 
-3.111233e-01 	 1.148625e-03 	-3.111233e-01 	 5.292951e-03 	-3.111233e-01 	 1.695798e-03 	-3.111233e-01 	 -1.199832e-03 	-3.248721e-01 	 1.521552e-03 	 
-3.073556e-01 	 8.340090e-04 	-3.073556e-01 	 5.590098e-03 	-3.073556e-01 	 1.353579e-03 	-3.073556e-01 	 -1.148599e-03 	-3.210497e-01 	 1.524148e-03 	 
-3.035458e-01 	 5.514441e-04 	-3.035458e-01 	 5.545487e-03 	-3.035458e-01 	 1.285261e-03 	-3.035458e-01 	 -1.106405e-03 	-3.171842e-01 	 1.525056e-03 	 
-2.996944e-01 	 3.700572e-04 	-2.996944e-01 	 5.727720e-03 	-2.996944e-01 	 1.183567e-03 	-2.996944e-01 	 -1.140282e-03 	-3.132762e-01 	 1.500243e-03 	 
-2.958016e-01 	 2.702805e-04 	-2.958016e-01 	 6.393422e-03 	-2.958016e-01 	 8.446216e-04 	-2.958016e-01 	 -1.226604e-03 	-3.093258e-01 	 1.441071e-03 	 
-2.918678e-01 	 2.523356e-04 	-2.918678e-01 	 7.249014e-03 	-2.918678e-01 	 5.315627e-04 	-2.918678e-01 	 -1.304501e-03 	-3.053335e-01 	 1.405973e-03 	 
-2.878935e-01 	 3.424645e-04 	-2.878935e-01 	 7.760816e-03 	-2.878935e-01 	 4.253707e-04 	-2.878935e-01 	 -1.373323e-03 	-3.012997e-01 	 1.412875e-03 	 
-2.838789e-01 	 4.236028e-04 	-2.838789e-01 	 7.822989e-03 	-2.838789e-01 	 3.749086e-04 	-2.838789e-01 	 -1.464728e-03 	-2.972248e-01 	 1.412955e-03 	 
-2.798245e-01 	 3.946350e-04 	-2.798245e-01 	 7.807319e-03 	-2.798245e-01 	 3.856284e-04 	-2.798245e-01 	 -1.562804e-03 	-2.931090e-01 	 1.405156e-03 	 
-2.757306e-01 	 4.046563e-04 	-2.757306e-01 	 7.825745e-03 	-2.757306e-01 	 5.739435e-04 	-2.757306e-01 	 -1.617998e-03 	-2.889530e-01 	 1.430401e-03 	 
-2.715978e-01 	 5.859685e-04 	-2.715978e-01 	 7.613183e-03 	-2.715978e-01 	 7.832400e-04 	-2.715978e-01 	 -1.614335e-03 	-2.847570e-01 	 1.466839e-03 	 
-2.674264e-01 	 8.691705e-04 	-2.674264e-01 	 7.179632e-03 	-2.674264e-01 	 8.221992e-04 	-2.674264e-01 	 -1.582723e-03 	-2.805215e-01 	 1.464099e-03 	 
