x0	T1	x1	T2	x2	T3	
-1.420733e-01 	 -1.012874e-03 	-1.420733e-01 	 -5.334861e-04 	-1.420733e-01 	 -2.570529e-03 	 
-1.370377e-01 	 -9.884905e-04 	-1.370377e-01 	 -6.357175e-04 	-1.370377e-01 	 -2.503245e-03 	 
-1.319802e-01 	 -7.830146e-04 	-1.319802e-01 	 -3.552485e-04 	-1.319802e-01 	 -2.416724e-03 	 
-1.269015e-01 	 -6.360215e-04 	-1.269015e-01 	 3.762947e-06 	-1.269015e-01 	 -2.274345e-03 	 
-1.218023e-01 	 -6.281511e-04 	-1.218023e-01 	 5.192394e-05 	-1.218023e-01 	 -2.112261e-03 	 
-1.166834e-01 	 -6.418187e-04 	-1.166834e-01 	 -8.583290e-05 	-1.166834e-01 	 -1.971714e-03 	 
-1.115453e-01 	 -5.859793e-04 	-1.115453e-01 	 -2.019052e-04 	-1.115453e-01 	 -1.841866e-03 	 
-1.063889e-01 	 -5.118105e-04 	-1.063889e-01 	 -3.025272e-04 	-1.063889e-01 	 -1.708457e-03 	 
-1.012149e-01 	 -5.574746e-04 	-1.012149e-01 	 -4.146086e-04 	-1.012149e-01 	 -1.594482e-03 	 
-9.602398e-02 	 -7.177356e-04 	-9.602398e-02 	 -4.706311e-04 	-9.602398e-02 	 -1.506596e-03 	 
-9.081687e-02 	 -8.474645e-04 	-9.081687e-02 	 -4.180363e-04 	-9.081687e-02 	 -1.426808e-03 	 
-8.559431e-02 	 -9.153497e-04 	-8.559431e-02 	 -3.475104e-04 	-8.559431e-02 	 -1.362658e-03 	 
-8.035704e-02 	 -9.100048e-04 	-8.035704e-02 	 -3.696113e-04 	-8.035704e-02 	 -1.318311e-03 	 
-7.510580e-02 	 -7.157719e-04 	-7.510580e-02 	 -4.271443e-04 	-7.510580e-02 	 -1.241124e-03 	 
-6.984135e-02 	 -4.256118e-04 	-6.984135e-02 	 -4.147850e-04 	-6.984135e-02 	 -1.089669e-03 	 
-6.456441e-02 	 -3.609122e-04 	-6.456441e-02 	 -3.534523e-04 	-6.456441e-02 	 -9.307328e-04 	 
-5.927577e-02 	 -5.446718e-04 	-5.927577e-02 	 -3.180941e-04 	-5.927577e-02 	 -8.647309e-04 	 
-5.397616e-02 	 -6.851551e-04 	-5.397616e-02 	 -3.259514e-04 	-5.397616e-02 	 -8.882576e-04 	 
-4.866635e-02 	 -6.693583e-04 	-4.866635e-02 	 -3.569612e-04 	-4.866635e-02 	 -9.134585e-04 	 
-4.334711e-02 	 -6.114555e-04 	-4.334711e-02 	 -3.997301e-04 	-4.334711e-02 	 -8.876413e-04 	 
-3.801919e-02 	 -5.817139e-04 	-3.801919e-02 	 -4.403089e-04 	-3.801919e-02 	 -8.248337e-04 	 
-3.268336e-02 	 -5.617208e-04 	-3.268336e-02 	 -4.583629e-04 	-3.268336e-02 	 -7.573784e-04 	 
-2.734040e-02 	 -5.411536e-04 	-2.734040e-02 	 -4.503332e-04 	-2.734040e-02 	 -7.062799e-04 	 
-2.199108e-02 	 -5.352445e-04 	-2.199108e-02 	 -4.238885e-04 	-2.199108e-02 	 -6.749347e-04 	 
-1.663616e-02 	 -5.433935e-04 	-1.663616e-02 	 -3.894053e-04 	-1.663616e-02 	 -6.514672e-04 	 
-1.127644e-02 	 -5.471649e-04 	-1.127644e-02 	 -3.709781e-04 	-1.127644e-02 	 -6.263208e-04 	 
-5.912673e-03 	 -5.446227e-04 	-5.912673e-03 	 -3.784803e-04 	-5.912673e-03 	 -6.009264e-04 	 
-5.456544e-04 	 -5.487287e-04 	-5.456544e-04 	 -3.835484e-04 	-5.456544e-04 	 -5.805537e-04 	 
4.823841e-03 	 -5.598424e-04 	4.823841e-03 	 -3.639625e-04 	4.823841e-03 	 -5.661516e-04 	 
1.019503e-02 	 -5.699357e-04 	1.019503e-02 	 -3.385784e-04 	1.019503e-02 	 -5.559595e-04 	 
1.556714e-02 	 -5.788071e-04 	1.556714e-02 	 -3.333528e-04 	1.556714e-02 	 -5.501119e-04 	 
