x0	G1	x1	G2	x2	G3	x3	G4	
-3.830235e-01 	 7.844121e-04 	-2.306627e-01 	 2.465065e-04 	-3.305453e-01 	 1.104585e-03 	-3.305451e-01 	 1.161681e-03 	 
-3.799692e-01 	 7.303501e-04 	-2.227158e-01 	 1.169782e-04 	-3.256657e-01 	 1.129322e-03 	-3.256656e-01 	 1.205777e-03 	 
-3.768679e-01 	 6.950722e-04 	-2.146792e-01 	 5.035775e-05 	-3.207142e-01 	 1.153001e-03 	-3.207142e-01 	 1.241149e-03 	 
-3.737206e-01 	 6.453259e-04 	-2.065561e-01 	 -1.030016e-05 	-3.156918e-01 	 1.192918e-03 	-3.156917e-01 	 1.236220e-03 	 
-3.705271e-01 	 6.254908e-04 	-1.983489e-01 	 -9.496308e-05 	-3.105986e-01 	 1.227375e-03 	-3.105986e-01 	 1.235799e-03 	 
-3.672874e-01 	 6.918699e-04 	-1.900611e-01 	 -2.059944e-04 	-3.054363e-01 	 1.228419e-03 	-3.054360e-01 	 1.231721e-03 	 
-3.640013e-01 	 8.097984e-04 	-1.816957e-01 	 -3.543692e-04 	-3.002046e-01 	 1.199089e-03 	-3.002048e-01 	 1.166917e-03 	 
-3.606699e-01 	 9.081469e-04 	-1.732556e-01 	 -5.082345e-04 	-2.949056e-01 	 1.171084e-03 	-2.949055e-01 	 1.060695e-03 	 
-3.572921e-01 	 9.792194e-04 	-1.647442e-01 	 -6.149074e-04 	-2.895395e-01 	 1.155689e-03 	-2.895395e-01 	 9.825361e-04 	 
-3.538694e-01 	 1.050655e-03 	-1.561647e-01 	 -6.974773e-04 	-2.841071e-01 	 1.109557e-03 	-2.841071e-01 	 9.567007e-04 	 
-3.504009e-01 	 1.096280e-03 	-1.475205e-01 	 -8.156477e-04 	-2.786100e-01 	 1.008266e-03 	-2.786098e-01 	 9.559189e-04 	 
-3.468875e-01 	 1.104339e-03 	-1.388147e-01 	 -9.497374e-04 	-2.730485e-01 	 8.969796e-04 	-2.730485e-01 	 9.495577e-04 	 
-3.433292e-01 	 1.131078e-03 	-1.300507e-01 	 -1.019227e-03 	-2.674242e-01 	 8.132274e-04 	-2.674241e-01 	 9.356603e-04 	 
-3.397260e-01 	 1.212666e-03 	-1.212321e-01 	 -1.002046e-03 	-2.617380e-01 	 7.449656e-04 	-2.617379e-01 	 9.186100e-04 	 
-3.360785e-01 	 1.320336e-03 	-1.123624e-01 	 -9.539838e-04 	-2.559906e-01 	 6.855967e-04 	-2.559906e-01 	 8.820570e-04 	 
-3.323868e-01 	 1.391103e-03 	-1.034447e-01 	 -9.316515e-04 	-2.501838e-01 	 6.341605e-04 	-2.501838e-01 	 8.158654e-04 	 
-3.286514e-01 	 1.381941e-03 	-9.448299e-02 	 -9.545056e-04 	-2.443181e-01 	 5.709282e-04 	-2.443181e-01 	 7.317900e-04 	 
-3.248721e-01 	 1.330170e-03 	-8.548046e-02 	 -1.016165e-03 	-2.383951e-01 	 5.014390e-04 	-2.383951e-01 	 6.453439e-04 	 
-3.210497e-01 	 1.307037e-03 	-7.644099e-02 	 -1.096758e-03 	-2.324159e-01 	 4.607260e-04 	-2.324158e-01 	 5.681741e-04 	 
-3.171842e-01 	 1.319037e-03 	-6.736790e-02 	 -1.163739e-03 	-2.263816e-01 	 4.416376e-04 	-2.263817e-01 	 4.982924e-04 	 
-3.132763e-01 	 1.343072e-03 	-5.826503e-02 	 -1.210969e-03 	-2.202937e-01 	 3.989077e-04 	-2.202937e-01 	 4.327679e-04 	 
-3.093259e-01 	 1.361535e-03 	-4.913601e-02 	 -1.278322e-03 	-2.141531e-01 	 3.189028e-04 	-2.141532e-01 	 3.882531e-04 	 
-3.053335e-01 	 1.354087e-03 	-3.998444e-02 	 -1.373518e-03 	-2.079613e-01 	 2.256445e-04 	-2.079614e-01 	 3.664690e-04 	 
-3.012997e-01 	 1.324127e-03 	-3.081409e-02 	 -1.438306e-03 	-2.017198e-01 	 1.461130e-04 	-2.017198e-01 	 3.276410e-04 	 
