x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
5.050327e-01 	 -6.116600e-03 	5.050327e-01 	 -1.135560e-02 	3.760327e-01 	 -4.642000e-04 	3.146727e-01 	 -8.248000e-04 	2.107827e-01 	 -1.425733e-03 	nan          	nan          	 
5.126427e-01 	 -5.747600e-03 	5.126427e-01 	 -1.181640e-02 	3.809827e-01 	 -5.188000e-04 	3.211727e-01 	 -7.946667e-04 	2.139827e-01 	 -1.398400e-03 	nan          	nan          	 
5.202427e-01 	 -6.113400e-03 	5.202427e-01 	 -1.105320e-02 	3.859527e-01 	 -5.458000e-04 	3.277227e-01 	 -7.656000e-04 	2.171927e-01 	 -1.373733e-03 	nan          	nan          	 
5.278527e-01 	 -6.736600e-03 	5.278527e-01 	 -9.567200e-03 	3.909127e-01 	 -5.680000e-04 	3.343127e-01 	 -7.400000e-04 	2.204127e-01 	 -1.346667e-03 	nan          	nan          	 
5.354627e-01 	 -6.874200e-03 	5.354627e-01 	 -8.321200e-03 	3.958827e-01 	 -6.142000e-04 	3.409527e-01 	 -7.201333e-04 	2.236527e-01 	 -1.323733e-03 	nan          	nan          	 
5.430727e-01 	 -6.360000e-03 	5.430727e-01 	 -7.614000e-03 	4.008527e-01 	 -6.530000e-04 	3.476427e-01 	 -7.052000e-04 	2.269027e-01 	 -1.298400e-03 	nan          	nan          	 
5.506727e-01 	 -5.655000e-03 	5.506727e-01 	 -6.990400e-03 	4.058227e-01 	 -6.156000e-04 	3.543627e-01 	 -7.040000e-04 	2.301727e-01 	 -1.274800e-03 	nan          	nan          	 
5.582727e-01 	 -5.224800e-03 	5.582727e-01 	 -6.066800e-03 	4.107927e-01 	 -4.722000e-04 	3.611327e-01 	 -7.192000e-04 	2.334527e-01 	 -1.252400e-03 	nan          	nan          	 
5.658727e-01 	 -5.015000e-03 	5.658727e-01 	 -4.948800e-03 	4.157727e-01 	 -2.684000e-04 	3.679327e-01 	 -7.269333e-04 	2.367427e-01 	 -1.230533e-03 	nan          	nan          	 
5.734527e-01 	 -4.517400e-03 	5.734527e-01 	 -3.878800e-03 	4.207527e-01 	 -6.540000e-05 	3.747727e-01 	 -6.974667e-04 	2.400527e-01 	 -1.209333e-03 	nan          	nan          	 
5.810327e-01 	 -3.299000e-03 	5.810327e-01 	 -2.848000e-03 	4.257427e-01 	 7.920000e-05 	3.816527e-01 	 -6.188000e-04 	2.433727e-01 	 -1.188000e-03 	nan          	nan          	 
5.886027e-01 	 -1.520000e-03 	5.886027e-01 	 -1.669600e-03 	4.307327e-01 	 9.980000e-05 	3.885527e-01 	 -4.873333e-04 	2.467027e-01 	 -1.167067e-03 	nan          	nan          	 
5.961627e-01 	 2.860000e-04 	5.961627e-01 	 -2.112000e-04 	4.357227e-01 	 -1.860000e-05 	3.954927e-01 	 -3.029333e-04 	2.500527e-01 	 -1.146133e-03 	nan          	nan          	 
6.037127e-01 	 1.707800e-03 	6.037127e-01 	 1.495600e-03 	4.407127e-01 	 -1.850000e-04 	4.024627e-01 	 -1.166667e-04 	2.534127e-01 	 -1.125867e-03 	nan          	nan          	 
6.112427e-01 	 2.629600e-03 	6.112427e-01 	 3.182200e-03 	4.457127e-01 	 -3.264000e-04 	4.094627e-01 	 -1.960000e-05 	2.567927e-01 	 -1.105067e-03 	nan          	nan          	 
6.187627e-01 	 3.245600e-03 	6.187627e-01 	 4.476000e-03 	4.507127e-01 	 -5.508000e-04 	4.164827e-01 	 -4.933333e-05 	2.601827e-01 	 -1.084933e-03 	nan          	nan          	 
6.262627e-01 	 3.955600e-03 	6.262627e-01 	 5.210800e-03 	4.557127e-01 	 -1.076800e-03 	4.235227e-01 	 -1.996000e-04 	2.635827e-01 	 -1.064800e-03 	nan          	nan          	 
6.337427e-01 	 4.962000e-03 	6.337427e-01 	 5.532800e-03 	4.607127e-01 	 -1.966600e-03 	4.305927e-01 	 -5.634667e-04 	2.669927e-01 	 -1.044267e-03 	nan          	nan          	 
6.412027e-01 	 5.986600e-03 	6.412027e-01 	 5.643200e-03 	4.657227e-01 	 -2.999200e-03 	4.376827e-01 	 -1.318800e-03 	2.704227e-01 	 -1.025200e-03 	nan          	nan          	 
6.486427e-01 	 6.707200e-03 	6.486427e-01 	 5.543200e-03 	4.707327e-01 	 -3.927600e-03 	4.447927e-01 	 -2.520400e-03 	2.738627e-01 	 -1.006667e-03 	nan          	nan          	 
6.560627e-01 	 7.136800e-03 	6.560627e-01 	 5.226200e-03 	4.757527e-01 	 -4.730600e-03 	4.519127e-01 	 -4.015733e-03 	2.773227e-01 	 -9.886667e-04 	nan          	nan          	 
6.634627e-01 	 7.344800e-03 	6.634627e-01 	 4.963200e-03 	4.807627e-01 	 -5.470200e-03 	4.590527e-01 	 -5.594000e-03 	2.807827e-01 	 -9.710667e-04 	nan          	nan          	 
6.708427e-01 	 7.234200e-03 	6.708427e-01 	 5.116800e-03 	4.857827e-01 	 -6.110400e-03 	4.662027e-01 	 -7.085333e-03 	2.842627e-01 	 -9.537333e-04 	nan          	nan          	 
6.781927e-01 	 6.834800e-03 	6.781927e-01 	 5.614600e-03 	4.908127e-01 	 -6.605400e-03 	4.733627e-01 	 -8.297067e-03 	2.877527e-01 	 -9.380000e-04 	nan          	nan          	 
6.855127e-01 	 6.451400e-03 	6.855127e-01 	 5.974600e-03 	4.958327e-01 	 -7.104400e-03 	4.805327e-01 	 -9.023467e-03 	2.912627e-01 	 -9.229333e-04 	nan          	nan          	 
6.928027e-01 	 6.261400e-03 	6.928027e-01 	 5.925400e-03 	5.008627e-01 	 -7.824600e-03 	4.877127e-01 	 -9.239067e-03 	2.947727e-01 	 -9.066667e-04 	nan          	nan          	 
7.000727e-01 	 6.161200e-03 	7.000727e-01 	 5.756200e-03 	5.058927e-01 	 -8.602200e-03 	4.948927e-01 	 -9.188933e-03 	2.983027e-01 	 -8.916000e-04 	nan          	nan          	 
7.073127e-01 	 6.049600e-03 	7.073127e-01 	 5.857400e-03 	5.109327e-01 	 -8.830600e-03 	5.020727e-01 	 -9.108000e-03 	3.018427e-01 	 -8.784000e-04 	nan          	nan          	 
7.145227e-01 	 5.960200e-03 	7.145227e-01 	 6.188600e-03 	5.159727e-01 	 -8.174400e-03 	5.092627e-01 	 -8.946133e-03 	3.053927e-01 	 -8.668000e-04 	nan          	nan          	 
7.217027e-01 	 5.924200e-03 	7.217027e-01 	 6.437400e-03 	5.210127e-01 	 -7.088800e-03 	5.164527e-01 	 -8.526533e-03 	3.089627e-01 	 -8.574667e-04 	nan          	nan          	 
7.288427e-01 	 5.898200e-03 	7.288427e-01 	 6.465000e-03 	5.260527e-01 	 -6.286200e-03 	5.236327e-01 	 -7.877200e-03 	3.125327e-01 	 -8.477333e-04 	nan          	nan          	 
7.359527e-01 	 5.827000e-03 	7.359527e-01 	 6.343200e-03 	5.310927e-01 	 -5.999200e-03 	5.308127e-01 	 -7.218267e-03 	3.161227e-01 	 -8.389333e-04 	nan          	nan          	 
7.430327e-01 	 5.689200e-03 	7.430327e-01 	 6.103200e-03 	5.361427e-01 	 -6.043200e-03 	5.379827e-01 	 -6.590267e-03 	3.197227e-01 	 -8.306667e-04 	nan          	nan          	 
