x0	8A00W11AoA20/	x1	8A15W11AoA20/	
2.974990e+01 	 3.825423e-01 	2.974990e+01 	 3.721165e-01 	 
2.987490e+01 	 3.819073e-01 	2.987498e+01 	 3.722254e-01 	 
3.000000e+01 	 3.814740e-01 	2.999988e+01 	 3.722802e-01 	 
3.012480e+01 	 3.805126e-01 	3.012497e+01 	 3.725883e-01 	 
3.024980e+01 	 3.796270e-01 	3.024989e+01 	 3.727303e-01 	 
3.037490e+01 	 3.786938e-01 	3.037496e+01 	 3.728688e-01 	 
3.050000e+01 	 3.781814e-01 	3.049998e+01 	 3.728147e-01 	 
3.062500e+01 	 3.775870e-01 	3.062492e+01 	 3.726918e-01 	 
3.074990e+01 	 3.775022e-01 	3.075000e+01 	 3.724716e-01 	 
3.087500e+01 	 3.779989e-01 	3.087489e+01 	 3.720385e-01 	 
3.099980e+01 	 3.788914e-01 	3.099986e+01 	 3.714048e-01 	 
3.112490e+01 	 3.799721e-01 	3.112487e+01 	 3.706870e-01 	 
3.125000e+01 	 3.814028e-01 	3.124994e+01 	 3.699470e-01 	 
3.137500e+01 	 3.830046e-01 	3.137498e+01 	 3.690978e-01 	 
3.150000e+01 	 3.847603e-01 	3.149983e+01 	 3.682638e-01 	 
3.162490e+01 	 3.864514e-01 	3.162500e+01 	 3.675512e-01 	 
3.174990e+01 	 3.873900e-01 	3.174993e+01 	 3.668158e-01 	 
3.187490e+01 	 3.884872e-01 	3.187486e+01 	 3.661940e-01 	 
3.199990e+01 	 3.895947e-01 	3.199993e+01 	 3.656583e-01 	 
3.212500e+01 	 3.910650e-01 	3.212485e+01 	 3.651876e-01 	 
3.224990e+01 	 3.924887e-01 	3.224991e+01 	 3.644371e-01 	 
3.237490e+01 	 3.930621e-01 	3.237494e+01 	 3.637218e-01 	 
3.249990e+01 	 3.940203e-01 	3.249991e+01 	 3.630569e-01 	 
3.262490e+01 	 3.948187e-01 	3.262487e+01 	 3.623568e-01 	 
3.274980e+01 	 3.958108e-01 	3.274991e+01 	 3.619849e-01 	 
3.287490e+01 	 3.962157e-01 	3.287493e+01 	 3.621346e-01 	 
3.299980e+01 	 3.961396e-01 	3.299994e+01 	 3.623087e-01 	 
