f	SCd	
7.903811e+00 	 1.006112e-10 	 
7.919011e+00 	 6.403402e-11 	 
7.934210e+00 	 3.255554e-11 	 
7.949410e+00 	 6.530627e-11 	 
7.964610e+00 	 2.550824e-11 	 
7.979809e+00 	 2.674457e-11 	 
7.995009e+00 	 4.782531e-11 	 
8.010209e+00 	 6.482298e-11 	 
8.025408e+00 	 3.301558e-11 	 
8.040608e+00 	 2.773799e-11 	 
8.055807e+00 	 4.121477e-11 	 
8.071007e+00 	 7.637764e-11 	 
8.086207e+00 	 1.506591e-10 	 
8.101406e+00 	 8.361922e-11 	 
8.116606e+00 	 3.449816e-11 	 
8.131806e+00 	 3.137667e-11 	 
8.147005e+00 	 3.331756e-11 	 
8.162205e+00 	 2.837128e-11 	 
8.177405e+00 	 5.957392e-11 	 
8.192604e+00 	 4.869550e-11 	 
8.207804e+00 	 4.468836e-11 	 
8.223004e+00 	 5.601682e-11 	 
8.238203e+00 	 1.544590e-11 	 
8.253403e+00 	 2.140710e-11 	 
8.268602e+00 	 3.628427e-11 	 
8.283802e+00 	 6.262979e-11 	 
8.299002e+00 	 7.184682e-11 	 
8.314201e+00 	 5.283108e-11 	 
8.329401e+00 	 2.888190e-11 	 
8.344601e+00 	 3.777755e-11 	 
8.359800e+00 	 4.696115e-11 	 
8.375000e+00 	 3.057082e-11 	 
8.390200e+00 	 2.227514e-11 	 
8.405399e+00 	 1.452112e-11 	 
8.420599e+00 	 1.744033e-11 	 
8.435798e+00 	 2.510564e-11 	 
8.450998e+00 	 9.516043e-12 	 
8.466198e+00 	 5.917262e-12 	 
8.481397e+00 	 2.296631e-11 	 
8.496597e+00 	 2.888678e-11 	 
8.511797e+00 	 2.546506e-11 	 
8.526996e+00 	 1.736550e-11 	 
8.542196e+00 	 1.013619e-11 	 
8.557396e+00 	 2.834055e-11 	 
8.572595e+00 	 2.210033e-11 	 
8.587795e+00 	 1.667331e-11 	 
8.602994e+00 	 3.043821e-11 	 
8.618194e+00 	 3.587323e-11 	 
8.633394e+00 	 1.791491e-11 	 
8.648593e+00 	 9.996772e-12 	 
8.663793e+00 	 2.816315e-11 	 
8.678993e+00 	 2.210556e-11 	 
8.694192e+00 	 1.342512e-11 	 
8.709392e+00 	 2.857160e-11 	 
8.724592e+00 	 3.732963e-11 	 
8.739791e+00 	 4.308063e-11 	 
8.754991e+00 	 5.865214e-11 	 
8.770190e+00 	 2.787768e-11 	 
8.785390e+00 	 1.906134e-11 	 
8.800590e+00 	 1.927489e-11 	 
8.815789e+00 	 1.807983e-11 	 
8.830989e+00 	 2.269931e-11 	 
8.846189e+00 	 5.704910e-11 	 
8.861388e+00 	 7.191869e-11 	 
8.876588e+00 	 5.935077e-11 	 
8.891788e+00 	 2.321920e-11 	 
8.906987e+00 	 1.420098e-11 	 
8.922187e+00 	 3.484502e-11 	 
8.937386e+00 	 8.377326e-11 	 
8.952586e+00 	 4.358975e-11 	 
8.967786e+00 	 2.888155e-11 	 
8.982985e+00 	 1.959903e-11 	 
8.998185e+00 	 1.413992e-11 	 
9.013385e+00 	 2.517249e-11 	 
9.028584e+00 	 2.343779e-11 	 
9.043784e+00 	 3.641213e-11 	 
9.058984e+00 	 4.067494e-11 	 
9.074183e+00 	 2.050028e-11 	 
9.089383e+00 	 7.278218e-12 	 
9.104582e+00 	 1.218664e-11 	 
9.119782e+00 	 2.662072e-11 	 
9.134982e+00 	 2.581957e-11 	 
9.150181e+00 	 1.237283e-11 	 
9.165381e+00 	 2.114004e-11 	 
9.180581e+00 	 2.258023e-11 	 
9.195780e+00 	 2.814148e-11 	 
9.210980e+00 	 2.643530e-11 	 
9.226180e+00 	 1.310011e-11 	 
9.241379e+00 	 6.318396e-12 	 
9.256579e+00 	 1.224713e-11 	 
9.271778e+00 	 1.651831e-11 	 
9.286978e+00 	 1.042603e-11 	 
9.302178e+00 	 1.133783e-11 	 
9.317377e+00 	 1.470867e-11 	 
9.332577e+00 	 5.988255e-12 	 
9.347777e+00 	 7.409135e-12 	 
9.362976e+00 	 1.534781e-11 	 
9.378176e+00 	 1.314348e-11 	 
9.393376e+00 	 2.274901e-11 	 
9.408575e+00 	 1.087637e-11 	 
9.423775e+00 	 6.436935e-12 	 
9.438974e+00 	 1.300955e-11 	 
9.454174e+00 	 1.022420e-11 	 
9.469374e+00 	 1.632793e-11 	 
9.484573e+00 	 2.382609e-11 	 
9.499773e+00 	 2.011415e-11 	 
9.514973e+00 	 1.017080e-11 	 
9.530172e+00 	 9.264792e-12 	 
9.545372e+00 	 1.287632e-11 	 
9.560572e+00 	 1.618798e-11 	 
9.575771e+00 	 1.393265e-11 	 
9.590971e+00 	 1.107443e-11 	 
9.606170e+00 	 2.089743e-11 	 
9.621370e+00 	 8.321158e-12 	 
9.636570e+00 	 4.070117e-12 	 
9.651769e+00 	 3.520997e-12 	 
9.666969e+00 	 1.177360e-11 	 
9.682169e+00 	 2.466362e-11 	 
9.697368e+00 	 8.287930e-12 	 
9.712568e+00 	 1.055917e-11 	 
9.727768e+00 	 9.820544e-12 	 
9.742967e+00 	 9.096238e-12 	 
9.758167e+00 	 1.299811e-11 	 
9.773366e+00 	 1.623133e-11 	 
9.788566e+00 	 8.320201e-12 	 
9.803766e+00 	 4.565514e-12 	 
9.818965e+00 	 7.602410e-12 	 
9.834165e+00 	 1.022444e-11 	 
9.849365e+00 	 1.073125e-11 	 
9.864564e+00 	 5.795153e-12 	 
9.879764e+00 	 5.764897e-12 	 
9.894964e+00 	 5.894685e-12 	 
9.910163e+00 	 5.042596e-12 	 
9.925363e+00 	 1.448887e-11 	 
9.940562e+00 	 1.333271e-11 	 
9.955762e+00 	 1.619922e-11 	 
9.970962e+00 	 2.924762e-11 	 
9.986161e+00 	 1.260107e-11 	 
1.000136e+01 	 9.453493e-12 	 
1.001656e+01 	 5.110365e-12 	 
1.003176e+01 	 9.018023e-12 	 
1.004696e+01 	 1.460159e-11 	 
1.006216e+01 	 1.076583e-11 	 
1.007736e+01 	 4.542428e-12 	 
1.009256e+01 	 5.376628e-12 	 
