x0	delta	x1	wle	x2	sle	
-2.380078e-01 	 7.829608e-05 	-2.380078e-01 	 4.013857e-04 	-2.380078e-01 	 3.230896e-04 	 
-2.333671e-01 	 7.579561e-05 	-2.333671e-01 	 3.749424e-04 	-2.333671e-01 	 2.991468e-04 	 
-2.286918e-01 	 7.325912e-05 	-2.286918e-01 	 3.484361e-04 	-2.286918e-01 	 2.751770e-04 	 
-2.239825e-01 	 7.070588e-05 	-2.239825e-01 	 3.218872e-04 	-2.239825e-01 	 2.511813e-04 	 
-2.192400e-01 	 6.811690e-05 	-2.192400e-01 	 2.953055e-04 	-2.192400e-01 	 2.271886e-04 	 
-2.144649e-01 	 6.549287e-05 	-2.144649e-01 	 2.687061e-04 	-2.144649e-01 	 2.032133e-04 	 
-2.096578e-01 	 6.287369e-05 	-2.096578e-01 	 2.421263e-04 	-2.096578e-01 	 1.792526e-04 	 
-2.048194e-01 	 6.026768e-05 	-2.048194e-01 	 2.155841e-04 	-2.048194e-01 	 1.553164e-04 	 
-1.999504e-01 	 5.764736e-05 	-1.999504e-01 	 1.890717e-04 	-1.999504e-01 	 1.314243e-04 	 
-1.950514e-01 	 5.501856e-05 	-1.950514e-01 	 1.625993e-04 	-1.950514e-01 	 1.075807e-04 	 
-1.901233e-01 	 5.240544e-05 	-1.901233e-01 	 1.362080e-04 	-1.901233e-01 	 8.380259e-05 	 
-1.851666e-01 	 4.982254e-05 	-1.851666e-01 	 1.099272e-04 	-1.851666e-01 	 6.010466e-05 	 
-1.801822e-01 	 4.727988e-05 	-1.801822e-01 	 8.377042e-05 	-1.801822e-01 	 3.649054e-05 	 
-1.751707e-01 	 4.474705e-05 	-1.751707e-01 	 5.773374e-05 	-1.751707e-01 	 1.298669e-05 	 
-1.701329e-01 	 4.222157e-05 	-1.701329e-01 	 3.182111e-05 	-1.701329e-01 	 -1.040046e-05 	 
-1.650696e-01 	 3.970201e-05 	-1.650696e-01 	 6.057202e-06 	-1.650696e-01 	 -3.364481e-05 	 
-1.599814e-01 	 3.720616e-05 	-1.599814e-01 	 -1.954693e-05 	-1.599814e-01 	 -5.675308e-05 	 
-1.548691e-01 	 3.472394e-05 	-1.548691e-01 	 -4.498400e-05 	-1.548691e-01 	 -7.970794e-05 	 
-1.497336e-01 	 3.227939e-05 	-1.497336e-01 	 -7.023898e-05 	-1.497336e-01 	 -1.025184e-04 	 
-1.445756e-01 	 2.985066e-05 	-1.445756e-01 	 -9.529184e-05 	-1.445756e-01 	 -1.251425e-04 	 
-1.393958e-01 	 2.748249e-05 	-1.393958e-01 	 -1.201051e-04 	-1.393958e-01 	 -1.475876e-04 	 
-1.341951e-01 	 2.515800e-05 	-1.341951e-01 	 -1.446941e-04 	-1.341951e-01 	 -1.698521e-04 	 
-1.289743e-01 	 2.281936e-05 	-1.289743e-01 	 -1.690800e-04 	-1.289743e-01 	 -1.918993e-04 	 
-1.237341e-01 	 2.053747e-05 	-1.237341e-01 	 -1.932180e-04 	-1.237341e-01 	 -2.137555e-04 	 
-1.184753e-01 	 1.829261e-05 	-1.184753e-01 	 -2.170842e-04 	-1.184753e-01 	 -2.353768e-04 	 
-1.131988e-01 	 1.606175e-05 	-1.131988e-01 	 -2.406891e-04 	-1.131988e-01 	 -2.567508e-04 	 
-1.079055e-01 	 1.388540e-05 	-1.079055e-01 	 -2.639985e-04 	-1.079055e-01 	 -2.778839e-04 	 
-1.025960e-01 	 1.176383e-05 	-1.025960e-01 	 -2.870106e-04 	-1.025960e-01 	 -2.987745e-04 	 
-9.727125e-02 	 9.647148e-06 	-9.727125e-02 	 -3.097528e-04 	-9.727125e-02 	 -3.194000e-04 	 
-9.193207e-02 	 7.563077e-06 	-9.193207e-02 	 -3.322030e-04 	-9.193207e-02 	 -3.397660e-04 	 
-8.657930e-02 	 5.527582e-06 	-8.657930e-02 	 -3.543329e-04 	-8.657930e-02 	 -3.598605e-04 	 
-8.121376e-02 	 3.530458e-06 	-8.121376e-02 	 -3.761537e-04 	-8.121376e-02 	 -3.796841e-04 	 
-7.583631e-02 	 1.551316e-06 	-7.583631e-02 	 -3.976743e-04 	-7.583631e-02 	 -3.992257e-04 	 
-7.044777e-02 	 -4.065741e-07 	-7.044777e-02 	 -4.188816e-04 	-7.044777e-02 	 -4.184751e-04 	 
-6.504902e-02 	 -2.324030e-06 	-6.504902e-02 	 -4.397543e-04 	-6.504902e-02 	 -4.374303e-04 	 
-5.964088e-02 	 -4.191998e-06 	-5.964088e-02 	 -4.602740e-04 	-5.964088e-02 	 -4.560820e-04 	 
-5.422423e-02 	 -6.028117e-06 	-5.422423e-02 	 -4.804372e-04 	-5.422423e-02 	 -4.744090e-04 	 
-4.879991e-02 	 -7.829341e-06 	-4.879991e-02 	 -5.002481e-04 	-4.879991e-02 	 -4.924188e-04 	 
-4.336878e-02 	 -9.583643e-06 	-4.336878e-02 	 -5.196971e-04 	-4.336878e-02 	 -5.101135e-04 	 
-3.793169e-02 	 -1.128654e-05 	-3.793169e-02 	 -5.387715e-04 	-3.793169e-02 	 -5.274849e-04 	 
-3.248952e-02 	 -1.293216e-05 	-3.248952e-02 	 -5.574658e-04 	-3.248952e-02 	 -5.445337e-04 	 
-2.704312e-02 	 -1.454087e-05 	-2.704312e-02 	 -5.757797e-04 	-2.704312e-02 	 -5.612388e-04 	 
-2.159336e-02 	 -1.609158e-05 	-2.159336e-02 	 -5.937101e-04 	-2.159336e-02 	 -5.776185e-04 	 
-1.614109e-02 	 -1.760259e-05 	-1.614109e-02 	 -6.112692e-04 	-1.614109e-02 	 -5.936666e-04 	 
-1.068719e-02 	 -1.908334e-05 	-1.068719e-02 	 -6.284544e-04 	-1.068719e-02 	 -6.093710e-04 	 
-5.232517e-03 	 -2.052044e-05 	-5.232517e-03 	 -6.452525e-04 	-5.232517e-03 	 -6.247320e-04 	 
2.220720e-04 	 -2.193382e-05 	2.220720e-04 	 -6.616816e-04 	2.220720e-04 	 -6.397478e-04 	 
5.675701e-03 	 -2.335323e-05 	5.675701e-03 	 -6.777515e-04 	5.675701e-03 	 -6.543982e-04 	 
1.112752e-02 	 -2.476179e-05 	1.112752e-02 	 -6.934469e-04 	1.112752e-02 	 -6.686851e-04 	 
1.657666e-02 	 -2.614941e-05 	1.657666e-02 	 -7.087701e-04 	1.657666e-02 	 -6.826207e-04 	 
2.202225e-02 	 -2.752587e-05 	2.202225e-02 	 -7.237247e-04 	2.202225e-02 	 -6.961988e-04 	 
2.746345e-02 	 -2.887389e-05 	2.746345e-02 	 -7.382996e-04 	2.746345e-02 	 -7.094257e-04 	 
3.289939e-02 	 -3.022425e-05 	3.289939e-02 	 -7.525041e-04 	3.289939e-02 	 -7.222799e-04 	 
3.832921e-02 	 -3.154830e-05 	3.832921e-02 	 -7.663277e-04 	3.832921e-02 	 -7.347794e-04 	 
4.375207e-02 	 -3.283121e-05 	4.375207e-02 	 -7.797498e-04 	4.375207e-02 	 -7.469186e-04 	 
4.916710e-02 	 -3.407861e-05 	4.916710e-02 	 -7.927706e-04 	4.916710e-02 	 -7.586920e-04 	 
5.457345e-02 	 -3.528888e-05 	5.457345e-02 	 -8.053960e-04 	5.457345e-02 	 -7.701071e-04 	 
5.997029e-02 	 -3.646984e-05 	5.997029e-02 	 -8.176335e-04 	5.997029e-02 	 -7.811637e-04 	 
6.535676e-02 	 -3.764390e-05 	6.535676e-02 	 -8.294929e-04 	6.535676e-02 	 -7.918490e-04 	 
7.073204e-02 	 -3.880055e-05 	7.073204e-02 	 -8.409646e-04 	7.073204e-02 	 -8.021640e-04 	 
7.609527e-02 	 -3.993530e-05 	7.609527e-02 	 -8.520410e-04 	7.609527e-02 	 -8.121057e-04 	 
8.144562e-02 	 -4.102165e-05 	8.144562e-02 	 -8.627077e-04 	8.144562e-02 	 -8.216860e-04 	 
8.678226e-02 	 -4.205273e-05 	8.678226e-02 	 -8.729667e-04 	8.678226e-02 	 -8.309140e-04 	 
9.210438e-02 	 -4.305372e-05 	9.210438e-02 	 -8.828258e-04 	9.210438e-02 	 -8.397721e-04 	 
9.741111e-02 	 -4.400134e-05 	9.741111e-02 	 -8.922814e-04 	9.741111e-02 	 -8.482801e-04 	 
1.027017e-01 	 -4.492657e-05 	1.027017e-01 	 -9.013513e-04 	1.027017e-01 	 -8.564248e-04 	 
1.079753e-01 	 -4.581847e-05 	1.079753e-01 	 -9.100444e-04 	1.079753e-01 	 -8.642260e-04 	 
1.132310e-01 	 -4.668920e-05 	1.132310e-01 	 -9.183534e-04 	1.132310e-01 	 -8.716642e-04 	 
1.184682e-01 	 -4.753466e-05 	1.184682e-01 	 -9.262941e-04 	1.184682e-01 	 -8.787594e-04 	 
1.236860e-01 	 -4.837701e-05 	1.236860e-01 	 -9.338743e-04 	1.236860e-01 	 -8.854973e-04 	 
1.288836e-01 	 -4.918981e-05 	1.288836e-01 	 -9.410870e-04 	1.288836e-01 	 -8.918972e-04 	 
1.340602e-01 	 -5.000310e-05 	1.340602e-01 	 -9.479416e-04 	1.340602e-01 	 -8.979385e-04 	 
1.392151e-01 	 -5.082788e-05 	1.392151e-01 	 -9.544514e-04 	1.392151e-01 	 -9.036235e-04 	 
1.443474e-01 	 -5.165878e-05 	1.443474e-01 	 -9.606237e-04 	1.443474e-01 	 -9.089649e-04 	 
1.494564e-01 	 -5.248420e-05 	1.494564e-01 	 -9.664576e-04 	1.494564e-01 	 -9.139734e-04 	 
1.545413e-01 	 -5.329878e-05 	1.545413e-01 	 -9.719504e-04 	1.545413e-01 	 -9.186517e-04 	 
1.596014e-01 	 -5.410631e-05 	1.596014e-01 	 -9.770898e-04 	1.596014e-01 	 -9.229834e-04 	 
1.646359e-01 	 -5.489184e-05 	1.646359e-01 	 -9.818853e-04 	1.646359e-01 	 -9.269935e-04 	 
1.696441e-01 	 -5.568016e-05 	1.696441e-01 	 -9.863476e-04 	1.696441e-01 	 -9.306674e-04 	 
1.746252e-01 	 -5.643986e-05 	1.746252e-01 	 -9.904564e-04 	1.746252e-01 	 -9.340165e-04 	 
1.795786e-01 	 -5.716227e-05 	1.795786e-01 	 -9.942076e-04 	1.795786e-01 	 -9.370453e-04 	 
1.845035e-01 	 -5.785177e-05 	1.845035e-01 	 -9.976073e-04 	1.845035e-01 	 -9.397555e-04 	 
1.893991e-01 	 -5.851890e-05 	1.893991e-01 	 -1.000659e-03 	1.893991e-01 	 -9.421401e-04 	 
1.942649e-01 	 -5.916253e-05 	1.942649e-01 	 -1.003367e-03 	1.942649e-01 	 -9.442045e-04 	 
1.991000e-01 	 -5.979087e-05 	1.991000e-01 	 -1.005742e-03 	1.991000e-01 	 -9.459514e-04 	 
2.039037e-01 	 -6.041540e-05 	2.039037e-01 	 -1.007797e-03 	2.039037e-01 	 -9.473813e-04 	 
2.086756e-01 	 -6.104230e-05 	2.086756e-01 	 -1.009537e-03 	2.086756e-01 	 -9.484946e-04 	 
2.134147e-01 	 -6.164685e-05 	2.134147e-01 	 -1.010960e-03 	2.134147e-01 	 -9.493136e-04 	 
2.181205e-01 	 -6.223221e-05 	2.181205e-01 	 -1.012056e-03 	2.181205e-01 	 -9.498236e-04 	 
2.227924e-01 	 -6.277650e-05 	2.227924e-01 	 -1.012819e-03 	2.227924e-01 	 -9.500424e-04 	 
