x0	LES	x1	Jones2008	
2.624868e+01 	 7.888493e-07 	5.261324e+01 	 4.610644e-07 	 
2.642367e+01 	 9.068062e-07 	5.296167e+01 	 2.357720e-07 	 
2.659866e+01 	 3.700507e-07 	5.331010e+01 	 7.337206e-08 	 
2.677366e+01 	 4.440000e-07 	5.365854e+01 	 1.037846e-07 	 
2.694865e+01 	 5.427804e-07 	5.400697e+01 	 2.347344e-07 	 
2.712364e+01 	 7.966763e-07 	5.435540e+01 	 3.431763e-07 	 
2.729863e+01 	 7.201226e-07 	5.470383e+01 	 2.640312e-07 	 
2.747362e+01 	 2.782658e-07 	5.505226e+01 	 1.161200e-07 	 
2.764861e+01 	 2.041728e-07 	5.540070e+01 	 8.392098e-08 	 
2.782360e+01 	 3.383487e-07 	5.574913e+01 	 1.724706e-07 	 
2.799859e+01 	 5.609064e-07 	5.609756e+01 	 3.153625e-07 	 
2.817359e+01 	 3.788506e-07 	5.644599e+01 	 3.854130e-07 	 
2.834858e+01 	 3.168739e-07 	5.679443e+01 	 3.704764e-07 	 
2.852357e+01 	 8.008283e-07 	5.714286e+01 	 1.657048e-07 	 
2.869856e+01 	 6.210138e-07 	5.749129e+01 	 7.690560e-08 	 
2.887355e+01 	 3.770696e-07 	5.783972e+01 	 2.740598e-07 	 
2.904854e+01 	 3.660709e-07 	5.818815e+01 	 3.437244e-07 	 
2.922353e+01 	 5.777369e-07 	5.853659e+01 	 2.652584e-07 	 
2.939852e+01 	 6.088370e-07 	5.888502e+01 	 1.829810e-07 	 
2.957352e+01 	 4.843347e-07 	5.923345e+01 	 5.536161e-08 	 
2.974851e+01 	 4.610592e-07 	5.958188e+01 	 1.007414e-07 	 
2.992350e+01 	 4.272416e-07 	5.993031e+01 	 2.398184e-07 	 
3.009849e+01 	 6.527645e-07 	6.027875e+01 	 1.764236e-07 	 
3.027348e+01 	 7.851104e-07 	6.062718e+01 	 7.016851e-08 	 
3.044847e+01 	 6.934936e-07 	6.097561e+01 	 1.044974e-07 	 
3.062346e+01 	 3.169206e-07 	6.132404e+01 	 5.426327e-08 	 
3.079845e+01 	 3.431225e-07 	6.167247e+01 	 1.407829e-07 	 
3.097345e+01 	 4.435089e-07 	6.202091e+01 	 1.476506e-07 	 
3.114844e+01 	 3.392521e-07 	6.236934e+01 	 6.639887e-08 	 
3.132343e+01 	 3.592687e-07 	6.271777e+01 	 5.249150e-08 	 
3.149842e+01 	 2.389051e-07 	6.306620e+01 	 6.797338e-08 	 
3.167341e+01 	 3.715514e-07 	6.341463e+01 	 1.169724e-07 	 
3.184840e+01 	 4.356854e-07 	6.376307e+01 	 8.716508e-08 	 
3.202339e+01 	 1.562235e-07 	6.411150e+01 	 7.714362e-08 	 
3.219838e+01 	 1.869859e-07 	6.445993e+01 	 1.266595e-07 	 
3.237338e+01 	 1.946763e-07 	6.480836e+01 	 8.585668e-08 	 
3.254837e+01 	 2.259783e-07 	6.515679e+01 	 7.674011e-08 	 
3.272336e+01 	 1.950545e-07 	6.550523e+01 	 4.913352e-08 	 
3.289835e+01 	 1.492752e-07 	6.585366e+01 	 3.469302e-08 	 
3.307334e+01 	 1.548816e-07 	6.620209e+01 	 1.472385e-08 	 
3.324833e+01 	 2.574188e-07 	6.655052e+01 	 5.475626e-08 	 
3.342332e+01 	 4.466456e-07 	6.689895e+01 	 7.251168e-08 	 
3.359831e+01 	 2.452601e-07 	6.724739e+01 	 5.813679e-08 	 
3.377330e+01 	 2.887816e-07 	6.759582e+01 	 5.150060e-08 	 
3.394830e+01 	 2.926632e-07 	6.794425e+01 	 1.349271e-08 	 
3.412329e+01 	 2.039643e-07 	6.829268e+01 	 4.786910e-08 	 
3.429828e+01 	 3.191533e-07 	6.864111e+01 	 8.475037e-08 	 
3.447327e+01 	 2.990108e-07 	6.898955e+01 	 7.498987e-08 	 
3.464826e+01 	 1.856100e-07 	6.933798e+01 	 4.810588e-08 	 
3.482325e+01 	 1.919900e-07 	6.968641e+01 	 2.377158e-08 	 
3.499824e+01 	 2.841522e-07 	7.003484e+01 	 9.895665e-09 	 
3.517323e+01 	 4.313985e-07 	7.038328e+01 	 2.468048e-08 	 
3.534823e+01 	 2.904192e-07 	7.073171e+01 	 2.302906e-08 	 
3.552322e+01 	 1.768581e-07 	7.108014e+01 	 9.716875e-08 	 
3.569821e+01 	 1.420548e-07 	7.142857e+01 	 1.331674e-07 	 
3.587320e+01 	 3.104128e-07 	7.177700e+01 	 4.516215e-08 	 
3.604819e+01 	 1.581513e-07 	7.212544e+01 	 3.792016e-08 	 
3.622318e+01 	 1.393820e-07 	7.247387e+01 	 3.484978e-08 	 
3.639817e+01 	 1.860001e-07 	7.282230e+01 	 5.026874e-08 	 
3.657316e+01 	 1.474300e-07 	7.317073e+01 	 5.786074e-08 	 
3.674816e+01 	 2.284401e-07 	7.351916e+01 	 5.412390e-08 	 
3.692315e+01 	 2.374542e-07 	7.386760e+01 	 2.953866e-08 	 
3.709814e+01 	 1.056230e-07 	7.421603e+01 	 6.279397e-08 	 
3.727313e+01 	 8.556435e-08 	7.456446e+01 	 5.266451e-08 	 
3.744812e+01 	 1.663029e-07 	7.491289e+01 	 6.738289e-08 	 
3.762311e+01 	 2.076420e-07 	7.526132e+01 	 9.482073e-08 	 
3.779810e+01 	 1.577523e-07 	7.560976e+01 	 7.182333e-08 	 
3.797309e+01 	 1.753349e-07 	7.595819e+01 	 4.047894e-08 	 
3.814809e+01 	 1.240505e-07 	7.630662e+01 	 3.902704e-08 	 
3.832308e+01 	 2.320132e-07 	7.665505e+01 	 3.062733e-08 	 
3.849807e+01 	 2.152564e-07 	7.700348e+01 	 2.845893e-08 	 
3.867306e+01 	 6.134656e-08 	7.735192e+01 	 3.210693e-08 	 
3.884805e+01 	 4.257263e-08 	7.770035e+01 	 4.316657e-08 	 
3.902304e+01 	 8.645609e-08 	7.804878e+01 	 6.291793e-08 	 
3.919803e+01 	 1.720841e-07 	7.839721e+01 	 5.468132e-08 	 
3.937302e+01 	 1.056266e-07 	7.874564e+01 	 3.905890e-08 	 
3.954802e+01 	 7.662881e-08 	7.909408e+01 	 7.738064e-09 	 
3.972301e+01 	 9.349558e-08 	7.944251e+01 	 1.365963e-08 	 
3.989800e+01 	 8.948751e-08 	7.979094e+01 	 1.299090e-08 	 
4.007299e+01 	 5.569297e-08 	8.013937e+01 	 1.192828e-08 	 
4.024798e+01 	 4.431771e-08 	8.048780e+01 	 3.076473e-08 	 
4.042297e+01 	 6.494713e-08 	8.083624e+01 	 4.166397e-08 	 
4.059796e+01 	 1.278864e-07 	8.118467e+01 	 2.017766e-08 	 
4.077295e+01 	 1.113434e-07 	8.153310e+01 	 1.609532e-08 	 
4.094794e+01 	 4.548679e-08 	8.188153e+01 	 2.168114e-08 	 
4.112294e+01 	 9.515014e-08 	8.222997e+01 	 1.489221e-08 	 
4.129793e+01 	 1.164889e-07 	8.257840e+01 	 1.087736e-08 	 
4.147292e+01 	 6.198214e-08 	8.292683e+01 	 5.972608e-09 	 
4.164791e+01 	 5.961613e-08 	8.327526e+01 	 2.082570e-09 	 
4.182290e+01 	 7.544331e-08 	8.362369e+01 	 6.432954e-09 	 
4.199789e+01 	 4.047210e-08 	8.397213e+01 	 2.201067e-08 	 
4.217288e+01 	 6.667903e-08 	8.432056e+01 	 1.535943e-08 	 
4.234787e+01 	 1.817299e-07 	8.466899e+01 	 2.634283e-08 	 
4.252287e+01 	 1.257866e-07 	8.501742e+01 	 1.780458e-08 	 
4.269786e+01 	 6.547363e-08 	8.536585e+01 	 8.918817e-09 	 
4.287285e+01 	 6.019594e-08 	8.571429e+01 	 1.124916e-08 	 
4.304784e+01 	 6.818434e-08 	8.606272e+01 	 9.375981e-09 	 
4.322283e+01 	 9.532439e-08 	8.641115e+01 	 1.072150e-08 	 
4.339782e+01 	 5.368670e-08 	8.675958e+01 	 5.011364e-09 	 
