x0	cdp	x1	cdv	
1.862490e+01 	 3.395807e-01 	1.862490e+01 	 6.120800e-03 	 
1.874990e+01 	 3.356309e-01 	1.874990e+01 	 5.945600e-03 	 
1.887480e+01 	 3.301862e-01 	1.887480e+01 	 5.940300e-03 	 
1.900000e+01 	 3.191406e-01 	1.900000e+01 	 5.985100e-03 	 
1.912490e+01 	 3.107021e-01 	1.912490e+01 	 5.908100e-03 	 
1.924990e+01 	 3.108379e-01 	1.924990e+01 	 5.802300e-03 	 
1.937490e+01 	 3.096660e-01 	1.937490e+01 	 5.668100e-03 	 
1.949990e+01 	 3.155417e-01 	1.949990e+01 	 5.428100e-03 	 
1.962480e+01 	 3.212349e-01 	1.962480e+01 	 5.298900e-03 	 
1.974990e+01 	 3.236615e-01 	1.974990e+01 	 5.115100e-03 	 
1.987490e+01 	 3.257868e-01 	1.987490e+01 	 4.980000e-03 	 
1.999990e+01 	 3.289533e-01 	1.999990e+01 	 4.869800e-03 	 
2.012490e+01 	 3.333501e-01 	2.012490e+01 	 4.781400e-03 	 
2.024990e+01 	 3.388072e-01 	2.024990e+01 	 4.673400e-03 	 
2.037490e+01 	 3.437096e-01 	2.037490e+01 	 4.583000e-03 	 
2.049990e+01 	 3.485455e-01 	2.049990e+01 	 4.513500e-03 	 
2.062480e+01 	 3.557039e-01 	2.062480e+01 	 4.389000e-03 	 
2.074990e+01 	 3.652138e-01 	2.074990e+01 	 4.292600e-03 	 
2.087490e+01 	 3.722201e-01 	2.087490e+01 	 4.206600e-03 	 
2.099980e+01 	 3.795525e-01 	2.099980e+01 	 4.148900e-03 	 
2.112480e+01 	 3.833739e-01 	2.112480e+01 	 4.095900e-03 	 
2.124980e+01 	 3.868059e-01 	2.124980e+01 	 4.075500e-03 	 
2.137490e+01 	 3.885158e-01 	2.137490e+01 	 4.087500e-03 	 
2.150000e+01 	 3.906526e-01 	2.150000e+01 	 4.103700e-03 	 
2.162490e+01 	 3.919632e-01 	2.162490e+01 	 4.152200e-03 	 
2.175000e+01 	 3.905416e-01 	2.175000e+01 	 4.242900e-03 	 
2.187490e+01 	 3.881443e-01 	2.187490e+01 	 4.359000e-03 	 
2.200000e+01 	 3.869342e-01 	2.200000e+01 	 4.487500e-03 	 
2.212500e+01 	 3.863470e-01 	2.212500e+01 	 4.583800e-03 	 
2.224990e+01 	 3.864203e-01 	2.224990e+01 	 4.709500e-03 	 
2.237490e+01 	 3.835010e-01 	2.237490e+01 	 4.869700e-03 	 
2.249980e+01 	 3.812732e-01 	2.249980e+01 	 5.014800e-03 	 
2.262490e+01 	 3.809531e-01 	2.262490e+01 	 5.112200e-03 	 
2.274990e+01 	 3.795872e-01 	2.274990e+01 	 5.174300e-03 	 
2.287500e+01 	 3.787455e-01 	2.287500e+01 	 5.269700e-03 	 
2.299980e+01 	 3.776667e-01 	2.299980e+01 	 5.344700e-03 	 
2.312480e+01 	 3.755624e-01 	2.312480e+01 	 5.422400e-03 	 
2.324990e+01 	 3.726991e-01 	2.324990e+01 	 5.477500e-03 	 
2.337490e+01 	 3.704268e-01 	2.337490e+01 	 5.509400e-03 	 
2.349990e+01 	 3.688903e-01 	2.349990e+01 	 5.505600e-03 	 
2.362490e+01 	 3.660918e-01 	2.362490e+01 	 5.488100e-03 	 
