x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	x4	O2_up	x5	O2_bot	
-8.071080e-02 	 -4.185896e-04 	nan          	nan          	-8.071080e-02 	 5.127267e-03 	nan          	nan          	-8.071080e-02 	 -4.740589e-04 	-8.071080e-02 	 5.109961e-03 	 
-7.138918e-02 	 -3.654571e-04 	nan          	nan          	-7.138918e-02 	 4.999830e-03 	nan          	nan          	-7.138918e-02 	 -4.128815e-04 	-7.138918e-02 	 4.988506e-03 	 
-6.203983e-02 	 -3.358024e-04 	nan          	nan          	-6.203983e-02 	 4.876118e-03 	nan          	nan          	-6.203983e-02 	 -3.790782e-04 	-6.203983e-02 	 4.870248e-03 	 
-5.266659e-02 	 -3.823602e-04 	nan          	nan          	-5.266659e-02 	 4.755827e-03 	nan          	nan          	-5.266659e-02 	 -4.319253e-04 	-5.266659e-02 	 4.754948e-03 	 
-4.327331e-02 	 -5.461938e-04 	nan          	nan          	-4.327331e-02 	 4.638882e-03 	nan          	nan          	-4.327331e-02 	 -6.172297e-04 	-4.327331e-02 	 4.642802e-03 	 
-3.386385e-02 	 -9.156501e-04 	nan          	nan          	-3.386385e-02 	 4.525722e-03 	nan          	nan          	-3.386385e-02 	 -1.038962e-03 	-3.386385e-02 	 4.533543e-03 	 
-2.444209e-02 	 -1.664747e-03 	nan          	nan          	-2.444209e-02 	 4.415267e-03 	nan          	nan          	-2.444209e-02 	 -1.900004e-03 	-2.444209e-02 	 4.427071e-03 	 
-1.501189e-02 	 -2.854511e-03 	nan          	nan          	-1.501189e-02 	 4.307877e-03 	nan          	nan          	-1.501189e-02 	 -3.271716e-03 	-1.501189e-02 	 4.323133e-03 	 
-5.577145e-03 	 -4.264959e-03 	nan          	nan          	-5.577145e-03 	 4.203510e-03 	nan          	nan          	-5.577145e-03 	 -4.898900e-03 	-5.577145e-03 	 4.222041e-03 	 
3.858267e-03 	 -5.570613e-03 	nan          	nan          	3.858267e-03 	 4.101737e-03 	nan          	nan          	3.858267e-03 	 -6.404173e-03 	3.858267e-03 	 4.123272e-03 	 
1.329046e-02 	 -6.531046e-03 	nan          	nan          	1.329046e-02 	 4.003059e-03 	nan          	nan          	1.329046e-02 	 -7.496886e-03 	1.329046e-02 	 4.026852e-03 	 
2.271556e-02 	 -7.055141e-03 	nan          	nan          	2.271556e-02 	 3.906806e-03 	nan          	nan          	2.271556e-02 	 -8.068768e-03 	2.271556e-02 	 3.932554e-03 	 
3.212970e-02 	 -7.256430e-03 	nan          	nan          	3.212970e-02 	 3.812579e-03 	nan          	nan          	3.212970e-02 	 -8.271391e-03 	3.212970e-02 	 3.840388e-03 	 
4.152899e-02 	 -7.236543e-03 	nan          	nan          	4.152899e-02 	 3.721037e-03 	nan          	nan          	4.152899e-02 	 -8.214970e-03 	4.152899e-02 	 3.750470e-03 	 
5.090960e-02 	 -6.858858e-03 	nan          	nan          	5.090960e-02 	 3.631404e-03 	nan          	nan          	5.090960e-02 	 -7.735864e-03 	5.090960e-02 	 3.662334e-03 	 
6.026767e-02 	 -6.008313e-03 	nan          	nan          	6.026767e-02 	 3.543859e-03 	nan          	nan          	6.026767e-02 	 -6.739680e-03 	6.026767e-02 	 3.575875e-03 	 
6.959938e-02 	 -4.766595e-03 	nan          	nan          	6.959938e-02 	 3.458159e-03 	nan          	nan          	6.959938e-02 	 -5.334330e-03 	6.959938e-02 	 3.491193e-03 	 
7.890093e-02 	 -3.201838e-03 	nan          	nan          	7.890093e-02 	 3.374215e-03 	nan          	nan          	7.890093e-02 	 -3.586913e-03 	7.890093e-02 	 3.408102e-03 	 
8.816852e-02 	 -1.426433e-03 	nan          	nan          	8.816852e-02 	 3.291778e-03 	nan          	nan          	8.816852e-02 	 -1.643988e-03 	8.816852e-02 	 3.326240e-03 	 
9.739838e-02 	 2.883672e-04 	nan          	nan          	9.739838e-02 	 3.210943e-03 	nan          	nan          	9.739838e-02 	 1.967684e-04 	9.739838e-02 	 3.246018e-03 	 
1.065868e-01 	 1.785903e-03 	nan          	nan          	1.065868e-01 	 3.131418e-03 	nan          	nan          	1.065868e-01 	 1.790488e-03 	1.065868e-01 	 3.166936e-03 	 
1.157300e-01 	 3.066896e-03 	nan          	nan          	1.157300e-01 	 3.053087e-03 	nan          	nan          	1.157300e-01 	 3.151596e-03 	1.157300e-01 	 3.088892e-03 	 
1.248244e-01 	 4.069618e-03 	nan          	nan          	1.248244e-01 	 2.976015e-03 	nan          	nan          	1.248244e-01 	 4.211261e-03 	1.248244e-01 	 3.011944e-03 	 
1.338662e-01 	 4.774859e-03 	nan          	nan          	1.338662e-01 	 2.900032e-03 	nan          	nan          	1.338662e-01 	 4.946411e-03 	1.338662e-01 	 2.935923e-03 	 
1.428519e-01 	 5.321924e-03 	nan          	nan          	1.428519e-01 	 2.824804e-03 	nan          	nan          	1.428519e-01 	 5.509800e-03 	1.428519e-01 	 2.860731e-03 	 
1.517779e-01 	 5.801764e-03 	nan          	nan          	1.517779e-01 	 2.750323e-03 	nan          	nan          	1.517779e-01 	 6.003909e-03 	1.517779e-01 	 2.786168e-03 	 
1.606407e-01 	 6.174411e-03 	nan          	nan          	1.606407e-01 	 2.676704e-03 	nan          	nan          	1.606407e-01 	 6.384901e-03 	1.606407e-01 	 2.712364e-03 	 
1.694367e-01 	 6.418972e-03 	nan          	nan          	1.694367e-01 	 2.603590e-03 	nan          	nan          	1.694367e-01 	 6.629752e-03 	1.694367e-01 	 2.639038e-03 	 
1.781625e-01 	 6.591588e-03 	nan          	nan          	1.781625e-01 	 2.530977e-03 	nan          	nan          	1.781625e-01 	 6.800546e-03 	1.781625e-01 	 2.566189e-03 	 
1.868148e-01 	 6.740472e-03 	nan          	nan          	1.868148e-01 	 2.458761e-03 	nan          	nan          	1.868148e-01 	 6.948898e-03 	1.868148e-01 	 2.493780e-03 	 
1.953901e-01 	 6.862470e-03 	nan          	nan          	1.953901e-01 	 2.386949e-03 	nan          	nan          	1.953901e-01 	 7.069966e-03 	1.953901e-01 	 2.421624e-03 	 
2.038851e-01 	 6.939452e-03 	nan          	nan          	2.038851e-01 	 2.315560e-03 	nan          	nan          	2.038851e-01 	 7.144004e-03 	2.038851e-01 	 2.349821e-03 	 
2.122966e-01 	 6.967533e-03 	nan          	nan          	2.122966e-01 	 2.244274e-03 	nan          	nan          	2.122966e-01 	 7.166795e-03 	2.122966e-01 	 2.278218e-03 	 
