x0	i=0	x1	i=1	x2	i=2	
1.341341e-01 	 -3.422745e-05 	1.341341e-01 	 1.449284e-06 	1.341341e-01 	 -4.227308e-06 	 
1.351351e-01 	 -3.491941e-05 	1.351351e-01 	 1.513567e-06 	1.351351e-01 	 -4.278660e-06 	 
1.361361e-01 	 -3.562454e-05 	1.361361e-01 	 1.580165e-06 	1.361361e-01 	 -4.330008e-06 	 
1.371371e-01 	 -3.634311e-05 	1.371371e-01 	 1.649142e-06 	1.371371e-01 	 -4.381344e-06 	 
1.381381e-01 	 -3.707541e-05 	1.381381e-01 	 1.720564e-06 	1.381381e-01 	 -4.432657e-06 	 
1.391391e-01 	 -3.782173e-05 	1.391391e-01 	 1.794497e-06 	1.391391e-01 	 -4.483937e-06 	 
1.401401e-01 	 -3.858235e-05 	1.401401e-01 	 1.871007e-06 	1.401401e-01 	 -4.535174e-06 	 
1.411411e-01 	 -3.935756e-05 	1.411411e-01 	 1.950163e-06 	1.411411e-01 	 -4.586357e-06 	 
1.421421e-01 	 -4.014767e-05 	1.421421e-01 	 2.032036e-06 	1.421421e-01 	 -4.637475e-06 	 
1.431431e-01 	 -4.095297e-05 	1.431431e-01 	 2.116695e-06 	1.431431e-01 	 -4.688518e-06 	 
1.441441e-01 	 -4.177378e-05 	1.441441e-01 	 2.204213e-06 	1.441441e-01 	 -4.739475e-06 	 
1.451451e-01 	 -4.261041e-05 	1.451451e-01 	 2.294663e-06 	1.451451e-01 	 -4.790335e-06 	 
1.461461e-01 	 -4.346316e-05 	1.461461e-01 	 2.388120e-06 	1.461461e-01 	 -4.841086e-06 	 
1.471471e-01 	 -4.433237e-05 	1.471471e-01 	 2.484660e-06 	1.471471e-01 	 -4.891717e-06 	 
1.481481e-01 	 -4.521835e-05 	1.481481e-01 	 2.584360e-06 	1.481481e-01 	 -4.942217e-06 	 
1.491491e-01 	 -4.612143e-05 	1.491491e-01 	 2.687298e-06 	1.491491e-01 	 -4.992574e-06 	 
1.501502e-01 	 -4.704195e-05 	1.501502e-01 	 2.793553e-06 	1.501502e-01 	 -5.042776e-06 	 
1.511512e-01 	 -4.798025e-05 	1.511512e-01 	 2.903208e-06 	1.511512e-01 	 -5.092811e-06 	 
1.521522e-01 	 -4.893665e-05 	1.521522e-01 	 3.016343e-06 	1.521522e-01 	 -5.142668e-06 	 
1.531532e-01 	 -4.991152e-05 	1.531532e-01 	 3.133042e-06 	1.531532e-01 	 -5.192332e-06 	 
1.541542e-01 	 -5.090520e-05 	1.541542e-01 	 3.253391e-06 	1.541542e-01 	 -5.241793e-06 	 
1.551552e-01 	 -5.191804e-05 	1.551552e-01 	 3.377475e-06 	1.551552e-01 	 -5.291037e-06 	 
1.561562e-01 	 -5.295039e-05 	1.561562e-01 	 3.505381e-06 	1.561562e-01 	 -5.340052e-06 	 
1.571572e-01 	 -5.400263e-05 	1.571572e-01 	 3.637198e-06 	1.571572e-01 	 -5.388824e-06 	 
1.581582e-01 	 -5.507512e-05 	1.581582e-01 	 3.773016e-06 	1.581582e-01 	 -5.437341e-06 	 
1.591592e-01 	 -5.616822e-05 	1.591592e-01 	 3.912927e-06 	1.591592e-01 	 -5.485588e-06 	 
1.601602e-01 	 -5.728231e-05 	1.601602e-01 	 4.057023e-06 	1.601602e-01 	 -5.533553e-06 	 
1.611612e-01 	 -5.841776e-05 	1.611612e-01 	 4.205397e-06 	1.611612e-01 	 -5.581222e-06 	 
1.621622e-01 	 -5.957496e-05 	1.621622e-01 	 4.358146e-06 	1.621622e-01 	 -5.628580e-06 	 
1.631632e-01 	 -6.075429e-05 	1.631632e-01 	 4.515365e-06 	1.631632e-01 	 -5.675614e-06 	 
1.641642e-01 	 -6.195614e-05 	1.641642e-01 	 4.677153e-06 	1.641642e-01 	 -5.722309e-06 	 
1.651652e-01 	 -6.318089e-05 	1.651652e-01 	 4.843609e-06 	1.651652e-01 	 -5.768651e-06 	 
1.661662e-01 	 -6.442895e-05 	1.661662e-01 	 5.014834e-06 	1.661662e-01 	 -5.814625e-06 	 
1.671672e-01 	 -6.570071e-05 	1.671672e-01 	 5.190929e-06 	1.671672e-01 	 -5.860216e-06 	 
1.681682e-01 	 -6.699658e-05 	1.681682e-01 	 5.371997e-06 	1.681682e-01 	 -5.905409e-06 	 
1.691692e-01 	 -6.831695e-05 	1.691692e-01 	 5.558144e-06 	1.691692e-01 	 -5.950188e-06 	 
1.701702e-01 	 -6.966223e-05 	1.701702e-01 	 5.749476e-06 	1.701702e-01 	 -5.994539e-06 	 
1.711712e-01 	 -7.103285e-05 	1.711712e-01 	 5.946098e-06 	1.711712e-01 	 -6.038445e-06 	 
1.721722e-01 	 -7.242920e-05 	1.721722e-01 	 6.148122e-06 	1.721722e-01 	 -6.081890e-06 	 
1.731732e-01 	 -7.385172e-05 	1.731732e-01 	 6.355655e-06 	1.731732e-01 	 -6.124859e-06 	 
1.741742e-01 	 -7.530081e-05 	1.741742e-01 	 6.568810e-06 	1.741742e-01 	 -6.167334e-06 	 
1.751752e-01 	 -7.677690e-05 	1.751752e-01 	 6.787700e-06 	1.751752e-01 	 -6.209300e-06 	 
1.761762e-01 	 -7.828041e-05 	1.761762e-01 	 7.012438e-06 	1.761762e-01 	 -6.250739e-06 	 
1.771772e-01 	 -7.981178e-05 	1.771772e-01 	 7.243140e-06 	1.771772e-01 	 -6.291634e-06 	 
1.781782e-01 	 -8.137144e-05 	1.781782e-01 	 7.479923e-06 	1.781782e-01 	 -6.331968e-06 	 
1.791792e-01 	 -8.295981e-05 	1.791792e-01 	 7.722905e-06 	1.791792e-01 	 -6.371723e-06 	 
1.801802e-01 	 -8.457733e-05 	1.801802e-01 	 7.972205e-06 	1.801802e-01 	 -6.410882e-06 	 
1.811812e-01 	 -8.622444e-05 	1.811812e-01 	 8.227944e-06 	1.811812e-01 	 -6.449427e-06 	 
1.821822e-01 	 -8.790158e-05 	1.821822e-01 	 8.490244e-06 	1.821822e-01 	 -6.487338e-06 	 
1.831832e-01 	 -8.960919e-05 	1.831832e-01 	 8.759229e-06 	1.831832e-01 	 -6.524599e-06 	 
1.841842e-01 	 -9.134771e-05 	1.841842e-01 	 9.035023e-06 	1.841842e-01 	 -6.561189e-06 	 
1.851852e-01 	 -9.311758e-05 	1.851852e-01 	 9.317753e-06 	1.851852e-01 	 -6.597090e-06 	 
1.861862e-01 	 -9.491926e-05 	1.861862e-01 	 9.607547e-06 	1.861862e-01 	 -6.632283e-06 	 
1.871872e-01 	 -9.675320e-05 	1.871872e-01 	 9.904532e-06 	1.871872e-01 	 -6.666747e-06 	 
1.881882e-01 	 -9.861983e-05 	1.881882e-01 	 1.020884e-05 	1.881882e-01 	 -6.700464e-06 	 
1.891892e-01 	 -1.005196e-04 	1.891892e-01 	 1.052060e-05 	1.891892e-01 	 -6.733413e-06 	 
1.901902e-01 	 -1.024530e-04 	1.901902e-01 	 1.083995e-05 	1.901902e-01 	 -6.765574e-06 	 
1.911912e-01 	 -1.044204e-04 	1.911912e-01 	 1.116701e-05 	1.911912e-01 	 -6.796925e-06 	 
1.921922e-01 	 -1.064224e-04 	1.921922e-01 	 1.150194e-05 	1.921922e-01 	 -6.827447e-06 	 
1.931932e-01 	 -1.084593e-04 	1.931932e-01 	 1.184485e-05 	1.931932e-01 	 -6.857118e-06 	 
1.941942e-01 	 -1.105316e-04 	1.941942e-01 	 1.219590e-05 	1.941942e-01 	 -6.885916e-06 	 
1.951952e-01 	 -1.126399e-04 	1.951952e-01 	 1.255521e-05 	1.951952e-01 	 -6.913820e-06 	 
1.961962e-01 	 -1.147844e-04 	1.961962e-01 	 1.292294e-05 	1.961962e-01 	 -6.940807e-06 	 
1.971972e-01 	 -1.169657e-04 	1.971972e-01 	 1.329921e-05 	1.971972e-01 	 -6.966855e-06 	 
1.981982e-01 	 -1.191843e-04 	1.981982e-01 	 1.368418e-05 	1.981982e-01 	 -6.991942e-06 	 
1.991992e-01 	 -1.214405e-04 	1.991992e-01 	 1.407799e-05 	1.991992e-01 	 -7.016044e-06 	 
2.002002e-01 	 -1.237349e-04 	2.002002e-01 	 1.448079e-05 	2.002002e-01 	 -7.039139e-06 	 
2.012012e-01 	 -1.260679e-04 	2.012012e-01 	 1.489271e-05 	2.012012e-01 	 -7.061202e-06 	 
2.022022e-01 	 -1.284400e-04 	2.022022e-01 	 1.531391e-05 	2.022022e-01 	 -7.082210e-06 	 
2.032032e-01 	 -1.308515e-04 	2.032032e-01 	 1.574454e-05 	2.032032e-01 	 -7.102138e-06 	 
2.042042e-01 	 -1.333031e-04 	2.042042e-01 	 1.618475e-05 	2.042042e-01 	 -7.120962e-06 	 
2.052052e-01 	 -1.357950e-04 	2.052052e-01 	 1.663469e-05 	2.052052e-01 	 -7.138657e-06 	 
2.062062e-01 	 -1.383278e-04 	2.062062e-01 	 1.709451e-05 	2.062062e-01 	 -7.155197e-06 	 
2.072072e-01 	 -1.409019e-04 	2.072072e-01 	 1.756437e-05 	2.072072e-01 	 -7.170558e-06 	 
2.082082e-01 	 -1.435178e-04 	2.082082e-01 	 1.804442e-05 	2.082082e-01 	 -7.184713e-06 	 
2.092092e-01 	 -1.461759e-04 	2.092092e-01 	 1.853482e-05 	2.092092e-01 	 -7.197635e-06 	 
2.102102e-01 	 -1.488766e-04 	2.102102e-01 	 1.903572e-05 	2.102102e-01 	 -7.209299e-06 	 
2.112112e-01 	 -1.516204e-04 	2.112112e-01 	 1.954728e-05 	2.112112e-01 	 -7.219678e-06 	 
2.122122e-01 	 -1.544077e-04 	2.122122e-01 	 2.006967e-05 	2.122122e-01 	 -7.228744e-06 	 
2.132132e-01 	 -1.572390e-04 	2.132132e-01 	 2.060304e-05 	2.132132e-01 	 -7.236469e-06 	 
2.142142e-01 	 -1.601146e-04 	2.142142e-01 	 2.114755e-05 	2.142142e-01 	 -7.242825e-06 	 
2.152152e-01 	 -1.630351e-04 	2.152152e-01 	 2.170337e-05 	2.152152e-01 	 -7.247784e-06 	 
2.162162e-01 	 -1.660008e-04 	2.162162e-01 	 2.227067e-05 	2.162162e-01 	 -7.251318e-06 	 
2.172172e-01 	 -1.690122e-04 	2.172172e-01 	 2.284959e-05 	2.172172e-01 	 -7.253397e-06 	 
2.182182e-01 	 -1.720696e-04 	2.182182e-01 	 2.344032e-05 	2.182182e-01 	 -7.253991e-06 	 
2.192192e-01 	 -1.751735e-04 	2.192192e-01 	 2.404302e-05 	2.192192e-01 	 -7.253070e-06 	 
2.202202e-01 	 -1.783244e-04 	2.202202e-01 	 2.465785e-05 	2.202202e-01 	 -7.250605e-06 	 
2.212212e-01 	 -1.815225e-04 	2.212212e-01 	 2.528498e-05 	2.212212e-01 	 -7.246565e-06 	 
2.222222e-01 	 -1.847684e-04 	2.222222e-01 	 2.592459e-05 	2.222222e-01 	 -7.240918e-06 	 
2.232232e-01 	 -1.880623e-04 	2.232232e-01 	 2.657685e-05 	2.232232e-01 	 -7.233633e-06 	 
