x0	delta	x1	wle	x2	sle	
-2.330263e-01 	 9.266407e-06 	-2.330263e-01 	 3.852150e-04 	-2.330263e-01 	 3.759486e-04 	 
-2.289344e-01 	 7.602507e-06 	-2.289344e-01 	 3.840104e-04 	-2.289344e-01 	 3.764079e-04 	 
-2.248121e-01 	 6.001001e-06 	-2.248121e-01 	 3.829036e-04 	-2.248121e-01 	 3.769026e-04 	 
-2.206597e-01 	 4.514937e-06 	-2.206597e-01 	 3.818493e-04 	-2.206597e-01 	 3.773344e-04 	 
-2.164778e-01 	 3.022341e-06 	-2.164778e-01 	 3.808162e-04 	-2.164778e-01 	 3.777939e-04 	 
-2.122670e-01 	 1.585266e-06 	-2.122670e-01 	 3.798058e-04 	-2.122670e-01 	 3.782206e-04 	 
-2.080275e-01 	 1.920348e-07 	-2.080275e-01 	 3.788051e-04 	-2.080275e-01 	 3.786131e-04 	 
-2.037600e-01 	 -1.138040e-06 	-2.037600e-01 	 3.778043e-04 	-2.037600e-01 	 3.789423e-04 	 
-1.994650e-01 	 -2.414666e-06 	-1.994650e-01 	 3.768608e-04 	-1.994650e-01 	 3.792755e-04 	 
-1.951430e-01 	 -3.549923e-06 	-1.951430e-01 	 3.759957e-04 	-1.951430e-01 	 3.795456e-04 	 
-1.907944e-01 	 -4.658373e-06 	-1.907944e-01 	 3.751456e-04 	-1.907944e-01 	 3.798040e-04 	 
-1.864199e-01 	 -5.744969e-06 	-1.864199e-01 	 3.742866e-04 	-1.864199e-01 	 3.800316e-04 	 
-1.820200e-01 	 -6.781240e-06 	-1.820200e-01 	 3.734432e-04 	-1.820200e-01 	 3.802245e-04 	 
-1.775951e-01 	 -7.716175e-06 	-1.775951e-01 	 3.726752e-04 	-1.775951e-01 	 3.803914e-04 	 
-1.731459e-01 	 -8.505189e-06 	-1.731459e-01 	 3.720073e-04 	-1.731459e-01 	 3.805125e-04 	 
-1.686729e-01 	 -9.200117e-06 	-1.686729e-01 	 3.714087e-04 	-1.686729e-01 	 3.806088e-04 	 
