t     p     U
  0.3752503E+03       0.6862318E+00       0.3927803E+00
  0.3753752E+03       0.6854553E+00       0.3942109E+00
  0.3755002E+03       0.6847307E+00       0.3955609E+00
  0.3756253E+03       0.6841081E+00       0.3967681E+00
  0.3757502E+03       0.6837317E+00       0.3976196E+00
  0.3758752E+03       0.6832791E+00       0.3985353E+00
  0.3760003E+03       0.6828837E+00       0.3993689E+00
  0.3761253E+03       0.6825231E+00       0.4001711E+00
  0.3762502E+03       0.6823561E+00       0.4007516E+00
  0.3763752E+03       0.6823460E+00       0.4011529E+00
  0.3765002E+03       0.6825796E+00       0.4012462E+00
  0.3766253E+03       0.6829427E+00       0.4011028E+00
  0.3767502E+03       0.6830367E+00       0.4012585E+00
  0.3768752E+03       0.6833635E+00       0.4010743E+00
  0.3770003E+03       0.6836427E+00       0.4009192E+00
  0.3771253E+03       0.6843480E+00       0.4002074E+00
  0.3772502E+03       0.6852112E+00       0.3991583E+00
  0.3773753E+03       0.6862299E+00       0.3978085E+00
  0.3775003E+03       0.6869678E+00       0.3966544E+00
  0.3776253E+03       0.6873433E+00       0.3959546E+00
  0.3777502E+03       0.6876060E+00       0.3954482E+00
  0.3778752E+03       0.6880608E+00       0.3947996E+00
  0.3780002E+03       0.6891087E+00       0.3932987E+00
  0.3781252E+03       0.6902145E+00       0.3915434E+00
  0.3782503E+03       0.6911600E+00       0.3898968E+00
  0.3783753E+03       0.6912259E+00       0.3892475E+00
  0.3785003E+03       0.6917654E+00       0.3883700E+00
  0.3786252E+03       0.6924537E+00       0.3870314E+00
  0.3787503E+03       0.6931177E+00       0.3857568E+00
  0.3788753E+03       0.6934838E+00       0.3847125E+00
  0.3790002E+03       0.6938362E+00       0.3839373E+00
  0.3791252E+03       0.6945024E+00       0.3826510E+00
  0.3792502E+03       0.6947488E+00       0.3818319E+00
  0.3793752E+03       0.6948406E+00       0.3813007E+00
  0.3795003E+03       0.6946536E+00       0.3811215E+00
