x0	T1	x1	T2	x2	T3	x3	avg	
-0.31112 	 -0.81009 	-0.31112 	 -0.93737 	-0.31112 	 -0.94503 	-0.31112 	 -0.89750 	 
-0.30736 	 -0.82257 	-0.30736 	 -0.96029 	-0.30736 	 -0.93729 	-0.30736 	 -0.90672 	 
-0.30355 	 -0.83350 	-0.30355 	 -0.97573 	-0.30355 	 -0.93058 	-0.30355 	 -0.91327 	 
-0.29969 	 -0.82514 	-0.29969 	 -0.98234 	-0.29969 	 -0.92910 	-0.29969 	 -0.91219 	 
-0.29580 	 -0.82285 	-0.29580 	 -0.96373 	-0.29580 	 -0.92855 	-0.29580 	 -0.90504 	 
-0.29187 	 -0.86422 	-0.29187 	 -0.95389 	-0.29187 	 -0.92444 	-0.29187 	 -0.91418 	 
-0.28789 	 -0.93171 	-0.28789 	 -0.97081 	-0.28789 	 -0.91870 	-0.28789 	 -0.94041 	 
-0.28388 	 -0.95854 	-0.28388 	 -0.96526 	-0.28388 	 -0.91328 	-0.28388 	 -0.94569 	 
-0.27982 	 -0.94818 	-0.27982 	 -0.93996 	-0.27982 	 -0.90732 	-0.27982 	 -0.93182 	 
-0.27573 	 -0.93481 	-0.27573 	 -0.97295 	-0.27573 	 -0.89900 	-0.27573 	 -0.93559 	 
-0.27160 	 -0.90714 	-0.27160 	 -1.02271 	-0.27160 	 -0.88563 	-0.27160 	 -0.93850 	 
-0.26743 	 -0.87839 	-0.26743 	 -0.93764 	-0.26743 	 -0.86431 	-0.26743 	 -0.89345 	 
-0.26322 	 -0.85941 	-0.26322 	 -0.80611 	-0.26322 	 -0.83440 	-0.26322 	 -0.83330 	 
-0.25897 	 -0.84163 	-0.25897 	 -0.84923 	-0.25897 	 -0.79952 	-0.25897 	 -0.83013 	 
-0.25468 	 -0.84841 	-0.25468 	 -0.96722 	-0.25468 	 -0.76673 	-0.25468 	 -0.86079 	 
-0.25036 	 -0.83549 	-0.25036 	 -0.92574 	-0.25036 	 -0.74216 	-0.25036 	 -0.83446 	 
-0.24601 	 -0.74884 	-0.24601 	 -0.76636 	-0.24601 	 -0.72823 	-0.24601 	 -0.74781 	 
-0.24161 	 -0.68390 	-0.24161 	 -0.65347 	-0.24161 	 -0.72443 	-0.24161 	 -0.68727 	 
-0.23719 	 -0.68623 	-0.23719 	 -0.57714 	-0.23719 	 -0.72498 	-0.23719 	 -0.66278 	 
-0.23272 	 -0.68779 	-0.23272 	 -0.53475 	-0.23272 	 -0.71888 	-0.23272 	 -0.64714 	 
-0.22822 	 -0.68499 	-0.22822 	 -0.54854 	-0.22822 	 -0.70374 	-0.22822 	 -0.64576 	 
-0.22369 	 -0.68164 	-0.22369 	 -0.56006 	-0.22369 	 -0.68661 	-0.22369 	 -0.64277 	 
-0.21913 	 -0.67156 	-0.21913 	 -0.56085 	-0.21913 	 -0.66622 	-0.21913 	 -0.63288 	 
-0.21453 	 -0.67327 	-0.21453 	 -0.57425 	-0.21453 	 -0.63759 	-0.21453 	 -0.62837 	 
-0.20990 	 -0.66635 	-0.20990 	 -0.57756 	-0.20990 	 -0.61333 	-0.20990 	 -0.61908 	 
-0.20524 	 -0.63087 	-0.20524 	 -0.56131 	-0.20524 	 -0.60689 	-0.20524 	 -0.59969 	 
-0.20055 	 -0.59640 	-0.20055 	 -0.55386 	-0.20055 	 -0.60677 	-0.20055 	 -0.58568 	 
-0.19583 	 -0.57770 	-0.19583 	 -0.55893 	-0.19583 	 -0.60146 	-0.19583 	 -0.57936 	 
-0.19108 	 -0.56232 	-0.19108 	 -0.55211 	-0.19108 	 -0.59525 	-0.19108 	 -0.56990 	 
-0.18630 	 -0.55673 	-0.18630 	 -0.53619 	-0.18630 	 -0.59001 	-0.18630 	 -0.56098 	 
-0.18149 	 -0.56378 	-0.18149 	 -0.52590 	-0.18149 	 -0.58439 	-0.18149 	 -0.55802 	 
-0.17665 	 -0.56177 	-0.17665 	 -0.51979 	-0.17665 	 -0.57805 	-0.17665 	 -0.55320 	 
-0.17179 	 -0.54971 	-0.17179 	 -0.51206 	-0.17179 	 -0.57085 	-0.17179 	 -0.54421 	 
-0.16690 	 -0.54718 	-0.16690 	 -0.50593 	-0.16690 	 -0.56469 	-0.16690 	 -0.53926 	 
-0.16198 	 -0.55122 	-0.16198 	 -0.50391 	-0.16198 	 -0.56038 	-0.16198 	 -0.53850 	 
-0.15704 	 -0.55217 	-0.15704 	 -0.50253 	-0.15704 	 -0.55627 	-0.15704 	 -0.53699 	 
-0.15208 	 -0.55314 	-0.15208 	 -0.49886 	-0.15208 	 -0.55113 	-0.15208 	 -0.53438 	 
-0.14709 	 -0.55044 	-0.14709 	 -0.49306 	-0.14709 	 -0.54489 	-0.14709 	 -0.52946 	 
-0.14207 	 -0.54013 	-0.14207 	 -0.48792 	-0.14207 	 -0.53772 	-0.14207 	 -0.52192 	 
-0.13704 	 -0.52865 	-0.13704 	 -0.48397 	-0.13704 	 -0.52989 	-0.13704 	 -0.51417 	 
-0.13198 	 -0.51926 	-0.13198 	 -0.47982 	-0.13198 	 -0.52214 	-0.13198 	 -0.50707 	 
-0.12690 	 -0.51323 	-0.12690 	 -0.47657 	-0.12690 	 -0.51450 	-0.12690 	 -0.50143 	 
-0.12180 	 -0.51085 	-0.12180 	 -0.47428 	-0.12180 	 -0.50673 	-0.12180 	 -0.49728 	 
-0.11668 	 -0.51165 	-0.11668 	 -0.47214 	-0.11668 	 -0.50065 	-0.11668 	 -0.49481 	 
-0.11155 	 -0.52133 	-0.11155 	 -0.47046 	-0.11155 	 -0.49750 	-0.11155 	 -0.49643 	 
-0.10639 	 -0.53442 	-0.10639 	 -0.46935 	-0.10639 	 -0.49519 	-0.10639 	 -0.49965 	 
-0.10121 	 -0.53742 	-0.10121 	 -0.46883 	-0.10121 	 -0.49172 	-0.10121 	 -0.49932 	 
-0.09602 	 -0.53400 	-0.09602 	 -0.46890 	-0.09602 	 -0.48740 	-0.09602 	 -0.49677 	 
-0.09082 	 -0.53206 	-0.09082 	 -0.46938 	-0.09082 	 -0.48332 	-0.09082 	 -0.49492 	 
-0.08559 	 -0.53011 	-0.08559 	 -0.47009 	-0.08559 	 -0.47971 	-0.08559 	 -0.49331 	 
-0.08036 	 -0.52635 	-0.08036 	 -0.47092 	-0.08036 	 -0.47598 	-0.08036 	 -0.49108 	 
-0.07511 	 -0.52025 	-0.07511 	 -0.47177 	-0.07511 	 -0.47220 	-0.07511 	 -0.48807 	 
-0.06984 	 -0.51247 	-0.06984 	 -0.47244 	-0.06984 	 -0.46933 	-0.06984 	 -0.48475 	 
-0.06456 	 -0.50445 	-0.06456 	 -0.47314 	-0.06456 	 -0.46771 	-0.06456 	 -0.48177 	 
-0.05928 	 -0.49637 	-0.05928 	 -0.47456 	-0.05928 	 -0.46674 	-0.05928 	 -0.47922 	 
-0.05398 	 -0.48862 	-0.05398 	 -0.47646 	-0.05398 	 -0.46579 	-0.05398 	 -0.47695 	 
-0.04867 	 -0.48165 	-0.04867 	 -0.47739 	-0.04867 	 -0.46468 	-0.04867 	 -0.47457 	 
-0.04335 	 -0.47532 	-0.04335 	 -0.47652 	-0.04335 	 -0.46353 	-0.04335 	 -0.47179 	 
-0.03802 	 -0.46965 	-0.03802 	 -0.47474 	-0.03802 	 -0.46253 	-0.03802 	 -0.46897 	 
-0.03268 	 -0.46510 	-0.03268 	 -0.47325 	-0.03268 	 -0.46181 	-0.03268 	 -0.46672 	 
-0.02734 	 -0.46234 	-0.02734 	 -0.47237 	-0.02734 	 -0.46117 	-0.02734 	 -0.46529 	 
-0.02199 	 -0.46140 	-0.02199 	 -0.47180 	-0.02199 	 -0.46047 	-0.02199 	 -0.46456 	 
-0.01664 	 -0.46155 	-0.01664 	 -0.47130 	-0.01664 	 -0.45987 	-0.01664 	 -0.46424 	 
-0.01128 	 -0.46199 	-0.01128 	 -0.47095 	-0.01128 	 -0.45960 	-0.01128 	 -0.46418 	 
-0.00591 	 -0.46231 	-0.00591 	 -0.47106 	-0.00591 	 -0.45971 	-0.00591 	 -0.46436 	 
-0.00055 	 -0.46274 	-0.00055 	 -0.47164 	-0.00055 	 -0.46040 	-0.00055 	 -0.46492 	 
0.00482 	 -0.46364 	0.00482 	 -0.47258 	0.00482 	 -0.46166 	0.00482 	 -0.46596 	 
0.01019 	 -0.46482 	0.01019 	 -0.47374 	0.01019 	 -0.46305 	0.01019 	 -0.46720 	 
0.01557 	 -0.46583 	0.01557 	 -0.47492 	0.01557 	 -0.46432 	0.01557 	 -0.46836 	 
0.02094 	 -0.46660 	0.02094 	 -0.47609 	0.02094 	 -0.46574 	0.02094 	 -0.46948 	 
0.02631 	 -0.46712 	0.02631 	 -0.47741 	0.02631 	 -0.46744 	0.02631 	 -0.47065 	 
0.03168 	 -0.46757 	0.03168 	 -0.47906 	0.03168 	 -0.46916 	0.03168 	 -0.47193 	 
0.03705 	 -0.46825 	0.03705 	 -0.48073 	0.03705 	 -0.47089 	0.03705 	 -0.47329 	 
0.04241 	 -0.46893 	0.04241 	 -0.48170 	0.04241 	 -0.47320 	0.04241 	 -0.47461 	 
0.04778 	 -0.46921 	0.04778 	 -0.48213 	0.04778 	 -0.47663 	0.04778 	 -0.47599 	 
0.05313 	 -0.46953 	0.05313 	 -0.48359 	0.05313 	 -0.48090 	0.05313 	 -0.47801 	 
0.05848 	 -0.47084 	0.05848 	 -0.48757 	0.05848 	 -0.48500 	0.05848 	 -0.48114 	 
0.06383 	 -0.47315 	0.06383 	 -0.49276 	0.06383 	 -0.48813 	0.06383 	 -0.48468 	 
0.06917 	 -0.47572 	0.06917 	 -0.49565 	0.06917 	 -0.49044 	0.06917 	 -0.48727 	 
0.07450 	 -0.47813 	0.07450 	 -0.49571 	0.07450 	 -0.49249 	0.07450 	 -0.48878 	 
0.07982 	 -0.48047 	0.07982 	 -0.49696 	0.07982 	 -0.49456 	0.07982 	 -0.49066 	 
0.08513 	 -0.48285 	0.08513 	 -0.50112 	0.08513 	 -0.49667 	0.08513 	 -0.49355 	 
0.09043 	 -0.48549 	0.09043 	 -0.50428 	0.09043 	 -0.49898 	0.09043 	 -0.49625 	 
0.09573 	 -0.48869 	0.09573 	 -0.50453 	0.09573 	 -0.50159 	0.09573 	 -0.49827 	 
0.10101 	 -0.49236 	0.10101 	 -0.50521 	0.10101 	 -0.50429 	0.10101 	 -0.50062 	 
0.10627 	 -0.49598 	0.10627 	 -0.50790 	0.10627 	 -0.50691 	0.10627 	 -0.50360 	 
0.11153 	 -0.49941 	0.11153 	 -0.51075 	0.11153 	 -0.50946 	0.11153 	 -0.50654 	 
0.11677 	 -0.50278 	0.11677 	 -0.51326 	0.11677 	 -0.51189 	0.11677 	 -0.50931 	 
0.12200 	 -0.50587 	0.12200 	 -0.51605 	0.12200 	 -0.51432 	0.12200 	 -0.51208 	 
0.12721 	 -0.50871 	0.12721 	 -0.51838 	0.12721 	 -0.51712 	0.12721 	 -0.51474 	 
0.13240 	 -0.51164 	0.13240 	 -0.51921 	0.13240 	 -0.52009 	0.13240 	 -0.51698 	 
0.13758 	 -0.51492 	0.13758 	 -0.51894 	0.13758 	 -0.52248 	0.13758 	 -0.51878 	 
0.14274 	 -0.51858 	0.14274 	 -0.51891 	0.14274 	 -0.52389 	0.14274 	 -0.52046 	 
0.14789 	 -0.52147 	0.14789 	 -0.52011 	0.14789 	 -0.52465 	0.14789 	 -0.52208 	 
0.15301 	 -0.52205 	0.15301 	 -0.52282 	0.15301 	 -0.52529 	0.15301 	 -0.52339 	 
0.15811 	 -0.52093 	0.15811 	 -0.52635 	0.15811 	 -0.52619 	0.15811 	 -0.52449 	 
0.16320 	 -0.52010 	0.16320 	 -0.52894 	0.16320 	 -0.52743 	0.16320 	 -0.52549 	 
0.16826 	 -0.52061 	0.16826 	 -0.52892 	0.16826 	 -0.52881 	0.16826 	 -0.52611 	 
