"Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2" "Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2"
-6.91932e-03 -3.10509e-04 -8.64011e-05 -1.20645e-04 -1.44701e+00 -5.78803e-01 -4.15310e-01 7.24261e-02 6.82000e-02 -6.91932e-03 -3.10509e-04 -8.64011e-05 -1.20645e-04 -1.44701e+00 -5.78803e-01 -4.15310e-01 7.24261e-02 6.82000e-02
-5.30451e-03 -2.33401e-04 -8.30646e-05 -2.55653e-05 -1.42975e+00 -5.71899e-01 -4.16764e-01 7.24897e-02 6.60000e-02 -5.30451e-03 -2.33401e-04 -8.30646e-05 -2.55653e-05 -1.42975e+00 -5.71899e-01 -4.16764e-01 7.24897e-02 6.60000e-02
-3.49261e-03 -1.44747e-04 -8.08106e-05 7.47938e-05 -1.40655e+00 -5.62618e-01 -4.18356e-01 7.25594e-02 6.38000e-02 -3.49261e-03 -1.44747e-04 -8.08106e-05 7.47938e-05 -1.40655e+00 -5.62618e-01 -4.18356e-01 7.25594e-02 6.38000e-02
-2.86431e-03 -1.14445e-04 -7.93217e-05 1.04515e-04 -1.37488e+00 -5.49950e-01 -4.20063e-01 7.26340e-02 6.16000e-02 -2.86431e-03 -1.14445e-04 -7.93217e-05 1.04515e-04 -1.37488e+00 -5.49950e-01 -4.20063e-01 7.26340e-02 6.16000e-02
-3.01825e-03 -1.30652e-04 -5.89959e-05 2.05725e-05 -1.33250e+00 -5.32999e-01 -4.21857e-01 7.27125e-02 5.94000e-02 -3.01825e-03 -1.30652e-04 -5.89959e-05 2.05725e-05 -1.33250e+00 -5.32999e-01 -4.21857e-01 7.27125e-02 5.94000e-02
-1.55041e-03 -4.42325e-05 -9.01917e-05 1.92251e-04 -1.34357e+00 -5.37423e-01 -4.23709e-01 7.27936e-02 5.72000e-02 -1.55041e-03 -4.42325e-05 -9.01917e-05 1.92251e-04 -1.34357e+00 -5.37423e-01 -4.23709e-01 7.27936e-02 5.72000e-02
-6.77437e-04 3.88277e-05 -1.90100e-04 5.88787e-04 -1.31453e+00 -5.25699e-01 -4.25591e-01 7.28760e-02 5.50000e-02 -6.77437e-04 3.88277e-05 -1.90100e-04 5.88787e-04 -1.31453e+00 -5.25699e-01 -4.25591e-01 7.28760e-02 5.50000e-02
-5.18507e-03 -1.71996e-04 -2.38850e-04 4.69689e-04 -1.19911e+00 -4.79632e-01 -4.27472e-01 7.29583e-02 5.28000e-02 -5.18507e-03 -1.71996e-04 -2.38850e-04 4.69689e-04 -1.19911e+00 -4.79632e-01 -4.27472e-01 7.29583e-02 5.28000e-02
-1.01312e-02 -4.49130e-04 -1.71163e-04 -1.08229e-05 -1.21033e+00 -4.84127e-01 -4.29324e-01 7.30393e-02 5.06000e-02 -1.01312e-02 -4.49130e-04 -1.71163e-04 -1.08229e-05 -1.21033e+00 -4.84127e-01 -4.29324e-01 7.30393e-02 5.06000e-02
-7.77711e-03 -3.52468e-04 -1.07622e-04 -7.97236e-05 -1.28397e+00 -5.13586e-01 -4.31117e-01 7.31178e-02 4.84000e-02 -7.77711e-03 -3.52468e-04 -1.07622e-04 -7.97236e-05 -1.28397e+00 -5.13586e-01 -4.31117e-01 7.31178e-02 4.84000e-02
-1.64134e-03 -6.09629e-05 -5.61827e-05 9.03132e-05 -1.28182e+00 -5.12727e-01 -4.32822e-01 7.31924e-02 4.62000e-02 -1.64134e-03 -6.09629e-05 -5.61827e-05 9.03132e-05 -1.28182e+00 -5.12727e-01 -4.32822e-01 7.31924e-02 4.62000e-02
2.92392e-03 1.42906e-04 9.48579e-06 1.51010e-04 -1.30418e+00 -5.21676e-01 -4.34413e-01 7.32621e-02 4.40000e-02 2.92392e-03 1.42906e-04 9.48579e-06 1.51010e-04 -1.30418e+00 -5.21676e-01 -4.34413e-01 7.32621e-02 4.40000e-02
6.40441e-03 2.96376e-04 5.80066e-05 2.15034e-04 -1.32662e+00 -5.30651e-01 -4.35865e-01 7.33256e-02 4.18000e-02 6.40441e-03 2.96376e-04 5.80066e-05 2.15034e-04 -1.32662e+00 -5.30651e-01 -4.35865e-01 7.33256e-02 4.18000e-02
9.11093e-03 4.12063e-04 9.89421e-05 2.65673e-04 -1.30761e+00 -5.23051e-01 -4.37155e-01 7.33821e-02 3.96000e-02 9.11093e-03 4.12063e-04 9.89421e-05 2.65673e-04 -1.30761e+00 -5.23051e-01 -4.37155e-01 7.33821e-02 3.96000e-02
1.05108e-02 4.63025e-04 1.36774e-04 2.28357e-04 -1.29560e+00 -5.18243e-01 -4.38263e-01 7.34305e-02 3.74000e-02 1.05108e-02 4.63025e-04 1.36774e-04 2.28357e-04 -1.29560e+00 -5.18243e-01 -4.38263e-01 7.34305e-02 3.74000e-02
1.12477e-02 4.85826e-04 1.62433e-04 1.78775e-04 -1.28160e+00 -5.12646e-01 -4.39170e-01 7.34703e-02 3.52000e-02 1.12477e-02 4.85826e-04 1.62433e-04 1.78775e-04 -1.28160e+00 -5.12646e-01 -4.39170e-01 7.34703e-02 3.52000e-02
1.18120e-02 5.02700e-04 1.82330e-04 1.34855e-04 -1.26735e+00 -5.06946e-01 -4.39864e-01 7.35006e-02 3.30000e-02 1.18120e-02 5.02700e-04 1.82330e-04 1.34855e-04 -1.26735e+00 -5.06946e-01 -4.39864e-01 7.35006e-02 3.30000e-02
1.22464e-02 5.15722e-04 1.97546e-04 7.76406e-05 -1.26155e+00 -5.04624e-01 -4.40332e-01 7.35211e-02 3.08000e-02 1.22464e-02 5.15722e-04 1.97546e-04 7.76406e-05 -1.26155e+00 -5.04624e-01 -4.40332e-01 7.35211e-02 3.08000e-02
1.24548e-02 5.21842e-04 2.04817e-04 1.85894e-05 -1.25727e+00 -5.02914e-01 -4.40568e-01 7.35315e-02 2.86000e-02 1.24548e-02 5.21842e-04 2.04817e-04 1.85894e-05 -1.25727e+00 -5.02914e-01 -4.40568e-01 7.35315e-02 2.86000e-02
1.24135e-02 5.20198e-04 2.03923e-04 -3.90853e-05 -1.25993e+00 -5.03977e-01 -4.40568e-01 7.35315e-02 2.64000e-02 1.24135e-02 5.20198e-04 2.03923e-04 -3.90853e-05 -1.25993e+00 -5.03977e-01 -4.40568e-01 7.35315e-02 2.64000e-02
1.22951e-02 5.18278e-04 1.97045e-04 -9.79196e-05 -1.26769e+00 -5.07081e-01 -4.40332e-01 7.35211e-02 2.42000e-02 1.22951e-02 5.18278e-04 1.97045e-04 -9.79196e-05 -1.26769e+00 -5.07081e-01 -4.40332e-01 7.35211e-02 2.42000e-02
1.20718e-02 5.14511e-04 1.84410e-04 -1.57105e-04 -1.28064e+00 -5.12262e-01 -4.39864e-01 7.35006e-02 2.20000e-02 1.20718e-02 5.14511e-04 1.84410e-04 -1.57105e-04 -1.28064e+00 -5.12262e-01 -4.39864e-01 7.35006e-02 2.20000e-02
1.16216e-02 5.03432e-04 1.64109e-04 -2.14370e-04 -1.29983e+00 -5.19938e-01 -4.39170e-01 7.34703e-02 1.98000e-02 1.16216e-02 5.03432e-04 1.64109e-04 -2.14370e-04 -1.29983e+00 -5.19938e-01 -4.39170e-01 7.34703e-02 1.98000e-02
1.09112e-02 4.82620e-04 1.36975e-04 -2.65340e-04 -1.32397e+00 -5.29595e-01 -4.38263e-01 7.34305e-02 1.76000e-02 1.09112e-02 4.82620e-04 1.36975e-04 -2.65340e-04 -1.32397e+00 -5.29595e-01 -4.38263e-01 7.34305e-02 1.76000e-02
9.88433e-03 4.48097e-04 1.04635e-04 -3.02791e-04 -1.35204e+00 -5.40821e-01 -4.37155e-01 7.33821e-02 1.54000e-02 9.88433e-03 4.48097e-04 1.04635e-04 -3.02791e-04 -1.35204e+00 -5.40821e-01 -4.37155e-01 7.33821e-02 1.54000e-02
8.33141e-03 3.88539e-04 6.77885e-05 -3.13145e-04 -1.38042e+00 -5.52173e-01 -4.35865e-01 7.33256e-02 1.32000e-02 8.33141e-03 3.88539e-04 6.77885e-05 -3.13145e-04 -1.38042e+00 -5.52173e-01 -4.35865e-01 7.33256e-02 1.32000e-02
5.83276e-03 2.81921e-04 2.70302e-05 -2.79504e-04 -1.40606e+00 -5.62428e-01 -4.34413e-01 7.32621e-02 1.10000e-02 5.83276e-03 2.81921e-04 2.70302e-05 -2.79504e-04 -1.40606e+00 -5.62428e-01 -4.34413e-01 7.32621e-02 1.10000e-02
2.43133e-03 1.29174e-04 -1.68477e-05 -2.08656e-04 -1.41595e+00 -5.66383e-01 -4.32822e-01 7.31924e-02 8.80000e-03 2.43133e-03 1.29174e-04 -1.68477e-05 -2.08656e-04 -1.41595e+00 -5.66383e-01 -4.32822e-01 7.31924e-02 8.80000e-03
-1.20960e-03 -3.61014e-05 -6.50013e-05 -1.45577e-04 -1.41117e+00 -5.64463e-01 -4.31117e-01 7.31178e-02 6.60000e-03 -1.20960e-03 -3.61014e-05 -6.50013e-05 -1.45577e-04 -1.41117e+00 -5.64463e-01 -4.31117e-01 7.31178e-02 6.60000e-03
-4.69707e-03 -1.91360e-04 -1.22908e-04 -1.36830e-04 -1.40402e+00 -5.61605e-01 -4.29324e-01 7.30393e-02 4.40000e-03 -4.69707e-03 -1.91360e-04 -1.22908e-04 -1.36830e-04 -1.40402e+00 -5.61605e-01 -4.29324e-01 7.30393e-02 4.40000e-03
-7.13689e-03 -2.94341e-04 -1.79791e-04 -1.84190e-04 -1.38809e+00 -5.55230e-01 -4.27472e-01 7.29583e-02 2.20000e-03 -7.13689e-03 -2.94341e-04 -1.79791e-04 -1.84190e-04 -1.38809e+00 -5.55230e-01 -4.27472e-01 7.29583e-02 2.20000e-03
