"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-1.84713e+00	6.02465e-01	3.44467e-01	3.47930e-06	8.47174e-01	5.66516e-01	1.12902e-01	1	9.20000e-02	-4.50000e-01	9.20000e-02	-8.25000e-02
-1.83517e+00	6.02327e-01	3.41530e-01	-3.17665e-06	8.48195e-01	5.67472e-01	1.13936e-01	1	9.30000e-02	-4.50000e-01	9.30000e-02	-8.25000e-02
-1.82339e+00	6.02174e-01	3.38657e-01	-9.60964e-06	8.49200e-01	5.68414e-01	1.14951e-01	1	9.40000e-02	-4.50000e-01	9.40000e-02	-8.25000e-02
-1.81183e+00	6.01993e-01	3.35855e-01	-1.56812e-05	8.50186e-01	5.69339e-01	1.15949e-01	1	9.50000e-02	-4.50000e-01	9.50000e-02	-8.25000e-02
-1.80034e+00	6.01748e-01	3.33109e-01	-1.93375e-05	8.51166e-01	5.70259e-01	1.16945e-01	1	9.60000e-02	-4.50000e-01	9.60000e-02	-8.25000e-02
-1.78900e+00	6.01474e-01	3.30411e-01	-2.25473e-05	8.52132e-01	5.71165e-01	1.17931e-01	1	9.70000e-02	-4.50000e-01	9.70000e-02	-8.25000e-02
-1.77783e+00	6.01171e-01	3.27759e-01	-2.52776e-05	8.53085e-01	5.72059e-01	1.18907e-01	1	9.80000e-02	-4.50000e-01	9.80000e-02	-8.25000e-02
-1.76689e+00	6.00830e-01	3.25184e-01	-2.74001e-05	8.54019e-01	5.72934e-01	1.19866e-01	1	9.90000e-02	-4.50000e-01	9.90000e-02	-8.25000e-02
-1.75610e+00	6.00474e-01	3.22658e-01	-2.89763e-05	8.54940e-01	5.73798e-01	1.20812e-01	1	1.00000e-01	-4.50000e-01	1.00000e-01	-8.25000e-02
-1.74543e+00	6.00104e-01	3.20180e-01	-2.99839e-05	8.55849e-01	5.74651e-01	1.21747e-01	1	1.01000e-01	-4.50000e-01	1.01000e-01	-8.25000e-02
-1.73489e+00	5.99712e-01	3.17777e-01	-2.84089e-05	8.56748e-01	5.75494e-01	1.22665e-01	1	1.02000e-01	-4.50000e-01	1.02000e-01	-8.25000e-02
-1.72438e+00	5.99304e-01	3.15420e-01	-2.42497e-05	8.57643e-01	5.76335e-01	1.23574e-01	1	1.03000e-01	-4.50000e-01	1.03000e-01	-8.25000e-02
-1.71398e+00	5.98893e-01	3.13107e-01	-1.95498e-05	8.58528e-01	5.77167e-01	1.24471e-01	1	1.04000e-01	-4.50000e-01	1.04000e-01	-8.25000e-02
-1.70378e+00	5.98480e-01	3.10867e-01	-1.41857e-05	8.59395e-01	5.77983e-01	1.25345e-01	1	1.05000e-01	-4.50000e-01	1.05000e-01	-8.25000e-02
-1.69369e+00	5.98062e-01	3.08669e-01	-8.26958e-06	8.60252e-01	5.78790e-01	1.26206e-01	1	1.06000e-01	-4.50000e-01	1.06000e-01	-8.25000e-02
-1.68370e+00	5.97638e-01	3.06507e-01	-1.83968e-06	8.61100e-01	5.79590e-01	1.27057e-01	1	1.07000e-01	-4.50000e-01	1.07000e-01	-8.25000e-02
-1.67390e+00	5.97205e-01	3.04406e-01	5.21248e-06	8.61931e-01	5.80374e-01	1.27890e-01	1	1.08000e-01	-4.50000e-01	1.08000e-01	-8.25000e-02
-1.66419e+00	5.96763e-01	3.02337e-01	1.27376e-05	8.62755e-01	5.81151e-01	1.28714e-01	1	1.09000e-01	-4.50000e-01	1.09000e-01	-8.25000e-02
-1.65440e+00	5.96290e-01	3.00288e-01	2.41485e-05	8.63585e-01	5.81934e-01	1.29544e-01	1	1.10000e-01	-4.50000e-01	1.10000e-01	-8.25000e-02
-1.64478e+00	5.95802e-01	2.98292e-01	3.58035e-05	8.64401e-01	5.82703e-01	1.30358e-01	1	1.11000e-01	-4.50000e-01	1.11000e-01	-8.25000e-02
-1.63525e+00	5.95308e-01	2.96321e-01	4.74562e-05	8.65209e-01	5.83466e-01	1.31166e-01	1	1.12000e-01	-4.50000e-01	1.12000e-01	-8.25000e-02
-1.62583e+00	5.94805e-01	2.94386e-01	5.90732e-05	8.66009e-01	5.84220e-01	1.31965e-01	1	1.13000e-01	-4.50000e-01	1.13000e-01	-8.25000e-02
-1.61655e+00	5.94294e-01	2.92494e-01	7.05513e-05	8.66795e-01	5.84962e-01	1.32750e-01	1	1.14000e-01	-4.50000e-01	1.14000e-01	-8.25000e-02
-1.60735e+00	5.93779e-01	2.90626e-01	8.18712e-05	8.67575e-01	5.85698e-01	1.33528e-01	1	1.15000e-01	-4.50000e-01	1.15000e-01	-8.25000e-02
-1.59828e+00	5.93259e-01	2.88800e-01	9.29117e-05	8.68343e-01	5.86423e-01	1.34293e-01	1	1.16000e-01	-4.50000e-01	1.16000e-01	-8.25000e-02
-1.58932e+00	5.92737e-01	2.87007e-01	1.03609e-04	8.69102e-01	5.87140e-01	1.35048e-01	1	1.17000e-01	-4.50000e-01	1.17000e-01	-8.25000e-02
-1.58043e+00	5.92212e-01	2.85236e-01	1.14007e-04	8.69855e-01	5.87852e-01	1.35796e-01	1	1.18000e-01	-4.50000e-01	1.18000e-01	-8.25000e-02
-1.57160e+00	5.91675e-01	2.83506e-01	1.24551e-04	8.70601e-01	5.88557e-01	1.36535e-01	1	1.19000e-01	-4.50000e-01	1.19000e-01	-8.25000e-02
-1.56284e+00	5.91136e-01	2.81796e-01	1.34371e-04	8.71342e-01	5.89258e-01	1.37267e-01	1	1.20000e-01	-4.50000e-01	1.20000e-01	-8.25000e-02
-1.55418e+00	5.90596e-01	2.80114e-01	1.43272e-04	8.72074e-01	5.89952e-01	1.37990e-01	1	1.21000e-01	-4.50000e-01	1.21000e-01	-8.25000e-02
-1.54565e+00	5.90058e-01	2.78468e-01	1.51074e-04	8.72795e-01	5.90634e-01	1.38700e-01	1	1.22000e-01	-4.50000e-01	1.22000e-01	-8.25000e-02
-1.53718e+00	5.89518e-01	2.76839e-01	1.58033e-04	8.73510e-01	5.91312e-01	1.39404e-01	1	1.23000e-01	-4.50000e-01	1.23000e-01	-8.25000e-02
-1.52884e+00	5.88979e-01	2.75244e-01	1.63797e-04	8.74213e-01	5.91978e-01	1.40095e-01	1	1.24000e-01	-4.50000e-01	1.24000e-01	-8.25000e-02
-1.52059e+00	5.88439e-01	2.73671e-01	1.68570e-04	8.74909e-01	5.92638e-01	1.40779e-01	1	1.25000e-01	-4.50000e-01	1.25000e-01	-8.25000e-02
-1.51241e+00	5.87897e-01	2.72118e-01	1.72392e-04	8.75599e-01	5.93293e-01	1.41456e-01	1	1.26000e-01	-4.50000e-01	1.26000e-01	-8.25000e-02
