x0	BtSide	x1	UpSide	
-3.801920e-02 	 9.464790e-02 	-3.801920e-02 	 -9.464790e-02 	 
-3.268340e-02 	 9.414430e-02 	-3.268340e-02 	 -9.414430e-02 	 
-2.734040e-02 	 9.362750e-02 	-2.734040e-02 	 -9.362750e-02 	 
-2.199110e-02 	 9.309770e-02 	-2.199110e-02 	 -9.309770e-02 	 
-1.663620e-02 	 9.255510e-02 	-1.663620e-02 	 -9.255510e-02 	 
-1.127640e-02 	 9.200010e-02 	-1.127640e-02 	 -9.200010e-02 	 
-5.912670e-03 	 9.143280e-02 	-5.912670e-03 	 -9.143280e-02 	 
-5.456540e-04 	 9.085360e-02 	-5.456540e-04 	 -9.085360e-02 	 
4.823840e-03 	 9.026260e-02 	4.823840e-03 	 -9.026260e-02 	 
1.019500e-02 	 8.966030e-02 	1.019500e-02 	 -8.966030e-02 	 
1.556710e-02 	 8.904670e-02 	1.556710e-02 	 -8.904670e-02 	 
2.093940e-02 	 8.842220e-02 	2.093940e-02 	 -8.842220e-02 	 
2.631100e-02 	 8.778710e-02 	2.631100e-02 	 -8.778710e-02 	 
3.168110e-02 	 8.714160e-02 	3.168110e-02 	 -8.714160e-02 	 
3.704900e-02 	 8.648610e-02 	3.704900e-02 	 -8.648610e-02 	 
4.241400e-02 	 8.582070e-02 	4.241400e-02 	 -8.582070e-02 	 
4.777510e-02 	 8.514570e-02 	4.777510e-02 	 -8.514570e-02 	 
5.313170e-02 	 8.446150e-02 	5.313170e-02 	 -8.446150e-02 	 
5.848290e-02 	 8.376830e-02 	5.848290e-02 	 -8.376830e-02 	 
6.382810e-02 	 8.306630e-02 	6.382810e-02 	 -8.306630e-02 	 
6.916630e-02 	 8.235590e-02 	6.916630e-02 	 -8.235590e-02 	 
7.449680e-02 	 8.163730e-02 	7.449680e-02 	 -8.163730e-02 	 
7.981890e-02 	 8.091080e-02 	7.981890e-02 	 -8.091080e-02 	 
8.513170e-02 	 8.017670e-02 	8.513170e-02 	 -8.017670e-02 	 
9.043450e-02 	 7.943520e-02 	9.043450e-02 	 -7.943520e-02 	 
9.572660e-02 	 7.868660e-02 	9.572660e-02 	 -7.868660e-02 	 
1.010070e-01 	 7.793120e-02 	1.010070e-01 	 -7.793120e-02 	 
1.062750e-01 	 7.716930e-02 	1.062750e-01 	 -7.716930e-02 	 
1.115300e-01 	 7.640110e-02 	1.115300e-01 	 -7.640110e-02 	 
1.167720e-01 	 7.562690e-02 	1.167720e-01 	 -7.562690e-02 	 
1.219980e-01 	 7.484690e-02 	1.219980e-01 	 -7.484690e-02 	 
1.272100e-01 	 7.406160e-02 	1.272100e-01 	 -7.406160e-02 	 
1.324050e-01 	 7.327100e-02 	1.324050e-01 	 -7.327100e-02 	 
1.375830e-01 	 7.247550e-02 	1.375830e-01 	 -7.247550e-02 	 
1.427440e-01 	 7.167530e-02 	1.427440e-01 	 -7.167530e-02 	 
1.478870e-01 	 7.087080e-02 	1.478870e-01 	 -7.087080e-02 	 
1.530100e-01 	 7.006210e-02 	1.530100e-01 	 -7.006210e-02 	 
1.581140e-01 	 6.924960e-02 	1.581140e-01 	 -6.924960e-02 	 
1.631970e-01 	 6.843340e-02 	1.631970e-01 	 -6.843340e-02 	 
1.682590e-01 	 6.761390e-02 	1.682590e-01 	 -6.761390e-02 	 
1.732990e-01 	 6.679130e-02 	1.732990e-01 	 -6.679130e-02 	 
1.783160e-01 	 6.596580e-02 	1.783160e-01 	 -6.596580e-02 	 
1.833100e-01 	 6.513780e-02 	1.833100e-01 	 -6.513780e-02 	 
1.882800e-01 	 6.430750e-02 	1.882800e-01 	 -6.430750e-02 	 
1.932250e-01 	 6.347500e-02 	1.932250e-01 	 -6.347500e-02 	 
1.981450e-01 	 6.264080e-02 	1.981450e-01 	 -6.264080e-02 	 
2.030390e-01 	 6.180490e-02 	2.030390e-01 	 -6.180490e-02 	 
2.079060e-01 	 6.096780e-02 	2.079060e-01 	 -6.096780e-02 	 
2.127450e-01 	 6.012950e-02 	2.127450e-01 	 -6.012950e-02 	 
2.175560e-01 	 5.929040e-02 	2.175560e-01 	 -5.929040e-02 	 
2.223380e-01 	 5.845070e-02 	2.223380e-01 	 -5.845070e-02 	 
2.270910e-01 	 5.761060e-02 	2.270910e-01 	 -5.761060e-02 	 
2.318140e-01 	 5.677040e-02 	2.318140e-01 	 -5.677040e-02 	 
2.365070e-01 	 5.593030e-02 	2.365070e-01 	 -5.593030e-02 	 
2.411670e-01 	 5.509050e-02 	2.411670e-01 	 -5.509050e-02 	 
2.457960e-01 	 5.425130e-02 	2.457960e-01 	 -5.425130e-02 	 
2.503930e-01 	 5.341300e-02 	2.503930e-01 	 -5.341300e-02 	 
2.549560e-01 	 5.257560e-02 	2.549560e-01 	 -5.257560e-02 	 
2.594850e-01 	 5.173960e-02 	2.594850e-01 	 -5.173960e-02 	 
2.639800e-01 	 5.090500e-02 	2.639800e-01 	 -5.090500e-02 	 
2.684410e-01 	 5.007210e-02 	2.684410e-01 	 -5.007210e-02 	 
2.728650e-01 	 4.924120e-02 	2.728650e-01 	 -4.924120e-02 	 
2.772540e-01 	 4.841240e-02 	2.772540e-01 	 -4.841240e-02 	 
2.816060e-01 	 4.758610e-02 	2.816060e-01 	 -4.758610e-02 	 
2.859210e-01 	 4.676230e-02 	2.859210e-01 	 -4.676230e-02 	 
2.901990e-01 	 4.594130e-02 	2.901990e-01 	 -4.594130e-02 	 
2.944380e-01 	 4.512330e-02 	2.944380e-01 	 -4.512330e-02 	 
2.986380e-01 	 4.430860e-02 	2.986380e-01 	 -4.430860e-02 	 
3.028000e-01 	 4.349730e-02 	3.028000e-01 	 -4.349730e-02 	 
3.069220e-01 	 4.268970e-02 	3.069220e-01 	 -4.268970e-02 	 
3.110030e-01 	 4.188590e-02 	3.110030e-01 	 -4.188590e-02 	 
3.150440e-01 	 4.108620e-02 	3.150440e-01 	 -4.108620e-02 	 
3.190440e-01 	 4.029070e-02 	3.190440e-01 	 -4.029070e-02 	 
3.230030e-01 	 3.949970e-02 	3.230030e-01 	 -3.949970e-02 	 
3.269190e-01 	 3.871340e-02 	3.269190e-01 	 -3.871340e-02 	 
3.307930e-01 	 3.793190e-02 	3.307930e-01 	 -3.793190e-02 	 
3.346250e-01 	 3.715540e-02 	3.346250e-01 	 -3.715540e-02 	 
3.384130e-01 	 3.638420e-02 	3.384130e-01 	 -3.638420e-02 	 
3.421580e-01 	 3.561840e-02 	3.421580e-01 	 -3.561840e-02 	 
3.458590e-01 	 3.485820e-02 	3.458590e-01 	 -3.485820e-02 	 
3.495160e-01 	 3.410380e-02 	3.495160e-01 	 -3.410380e-02 	 
3.531280e-01 	 3.335530e-02 	3.531280e-01 	 -3.335530e-02 	 
3.566950e-01 	 3.261300e-02 	3.566950e-01 	 -3.261300e-02 	 
3.602170e-01 	 3.187710e-02 	3.602170e-01 	 -3.187710e-02 	 
3.636930e-01 	 3.114760e-02 	3.636930e-01 	 -3.114760e-02 	 
3.671240e-01 	 3.042470e-02 	3.671240e-01 	 -3.042470e-02 	 
3.705080e-01 	 2.970870e-02 	3.705080e-01 	 -2.970870e-02 	 
3.738460e-01 	 2.899970e-02 	3.738460e-01 	 -2.899970e-02 	 
3.771380e-01 	 2.829780e-02 	3.771380e-01 	 -2.829780e-02 	 
3.803820e-01 	 2.760320e-02 	3.803820e-01 	 -2.760320e-02 	 
3.835800e-01 	 2.691610e-02 	3.835800e-01 	 -2.691610e-02 	 
3.867300e-01 	 2.623650e-02 	3.867300e-01 	 -2.623650e-02 	 
3.898330e-01 	 2.556470e-02 	3.898330e-01 	 -2.556470e-02 	 
3.928880e-01 	 2.490080e-02 	3.928880e-01 	 -2.490080e-02 	 
3.958960e-01 	 2.424490e-02 	3.958960e-01 	 -2.424490e-02 	 
3.988550e-01 	 2.359720e-02 	3.988550e-01 	 -2.359720e-02 	 
4.017660e-01 	 2.295770e-02 	4.017660e-01 	 -2.295770e-02 	 
4.046300e-01 	 2.232670e-02 	4.046300e-01 	 -2.232670e-02 	 
4.074450e-01 	 2.170420e-02 	4.074450e-01 	 -2.170420e-02 	 
4.102110e-01 	 2.109030e-02 	4.102110e-01 	 -2.109030e-02 	 
4.129290e-01 	 2.048520e-02 	4.129290e-01 	 -2.048520e-02 	 
4.155990e-01 	 1.988900e-02 	4.155990e-01 	 -1.988900e-02 	 
4.182200e-01 	 1.930170e-02 	4.182200e-01 	 -1.930170e-02 	 
4.207930e-01 	 1.872350e-02 	4.207930e-01 	 -1.872350e-02 	 
4.233170e-01 	 1.815440e-02 	4.233170e-01 	 -1.815440e-02 	 
4.257930e-01 	 1.759460e-02 	4.257930e-01 	 -1.759460e-02 	 
4.282200e-01 	 1.704410e-02 	4.282200e-01 	 -1.704410e-02 	 
4.305990e-01 	 1.650300e-02 	4.305990e-01 	 -1.650300e-02 	 
4.329300e-01 	 1.597130e-02 	4.329300e-01 	 -1.597130e-02 	 
4.352120e-01 	 1.544920e-02 	4.352120e-01 	 -1.544920e-02 	 
4.374470e-01 	 1.493670e-02 	4.374470e-01 	 -1.493670e-02 	 
4.396330e-01 	 1.443390e-02 	4.396330e-01 	 -1.443390e-02 	 
4.417720e-01 	 1.394070e-02 	4.417720e-01 	 -1.394070e-02 	 
4.438630e-01 	 1.345730e-02 	4.438630e-01 	 -1.345730e-02 	 
4.459060e-01 	 1.298360e-02 	4.459060e-01 	 -1.298360e-02 	 
4.479030e-01 	 1.251980e-02 	4.479030e-01 	 -1.251980e-02 	 
4.498520e-01 	 1.206570e-02 	4.498520e-01 	 -1.206570e-02 	 
4.517550e-01 	 1.162150e-02 	4.517550e-01 	 -1.162150e-02 	 
4.536110e-01 	 1.118720e-02 	4.536110e-01 	 -1.118720e-02 	 
4.554210e-01 	 1.076270e-02 	4.554210e-01 	 -1.076270e-02 	 
4.571850e-01 	 1.034800e-02 	4.571850e-01 	 -1.034800e-02 	 
4.589040e-01 	 9.943220e-03 	4.589040e-01 	 -9.943220e-03 	 
4.605770e-01 	 9.548220e-03 	4.605770e-01 	 -9.548220e-03 	 
4.622060e-01 	 9.163010e-03 	4.622060e-01 	 -9.163010e-03 	 
4.637900e-01 	 8.787560e-03 	4.637900e-01 	 -8.787560e-03 	 
4.653300e-01 	 8.421830e-03 	4.653300e-01 	 -8.421830e-03 	 
4.668270e-01 	 8.065770e-03 	4.668270e-01 	 -8.065770e-03 	 
4.682810e-01 	 7.719340e-03 	4.682810e-01 	 -7.719340e-03 	 
4.696920e-01 	 7.382460e-03 	4.696920e-01 	 -7.382460e-03 	 
4.710600e-01 	 7.055080e-03 	4.710600e-01 	 -7.055080e-03 	 
