   n        time         Cl         Cd         AoA         M
    5180     0.75145   0.0000000   0.0006387   0.0000000   0.0004642
    5200     0.75436   0.0000000   0.0006428   0.0000000   0.0004678
    5220     0.75726   0.0000000   0.0006470   0.0000000   0.0004714
    5240     0.76016   0.0000000   0.0006512   0.0000000   0.0004750
    5260     0.76307   0.0000000   0.0006554   0.0000000   0.0004786
    5280     0.76597   0.0000000   0.0006596   0.0000000   0.0004823
    5300     0.76888   0.0000000   0.0006638   0.0000000   0.0004860
    5320     0.77178   0.0000000   0.0006680   0.0000000   0.0004896
    5340     0.77468   0.0000000   0.0006721   0.0000000   0.0004933
    5360     0.77759   0.0000000   0.0006763   0.0000000   0.0004970
    5380     0.78049   0.0000000   0.0006805   0.0000000   0.0005007
    5400     0.78340   0.0000000   0.0006847   0.0000000   0.0005045
    5420     0.78630   0.0000000   0.0006889   0.0000000   0.0005082
    5440     0.78920   0.0000000   0.0006931   0.0000000   0.0005120
    5460     0.79211   0.0000000   0.0006973   0.0000000   0.0005157
    5480     0.79501   0.0000000   0.0007015   0.0000000   0.0005195
    5500     0.79792   0.0000000   0.0007057   0.0000000   0.0005233
    5520     0.80082   0.0000000   0.0007099   0.0000000   0.0005271
    5540     0.80372   0.0000000   0.0007141   0.0000000   0.0005310
    5560     0.80663   0.0000000   0.0007183   0.0000000   0.0005348
    5580     0.80953   0.0000000   0.0007225   0.0000000   0.0005387
    5600     0.81243   0.0000000   0.0007267   0.0000000   0.0005425
    5620     0.81534   0.0000000   0.0007309   0.0000000   0.0005464
    5640     0.81824   0.0000000   0.0007351   0.0000000   0.0005503
    5660     0.82115   0.0000000   0.0007393   0.0000000   0.0005542
    5680     0.82405   0.0000000   0.0007435   0.0000000   0.0005582
    5700     0.82695   0.0000000   0.0007477   0.0000000   0.0005621
    5720     0.82986   0.0000000   0.0007519   0.0000000   0.0005660
    5740     0.83276   0.0000000   0.0007561   0.0000000   0.0005700
    5760     0.83567   0.0000000   0.0007603   0.0000000   0.0005740
    5780     0.83857   0.0000000   0.0007645   0.0000000   0.0005780
    5800     0.84147   0.0000000   0.0007687   0.0000000   0.0005820
    5820     0.84438   0.0000000   0.0007729   0.0000000   0.0005860
    5840     0.84728   0.0000000   0.0007771   0.0000000   0.0005900
    5860     0.85018   0.0000000   0.0007813   0.0000000   0.0005941
    5880     0.85309   0.0000000   0.0007855   0.0000000   0.0005982
    5900     0.85599   0.0000000   0.0007898   0.0000000   0.0006022
    5920     0.85890   0.0000000   0.0007940   0.0000000   0.0006063
    5940     0.86180   0.0000000   0.0007982   0.0000000   0.0006104
    5960     0.86470   0.0000000   0.0008024   0.0000000   0.0006145
    5980     0.86761   0.0000000   0.0008066   0.0000000   0.0006187
    6000     0.87051   0.0000000   0.0008108   0.0000000   0.0006228
    6020     0.87341   0.0000000   0.0008150   0.0000000   0.0006270
    6040     0.87632   0.0000000   0.0008192   0.0000000   0.0006312
    6060     0.87922   0.0000000   0.0008234   0.0000000   0.0006353
    6080     0.88212   0.0000000   0.0008276   0.0000000   0.0006395
    6100     0.88503   0.0000000   0.0008318   0.0000000   0.0006438
    6120     0.88793   0.0000000   0.0008360   0.0000000   0.0006480
    6140     0.89084   0.0000000   0.0008402   0.0000000   0.0006522
    6160     0.89374   0.0000000   0.0008444   0.0000000   0.0006565
    6180     0.89664   0.0000000   0.0008486   0.0000000   0.0006608
    6200     0.89955   0.0000000   0.0008528   0.0000000   0.0006650
    6220     0.90245   0.0000000   0.0008570   0.0000000   0.0006693
    6240     0.90535   0.0000000   0.0008612   0.0000000   0.0006736
    6260     0.90826   0.0000000   0.0008653   0.0000000   0.0006780
    6280     0.91116   0.0000000   0.0008695   0.0000000   0.0006823
    6300     0.91406   0.0000000   0.0008737   0.0000000   0.0006867
    6320     0.91697   0.0000000   0.0008779   0.0000000   0.0006910
    6340     0.91987   0.0000000   0.0008821   0.0000000   0.0006954
    6360     0.92277   0.0000000   0.0008863   0.0000000   0.0006998
    6380     0.92568   0.0000000   0.0008905   0.0000000   0.0007042
    6400     0.92858   0.0000000   0.0008947   0.0000000   0.0007086
    6420     0.93148   0.0000000   0.0008989   0.0000000   0.0007131
    6440     0.93439   0.0000000   0.0009031   0.0000000   0.0007175
    6460     0.93729   0.0000000   0.0009073   0.0000000   0.0007220
    6480     0.94019   0.0000000   0.0009114   0.0000000   0.0007264
    6500     0.94310   0.0000000   0.0009156   0.0000000   0.0007309
    6520     0.94600   0.0000000   0.0009198   0.0000000   0.0007354
    6540     0.94890   0.0000000   0.0009240   0.0000000   0.0007400
    6560     0.95181   0.0000000   0.0009282   0.0000000   0.0007445
    6580     0.95471   0.0000000   0.0009323   0.0000000   0.0007490
    6600     0.95761   0.0000000   0.0009365   0.0000000   0.0007536
    6620     0.96052   0.0000000   0.0009407   0.0000000   0.0007582
    6640     0.96342   0.0000000   0.0009449   0.0000000   0.0007627
    6660     0.96632   0.0000000   0.0009491   0.0000000   0.0007673
    6680     0.96923   0.0000000   0.0009532   0.0000000   0.0007720
    6700     0.97213   0.0000000   0.0009574   0.0000000   0.0007766
    6720     0.97503   0.0000000   0.0009616   0.0000000   0.0007812
    6740     0.97794   0.0000000   0.0009657   0.0000000   0.0007859
    6760     0.98084   0.0000000   0.0009699   0.0000000   0.0007906
    6780     0.98374   0.0000000   0.0009741   0.0000000   0.0007952
    6800     0.98665   0.0000000   0.0009783   0.0000000   0.0007999
    6820     0.98955   0.0000000   0.0009824   0.0000000   0.0008046
    6840     0.99245   0.0000000   0.0009866   0.0000000   0.0008094
    6860     0.99536   0.0000000   0.0009907   0.0000000   0.0008141
