   n        time         Clp         Cdp         Clv         Cdv
 1617540   225.54222   0.6169380   0.0005406   0.0276194   0.0082565
 1617560   225.54486   0.6168759   0.0005411   0.0276091   0.0082542
 1617580   225.54751   0.6168107   0.0005416   0.0275983   0.0082518
 1617600   225.55015   0.6167426   0.0005422   0.0275870   0.0082494
 1617620   225.55280   0.6166718   0.0005427   0.0275753   0.0082470
 1617640   225.55544   0.6165983   0.0005433   0.0275631   0.0082445
 1617660   225.55808   0.6165225   0.0005438   0.0275506   0.0082421
 1617680   225.56073   0.6164445   0.0005443   0.0275377   0.0082396
 1617700   225.56337   0.6163644   0.0005449   0.0275246   0.0082371
 1617720   225.56602   0.6162821   0.0005454   0.0275111   0.0082347
 1617740   225.56866   0.6161973   0.0005460   0.0274971   0.0082322
 1617760   225.57130   0.6161101   0.0005465   0.0274828   0.0082298
 1617780   225.57395   0.6160205   0.0005470   0.0274680   0.0082275
 1617800   225.57659   0.6159292   0.0005475   0.0274530   0.0082251
 1617820   225.57924   0.6158364   0.0005480   0.0274378   0.0082229
 1617840   225.58188   0.6157423   0.0005484   0.0274225   0.0082207
 1617860   225.58453   0.6156465   0.0005489   0.0274069   0.0082187
 1617880   225.58717   0.6155490   0.0005493   0.0273911   0.0082167
 1617900   225.58981   0.6154504   0.0005497   0.0273752   0.0082149
 1617920   225.59246   0.6153512   0.0005501   0.0273593   0.0082132
 1617940   225.59510   0.6152515   0.0005505   0.0273436   0.0082118
 1617960   225.59775   0.6151506   0.0005508   0.0273277   0.0082105
 1617980   225.60039   0.6150478   0.0005511   0.0273116   0.0082094
 1618000   225.60304   0.6149431   0.0005514   0.0272953   0.0082085
 1618020   225.60568   0.6148369   0.0005516   0.0272788   0.0082079
 1618040   225.60832   0.6147294   0.0005518   0.0272623   0.0082074
 1618060   225.61097   0.6146205   0.0005520   0.0272457   0.0082073
 1618080   225.61361   0.6145101   0.0005521   0.0272290   0.0082074
 1618100   225.61626   0.6143982   0.0005522   0.0272122   0.0082079
