   n        time         Clp         Cdp     Clv         Cdv
     368    90.87510   0.6187013   0.0004926   0.0288302   0.0081445
     369    90.88290   0.6182125   0.0004945   0.0287685   0.0081384
     370    90.89070   0.6177291   0.0004967   0.0287078   0.0081313
     371    90.89850   0.6172711   0.0004991   0.0286504   0.0081239
     372    90.90630   0.6168282   0.0005015   0.0285952   0.0081163
     373    90.91410   0.6164217   0.0005038   0.0285451   0.0081087
     374    90.92190   0.6160393   0.0005060   0.0284985   0.0081007
     375    90.92980   0.6156858   0.0005082   0.0284555   0.0080923
     376    90.93750   0.6153684   0.0005103   0.0284167   0.0080835
     377    90.94540   0.6150806   0.0005124   0.0283818   0.0080737
     378    90.95320   0.6148376   0.0005144   0.0283530   0.0080631
     379    90.96100   0.6146305   0.0005165   0.0283297   0.0080516
     380    90.96880   0.6144561   0.0005186   0.0283109   0.0080398
     381    90.97660   0.6142921   0.0005207   0.0282923   0.0080280
     382    90.98450   0.6141374   0.0005227   0.0282738   0.0080174
     383    90.99220   0.6139963   0.0005241   0.0282570   0.0080097
     384    91.00010   0.6138515   0.0005251   0.0282395   0.0080060
     385    91.00780   0.6136898   0.0005253   0.0282181   0.0080074
     386    91.01570   0.6134955   0.0005248   0.0281903   0.0080144
     387    91.02360   0.6132731   0.0005236   0.0281573   0.0080265
     388    91.03130   0.6130329   0.0005218   0.0281212   0.0080425
     389    91.03920   0.6127691   0.0005194   0.0280817   0.0080615
     390    91.04690   0.6124880   0.0005168   0.0280395   0.0080814
     391    91.05480   0.6121756   0.0005140   0.0279922   0.0081011
     392    91.06250   0.6118507   0.0005114   0.0279433   0.0081187
     393    91.07040   0.6115107   0.0005091   0.0278934   0.0081338
     394    91.07830   0.6111547   0.0005071   0.0278414   0.0081456
     395    91.08600   0.6107845   0.0005053   0.0277871   0.0081538
     396    91.09390   0.6103914   0.0005039   0.0277293   0.0081591
     397    91.10160   0.6099847   0.0005030   0.0276688   0.0081620
     398    91.10950   0.6095514   0.0005024   0.0276038   0.0081637
     399    91.11720   0.6091227   0.0005018   0.0275400   0.0081654
