   n        time         Clp         Cdp     Clv         Cdv
     205   131.60170   0.6173147   0.0006085   0.0265770   0.0079839
     206   131.60950   0.6173094   0.0006084   0.0265836   0.0079844
     207   131.61730   0.6172966   0.0006083   0.0265890   0.0079850
     208   131.62510   0.6172780   0.0006081   0.0265931   0.0079862
     209   131.63290   0.6172556   0.0006079   0.0265960   0.0079879
     210   131.64070   0.6172351   0.0006076   0.0265987   0.0079904
     211   131.64850   0.6172201   0.0006073   0.0266022   0.0079933
     212   131.65640   0.6172040   0.0006068   0.0266050   0.0079966
     213   131.66420   0.6171798   0.0006064   0.0266054   0.0079999
     214   131.67200   0.6171544   0.0006060   0.0266051   0.0080029
     215   131.67980   0.6171317   0.0006058   0.0266054   0.0080051
     216   131.68760   0.6171030   0.0006057   0.0266043   0.0080063
     217   131.69540   0.6170665   0.0006055   0.0266011   0.0080071
     218   131.70320   0.6170207   0.0006051   0.0265955   0.0080096
     219   131.71110   0.6169660   0.0006042   0.0265879   0.0080156
     220   131.71890   0.6169104   0.0006030   0.0265802   0.0080245
     221   131.72670   0.6168509   0.0006015   0.0265718   0.0080351
     222   131.73450   0.6167802   0.0006000   0.0265611   0.0080457
     223   131.74230   0.6167060   0.0005986   0.0265500   0.0080558
     224   131.75000   0.6166288   0.0005974   0.0265391   0.0080648
     225   131.75780   0.6165361   0.0005963   0.0265255   0.0080721
     226   131.76580   0.6164284   0.0005956   0.0265098   0.0080774
     227   131.77360   0.6163119   0.0005954   0.0264934   0.0080800
     228   131.78140   0.6161780   0.0005956   0.0264741   0.0080798
     229   131.78910   0.6160366   0.0005962   0.0264538   0.0080769
     230   131.79690   0.6159023   0.0005973   0.0264361   0.0080718
     231   131.80470   0.6157571   0.0005985   0.0264165   0.0080650
     232   131.81270   0.6156047   0.0006000   0.0263961   0.0080574
     233   131.82040   0.6154640   0.0006012   0.0263788   0.0080507
     234   131.82820   0.6153079   0.0006018   0.0263584   0.0080460
     235   131.83600   0.6151273   0.0006022   0.0263327   0.0080439
     236   131.84380   0.6149429   0.0006024   0.0263066   0.0080442
     237   131.85160   0.6147635   0.0006023   0.0262824   0.0080465
     238   131.85940   0.6145711   0.0006019   0.0262553   0.0080499
     239   131.86730   0.6143678   0.0006012   0.0262254   0.0080544
     240   131.87510   0.6141777   0.0006004   0.0261977   0.0080598
     241   131.88290   0.6139847   0.0005995   0.0261683   0.0080659
     242   131.89070   0.6138046   0.0005984   0.0261404   0.0080727
     243   131.89850   0.6136701   0.0005970   0.0261220   0.0080801
     244   131.90630   0.6135294   0.0005956   0.0261003   0.0080879
     245   131.91410   0.6134111   0.0005947   0.0260816   0.0080948
     246   131.92200   0.6133258   0.0005941   0.0260683   0.0081005
     247   131.92980   0.6132629   0.0005938   0.0260580   0.0081048
     248   131.93760   0.6132036   0.0005938   0.0260465   0.0081080
     249   131.94540   0.6131607   0.0005936   0.0260368   0.0081111
