   n        time         Cl         Cd         AoA         M
    3420     0.58651  -0.0000000   0.0002428   0.0000000   0.0015070
    3440     0.58994  -0.0000000   0.0002457   0.0000000   0.0015247
    3460     0.59338  -0.0000000   0.0002486   0.0000000   0.0015425
    3480     0.59682  -0.0000000   0.0002515   0.0000000   0.0015604
    3500     0.60025  -0.0000000   0.0002544   0.0000000   0.0015784
    3520     0.60369  -0.0000000   0.0002572   0.0000000   0.0015965
    3540     0.60713  -0.0000000   0.0002601   0.0000000   0.0016147
    3560     0.61056  -0.0000000   0.0002630   0.0000000   0.0016330
    3580     0.61400  -0.0000000   0.0002659   0.0000000   0.0016514
    3600     0.61743  -0.0000000   0.0002688   0.0000000   0.0016699
    3620     0.62087  -0.0000000   0.0002717   0.0000000   0.0016885
    3640     0.62431  -0.0000000   0.0002746   0.0000000   0.0017072
    3660     0.62774  -0.0000000   0.0002774   0.0000000   0.0017261
    3680     0.63118  -0.0000000   0.0002803   0.0000000   0.0017450
    3700     0.63462  -0.0000000   0.0002832   0.0000000   0.0017640
    3720     0.63805  -0.0000000   0.0002861   0.0000000   0.0017831
    3740     0.64149  -0.0000000   0.0002890   0.0000000   0.0018024
    3760     0.64493  -0.0000000   0.0002919   0.0000000   0.0018217
    3780     0.64836  -0.0000000   0.0002947   0.0000000   0.0018411
    3800     0.65180  -0.0000000   0.0002976   0.0000000   0.0018607
    3820     0.65524  -0.0000000   0.0003005   0.0000000   0.0018803
    3840     0.65867  -0.0000000   0.0003033   0.0000000   0.0019001
    3860     0.66211  -0.0000000   0.0003062   0.0000000   0.0019199
    3880     0.66554  -0.0000000   0.0003091   0.0000000   0.0019398
    3900     0.66898  -0.0000000   0.0003120   0.0000000   0.0019599
    3920     0.67242  -0.0000000   0.0003148   0.0000000   0.0019801
    3940     0.67585  -0.0000000   0.0003177   0.0000000   0.0020003
    3960     0.67929  -0.0000000   0.0003205   0.0000000   0.0020207
    3980     0.68273  -0.0000000   0.0003234   0.0000000   0.0020411
    4000     0.68616  -0.0000000   0.0003262   0.0000000   0.0020617
    4020     0.68960  -0.0000000   0.0003291   0.0000000   0.0020824
    4040     0.69304  -0.0000000   0.0003319   0.0000000   0.0021031
    4060     0.69647  -0.0000000   0.0003348   0.0000000   0.0021240
    4080     0.69991  -0.0000000   0.0003376   0.0000000   0.0021450
    4100     0.70334  -0.0000000   0.0003405   0.0000000   0.0021660
    4120     0.70678  -0.0000000   0.0003433   0.0000000   0.0021872
    4140     0.71022  -0.0000000   0.0003461   0.0000000   0.0022085
    4160     0.71365  -0.0000000   0.0003490   0.0000000   0.0022299
    4180     0.71709  -0.0000000   0.0003518   0.0000000   0.0022514
    4200     0.72053  -0.0000000   0.0003546   0.0000000   0.0022730
    4220     0.72396  -0.0000000   0.0003574   0.0000000   0.0022947
    4240     0.72740  -0.0000000   0.0003602   0.0000000   0.0023165
    4260     0.73084  -0.0000000   0.0003630   0.0000000   0.0023383
    4280     0.73427  -0.0000000   0.0003659   0.0000000   0.0023603
    4300     0.73771  -0.0000000   0.0003687   0.0000000   0.0023824
    4320     0.74115  -0.0000000   0.0003715   0.0000000   0.0024046
    4340     0.74458  -0.0000000   0.0003742   0.0000000   0.0024270
    4360     0.74802  -0.0000000   0.0003770   0.0000000   0.0024494
    4380     0.75145  -0.0000000   0.0003798   0.0000000   0.0024719
    4400     0.75489  -0.0000000   0.0003826   0.0000000   0.0024945
    4420     0.75833  -0.0000000   0.0003854   0.0000000   0.0025172
    4440     0.76176  -0.0000000   0.0003881   0.0000000   0.0025400
    4460     0.76520  -0.0000000   0.0003909   0.0000000   0.0025629
    4480     0.76864  -0.0000000   0.0003937   0.0000000   0.0025860
    4500     0.77207  -0.0000000   0.0003964   0.0000000   0.0026091
    4520     0.77551  -0.0000000   0.0003992   0.0000000   0.0026323
    4540     0.77895  -0.0000000   0.0004019   0.0000000   0.0026556
    4560     0.78238  -0.0000000   0.0004047   0.0000000   0.0026791
    4580     0.78582  -0.0000000   0.0004074   0.0000000   0.0027026
    4600     0.78925  -0.0000000   0.0004101   0.0000000   0.0027262
    4620     0.79269  -0.0000000   0.0004129   0.0000000   0.0027500
    4640     0.79613  -0.0000000   0.0004156   0.0000000   0.0027738
    4660     0.79956  -0.0000000   0.0004183   0.0000000   0.0027977
    4680     0.80300  -0.0000000   0.0004210   0.0000000   0.0028218
    4700     0.80644  -0.0000000   0.0004237   0.0000000   0.0028459
    4720     0.80987  -0.0000000   0.0004264   0.0000000   0.0028702
    4740     0.81331  -0.0000000   0.0004291   0.0000000   0.0028945
    4760     0.81675  -0.0000000   0.0004318   0.0000000   0.0029190
    4780     0.82018  -0.0000000   0.0004345   0.0000000   0.0029435
    4800     0.82362  -0.0000000   0.0004372   0.0000000   0.0029682
    4820     0.82706  -0.0000000   0.0004398   0.0000000   0.0029930
    4840     0.83049  -0.0000000   0.0004425   0.0000000   0.0030178
    4860     0.83393  -0.0000000   0.0004451   0.0000000   0.0030428
    4880     0.83736  -0.0000000   0.0004478   0.0000000   0.0030678
    4900     0.84080  -0.0000000   0.0004504   0.0000000   0.0030930
    4920     0.84424  -0.0000000   0.0004531   0.0000000   0.0031183
    4940     0.84767  -0.0000000   0.0004557   0.0000000   0.0031436
    4960     0.85111  -0.0000000   0.0004583   0.0000000   0.0031691
