St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
1.459477e+01 	 3.648642e-07 	1.459477e+01 	 1.017281e-05 	1.459477e+01 	 1.293431e-04 	1.459477e+01 	 1.195851e-03 	1.459477e+01 	 3.709902e-03 	1.459477e+01 	 2.998851e-02 	1.459477e+01 	 1.602375e-01 	 
1.491910e+01 	 3.139506e-07 	1.491910e+01 	 6.397467e-06 	1.491910e+01 	 1.294326e-04 	1.491910e+01 	 1.043451e-03 	1.491910e+01 	 3.901158e-03 	1.491910e+01 	 2.009063e-02 	1.491910e+01 	 1.094579e-01 	 
1.524343e+01 	 2.099627e-07 	1.524343e+01 	 1.759392e-05 	1.524343e+01 	 1.167496e-04 	1.524343e+01 	 8.989995e-04 	1.524343e+01 	 4.000726e-03 	1.524343e+01 	 1.489085e-02 	1.524343e+01 	 8.939579e-02 	 
1.556776e+01 	 1.397724e-07 	1.556776e+01 	 1.771427e-05 	1.556776e+01 	 1.518191e-04 	1.556776e+01 	 8.598059e-04 	1.556776e+01 	 3.179336e-03 	1.556776e+01 	 2.054895e-02 	1.556776e+01 	 7.189373e-02 	 
1.589209e+01 	 2.125472e-07 	1.589209e+01 	 8.915510e-06 	1.589209e+01 	 1.148390e-04 	1.589209e+01 	 8.016409e-04 	1.589209e+01 	 3.565085e-03 	1.589209e+01 	 1.644462e-02 	1.589209e+01 	 5.722659e-02 	 
1.621642e+01 	 3.226490e-07 	1.621642e+01 	 7.963540e-06 	1.621642e+01 	 7.953253e-05 	1.621642e+01 	 6.489958e-04 	1.621642e+01 	 3.434444e-03 	1.621642e+01 	 1.833340e-02 	1.621642e+01 	 9.181581e-02 	 
1.654074e+01 	 3.702946e-07 	1.654074e+01 	 1.094707e-05 	1.654074e+01 	 9.186580e-05 	1.654074e+01 	 9.966550e-04 	1.654074e+01 	 3.110527e-03 	1.654074e+01 	 1.983475e-02 	1.654074e+01 	 7.695990e-02 	 
1.686507e+01 	 2.895568e-07 	1.686507e+01 	 1.234515e-05 	1.686507e+01 	 1.297545e-04 	1.686507e+01 	 9.880125e-04 	1.686507e+01 	 2.591603e-03 	1.686507e+01 	 1.585807e-02 	1.686507e+01 	 9.487510e-02 	 
1.718940e+01 	 1.578998e-07 	1.718940e+01 	 6.673499e-06 	1.718940e+01 	 1.149581e-04 	1.718940e+01 	 7.829629e-04 	1.718940e+01 	 2.712419e-03 	1.718940e+01 	 1.037118e-02 	1.718940e+01 	 7.740972e-02 	 
1.751373e+01 	 1.029818e-07 	1.751373e+01 	 9.008091e-06 	1.751373e+01 	 1.239611e-04 	1.751373e+01 	 7.130833e-04 	1.751373e+01 	 1.935280e-03 	1.751373e+01 	 9.110512e-03 	1.751373e+01 	 5.039971e-02 	 
1.783806e+01 	 1.522303e-07 	1.783806e+01 	 9.199599e-06 	1.783806e+01 	 1.423210e-04 	1.783806e+01 	 6.748459e-04 	1.783806e+01 	 2.579193e-03 	1.783806e+01 	 1.156039e-02 	1.783806e+01 	 4.709354e-02 	 
1.816239e+01 	 1.669483e-07 	1.816239e+01 	 5.122466e-06 	1.816239e+01 	 9.183732e-05 	1.816239e+01 	 9.131523e-04 	1.816239e+01 	 3.236781e-03 	1.816239e+01 	 1.351810e-02 	1.816239e+01 	 4.740489e-02 	 
1.848671e+01 	 1.050269e-07 	1.848671e+01 	 3.769686e-06 	1.848671e+01 	 8.951919e-05 	1.848671e+01 	 9.892304e-04 	1.848671e+01 	 2.820810e-03 	1.848671e+01 	 1.038757e-02 	1.848671e+01 	 3.466708e-02 	 
1.881104e+01 	 6.622167e-08 	1.881104e+01 	 4.146716e-06 	1.881104e+01 	 1.180896e-04 	1.881104e+01 	 6.573529e-04 	1.881104e+01 	 2.048994e-03 	1.881104e+01 	 1.052712e-02 	1.881104e+01 	 5.114185e-02 	 
1.913537e+01 	 7.517606e-08 	1.913537e+01 	 6.762683e-06 	1.913537e+01 	 1.019865e-04 	1.913537e+01 	 4.775115e-04 	1.913537e+01 	 2.861998e-03 	1.913537e+01 	 1.030452e-02 	1.913537e+01 	 4.702736e-02 	 
1.945970e+01 	 7.629512e-08 	1.945970e+01 	 7.936560e-06 	1.945970e+01 	 7.317180e-05 	1.945970e+01 	 4.784726e-04 	1.945970e+01 	 3.437419e-03 	1.945970e+01 	 5.129872e-03 	1.945970e+01 	 5.513843e-02 	 
1.978403e+01 	 4.982191e-08 	1.978403e+01 	 6.176709e-06 	1.978403e+01 	 9.512298e-05 	1.978403e+01 	 5.348207e-04 	1.978403e+01 	 2.919043e-03 	1.978403e+01 	 7.246667e-03 	1.978403e+01 	 4.436833e-02 	 
2.010836e+01 	 2.325792e-08 	2.010836e+01 	 3.621966e-06 	2.010836e+01 	 6.117995e-05 	2.010836e+01 	 3.704045e-04 	2.010836e+01 	 1.338537e-03 	2.010836e+01 	 5.107966e-03 	2.010836e+01 	 2.258464e-02 	 
