St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
1.665625e+01 	 1.917360e-07 	1.665625e+01 	 2.515138e-06 	1.665625e+01 	 2.077024e-05 	1.665625e+01 	 1.463598e-04 	1.665625e+01 	 1.063710e-03 	1.665625e+01 	 6.514064e-03 	1.665625e+01 	 1.485340e-02 	 
1.698938e+01 	 2.105106e-07 	1.698938e+01 	 1.989836e-06 	1.698938e+01 	 2.871600e-05 	1.698938e+01 	 2.007098e-04 	1.698938e+01 	 1.137027e-03 	1.698938e+01 	 4.402599e-03 	1.698938e+01 	 1.277249e-02 	 
1.732251e+01 	 1.809836e-07 	1.732251e+01 	 2.776043e-06 	1.732251e+01 	 3.215249e-05 	1.732251e+01 	 2.942712e-04 	1.732251e+01 	 1.119992e-03 	1.732251e+01 	 3.573601e-03 	1.732251e+01 	 1.338805e-02 	 
1.765563e+01 	 1.199415e-07 	1.765563e+01 	 1.597597e-06 	1.765563e+01 	 1.916666e-05 	1.765563e+01 	 2.605440e-04 	1.765563e+01 	 8.039296e-04 	1.765563e+01 	 3.670124e-03 	1.765563e+01 	 1.302700e-02 	 
1.798876e+01 	 2.252069e-07 	1.798876e+01 	 2.039314e-06 	1.798876e+01 	 2.225987e-05 	1.798876e+01 	 1.827456e-04 	1.798876e+01 	 5.243143e-04 	1.798876e+01 	 3.675569e-03 	1.798876e+01 	 1.168913e-02 	 
1.832188e+01 	 2.055132e-07 	1.832188e+01 	 1.994954e-06 	1.832188e+01 	 2.155276e-05 	1.832188e+01 	 1.718326e-04 	1.832188e+01 	 5.309305e-04 	1.832188e+01 	 3.301344e-03 	1.832188e+01 	 1.210918e-02 	 
1.865501e+01 	 2.298263e-07 	1.865501e+01 	 1.419612e-06 	1.865501e+01 	 1.791457e-05 	1.865501e+01 	 1.397489e-04 	1.865501e+01 	 6.899963e-04 	1.865501e+01 	 3.585114e-03 	1.865501e+01 	 5.769441e-03 	 
1.898813e+01 	 1.605471e-07 	1.898813e+01 	 8.752875e-07 	1.898813e+01 	 1.452154e-05 	1.898813e+01 	 1.340840e-04 	1.898813e+01 	 6.075813e-04 	1.898813e+01 	 2.763350e-03 	1.898813e+01 	 4.785649e-03 	 
1.932126e+01 	 1.402559e-07 	1.932126e+01 	 1.072544e-06 	1.932126e+01 	 1.335459e-05 	1.932126e+01 	 2.005608e-04 	1.932126e+01 	 3.607002e-04 	1.932126e+01 	 3.708966e-03 	1.932126e+01 	 8.923555e-03 	 
1.965438e+01 	 1.772158e-07 	1.965438e+01 	 9.552477e-07 	1.965438e+01 	 1.546656e-05 	1.965438e+01 	 1.239516e-04 	1.965438e+01 	 3.041841e-04 	1.965438e+01 	 3.487456e-03 	1.965438e+01 	 1.191956e-02 	 
1.998751e+01 	 1.442361e-07 	1.998751e+01 	 9.811142e-07 	1.998751e+01 	 2.497680e-05 	1.998751e+01 	 1.195306e-04 	1.998751e+01 	 2.597575e-04 	1.998751e+01 	 2.522813e-03 	1.998751e+01 	 1.087310e-02 	 
2.032063e+01 	 1.082165e-07 	2.032063e+01 	 9.446212e-07 	2.032063e+01 	 1.847372e-05 	2.032063e+01 	 1.059426e-04 	2.032063e+01 	 4.327265e-04 	2.032063e+01 	 1.637772e-03 	2.032063e+01 	 1.002412e-02 	 
2.065376e+01 	 6.241890e-08 	2.065376e+01 	 4.691934e-07 	2.065376e+01 	 5.971861e-06 	2.065376e+01 	 4.071736e-05 	2.065376e+01 	 1.993405e-04 	2.065376e+01 	 5.354247e-04 	2.065376e+01 	 3.867088e-03 	 
