x0	M1	x1	M2	x2	M3	x3	M4	x4	M5	x5	M6	x6	M7	x7	M8	x8	M9	x9	avg	
-0.46292 	 -0.68565 	-0.46292 	 -1.24562 	-0.46292 	 -1.36965 	-0.46292 	 -1.28556 	-0.46292 	 -1.28549 	-0.46292 	 -1.38239 	-0.46292 	 -1.25290 	-0.46292 	 -0.68910 	-0.46292 	 -0.68565 	-0.46292 	 -1.09800 	 
-0.46143 	 -0.68891 	-0.46143 	 -1.25078 	-0.46143 	 -1.36931 	-0.46143 	 -1.28460 	-0.46143 	 -1.28469 	-0.46143 	 -1.38104 	-0.46143 	 -1.25582 	-0.46143 	 -0.69167 	-0.46143 	 -0.68891 	-0.46143 	 -1.09953 	 
-0.45991 	 -0.69253 	-0.45991 	 -1.25767 	-0.45991 	 -1.36927 	-0.45991 	 -1.28395 	-0.45991 	 -1.28427 	-0.45991 	 -1.38000 	-0.45991 	 -1.26015 	-0.45991 	 -0.69511 	-0.45991 	 -0.69253 	-0.45991 	 -1.10172 	 
-0.45835 	 -0.69620 	-0.45835 	 -1.26639 	-0.45835 	 -1.36929 	-0.45835 	 -1.28355 	-0.45835 	 -1.28414 	-0.45835 	 -1.37915 	-0.45835 	 -1.26599 	-0.45835 	 -0.69924 	-0.45835 	 -0.69620 	-0.45835 	 -1.10446 	 
-0.45675 	 -0.69971 	-0.45675 	 -1.27700 	-0.45675 	 -1.36913 	-0.45675 	 -1.28336 	-0.45675 	 -1.28423 	-0.45675 	 -1.37837 	-0.45675 	 -1.27334 	-0.45675 	 -0.70356 	-0.45675 	 -0.69971 	-0.45675 	 -1.10760 	 
-0.45511 	 -0.70295 	-0.45511 	 -1.28947 	-0.45511 	 -1.36856 	-0.45511 	 -1.28338 	-0.45511 	 -1.28444 	-0.45511 	 -1.37735 	-0.45511 	 -1.28221 	-0.45511 	 -0.70716 	-0.45511 	 -0.70295 	-0.45511 	 -1.11094 	 
-0.45343 	 -0.70596 	-0.45343 	 -1.30366 	-0.45343 	 -1.36727 	-0.45343 	 -1.28361 	-0.45343 	 -1.28469 	-0.45343 	 -1.37575 	-0.45343 	 -1.29246 	-0.45343 	 -0.70947 	-0.45343 	 -0.70596 	-0.45343 	 -1.11432 	 
-0.45171 	 -0.70884 	-0.45171 	 -1.31917 	-0.45171 	 -1.36498 	-0.45171 	 -1.28409 	-0.45171 	 -1.28497 	-0.45171 	 -1.37355 	-0.45171 	 -1.30380 	-0.45171 	 -0.71113 	-0.45171 	 -0.70884 	-0.45171 	 -1.11771 	 
-0.44996 	 -0.71165 	-0.44996 	 -1.33513 	-0.44996 	 -1.36151 	-0.44996 	 -1.28483 	-0.44996 	 -1.28532 	-0.44996 	 -1.37112 	-0.44996 	 -1.31547 	-0.44996 	 -0.71297 	-0.44996 	 -0.71165 	-0.44996 	 -1.12107 	 
-0.44816 	 -0.71451 	-0.44816 	 -1.35002 	-0.44816 	 -1.35701 	-0.44816 	 -1.28573 	-0.44816 	 -1.28582 	-0.44816 	 -1.36858 	-0.44816 	 -1.32616 	-0.44816 	 -0.71502 	-0.44816 	 -0.71451 	-0.44816 	 -1.12415 	 
-0.44632 	 -0.71729 	-0.44632 	 -1.36180 	-0.44632 	 -1.35206 	-0.44632 	 -1.28661 	-0.44632 	 -1.28649 	-0.44632 	 -1.36539 	-0.44632 	 -1.33421 	-0.44632 	 -0.71684 	-0.44632 	 -0.71729 	-0.44632 	 -1.12644 	 
-0.44444 	 -0.71953 	-0.44444 	 -1.36901 	-0.44444 	 -1.34715 	-0.44444 	 -1.28749 	-0.44444 	 -1.28730 	-0.44444 	 -1.36101 	-0.44444 	 -1.33804 	-0.44444 	 -0.71830 	-0.44444 	 -0.71953 	-0.44444 	 -1.12748 	 
-0.44252 	 -0.72120 	-0.44252 	 -1.37058 	-0.44252 	 -1.34201 	-0.44252 	 -1.28854 	-0.44252 	 -1.28835 	-0.44252 	 -1.35552 	-0.44252 	 -1.33680 	-0.44252 	 -0.71974 	-0.44252 	 -0.72120 	-0.44252 	 -1.12710 	 
-0.44056 	 -0.72305 	-0.44056 	 -1.36533 	-0.44056 	 -1.33611 	-0.44056 	 -1.29010 	-0.44056 	 -1.28981 	-0.44056 	 -1.34950 	-0.44056 	 -1.33021 	-0.44056 	 -0.72145 	-0.44056 	 -0.72305 	-0.44056 	 -1.12540 	 
-0.43855 	 -0.72627 	-0.43855 	 -1.35326 	-0.43855 	 -1.32915 	-0.43855 	 -1.29227 	-0.43855 	 -1.29183 	-0.43855 	 -1.34308 	-0.43855 	 -1.31862 	-0.43855 	 -0.72352 	-0.43855 	 -0.72627 	-0.43855 	 -1.12270 	 
