"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-2.48168e-01	-1.38824e-04	2.73098e-04	7.13408e-04	7.09647e-01	2.83860e-01	1.68993e-06	1.06251e-06	5.20809e-08	5.16986e-07	-1.04418e-07	-2.15524e-08	1	1.34200e-01	-6.00000e-01	1.50000e-01	-8.58000e-02
-2.48166e-01	-9.33383e-05	1.58150e-04	6.22629e-04	7.09628e-01	2.83852e-01	1.68272e-06	1.06259e-06	5.26445e-08	5.16422e-07	-1.04952e-07	-2.19576e-08	1	1.36400e-01	-6.00000e-01	1.50000e-01	-8.36000e-02
-2.48137e-01	-5.58909e-05	5.96167e-05	6.23429e-04	7.09608e-01	2.83844e-01	1.67543e-06	1.06258e-06	5.31602e-08	5.15772e-07	-1.05348e-07	-2.23356e-08	1	1.38600e-01	-6.00000e-01	1.50000e-01	-8.14000e-02
-2.48102e-01	-1.46701e-05	-7.02418e-05	7.18602e-04	7.09590e-01	2.83836e-01	1.66808e-06	1.06250e-06	5.36219e-08	5.15036e-07	-1.05607e-07	-2.26847e-08	1	1.40800e-01	-6.00000e-01	1.50000e-01	-7.92000e-02
-2.48216e-01	1.76883e-05	-2.19796e-04	8.97776e-04	7.09571e-01	2.83829e-01	1.66078e-06	1.06254e-06	5.40773e-08	5.14403e-07	-1.05781e-07	-2.30419e-08	1	1.43000e-01	-6.00000e-01	1.50000e-01	-7.70000e-02
-2.48459e-01	6.22700e-05	-2.56998e-04	6.91610e-04	7.09551e-01	2.83821e-01	1.65350e-06	1.06278e-06	5.45303e-08	5.13831e-07	-1.05879e-07	-2.34029e-08	1	1.45200e-01	-6.00000e-01	1.50000e-01	-7.48000e-02
-2.48733e-01	8.26053e-05	-2.20476e-04	4.38185e-04	7.09532e-01	2.83813e-01	1.64621e-06	1.06300e-06	5.49351e-08	5.13272e-07	-1.05867e-07	-2.37511e-08	1	1.47400e-01	-6.00000e-01	1.50000e-01	-7.26000e-02
-2.48883e-01	8.99451e-05	-9.69610e-05	2.18732e-04	7.09513e-01	2.83805e-01	1.63891e-06	1.06316e-06	5.52729e-08	5.12653e-07	-1.05739e-07	-2.40721e-08	1	1.49600e-01	-6.00000e-01	1.50000e-01	-7.04000e-02
-2.48593e-01	1.18359e-04	-1.06485e-04	2.30713e-04	7.09495e-01	2.83798e-01	1.63159e-06	1.06320e-06	5.55239e-08	5.11872e-07	-1.05486e-07	-2.43476e-08	1	1.51800e-01	-6.00000e-01	1.50000e-01	-6.82000e-02
-2.48529e-01	8.50353e-05	-1.93839e-04	3.48667e-04	7.09478e-01	2.83791e-01	1.62421e-06	1.06309e-06	5.56742e-08	5.10951e-07	-1.05104e-07	-2.45710e-08	1	1.54000e-01	-6.00000e-01	1.50000e-01	-6.60000e-02
-2.48555e-01	6.24500e-05	-3.80852e-04	4.99342e-04	7.09461e-01	2.83785e-01	1.61677e-06	1.06281e-06	5.57108e-08	5.09885e-07	-1.04591e-07	-2.47358e-08	1	1.56200e-01	-6.00000e-01	1.50000e-01	-6.38000e-02
-2.48514e-01	8.34268e-05	-1.11409e-04	2.56787e-04	7.09444e-01	2.83778e-01	1.60955e-06	1.06291e-06	5.57732e-08	5.09108e-07	-1.04053e-07	-2.49398e-08	1	1.58400e-01	-6.00000e-01	1.50000e-01	-6.16000e-02
-2.48747e-01	1.69182e-04	-2.39174e-04	4.00171e-04	7.09426e-01	2.83771e-01	1.60246e-06	1.06327e-06	5.58249e-08	5.08509e-07	-1.03476e-07	-2.51699e-08	1	1.60600e-01	-6.00000e-01	1.50000e-01	-5.94000e-02
-2.49034e-01	1.16543e-04	-1.57669e-04	3.36880e-04	7.09409e-01	2.83764e-01	1.59531e-06	1.06340e-06	5.57387e-08	5.07711e-07	-1.02775e-07	-2.53258e-08	1	1.62800e-01	-6.00000e-01	1.50000e-01	-5.72000e-02
-2.48865e-01	-2.91762e-05	-1.90141e-04	3.56502e-04	7.09394e-01	2.83758e-01	1.58815e-06	1.06333e-06	5.55174e-08	5.06733e-07	-1.01959e-07	-2.54111e-08	1	1.65000e-01	-6.00000e-01	1.50000e-01	-5.50000e-02
-2.48738e-01	-1.08247e-04	-1.77766e-04	3.49041e-04	7.09379e-01	2.83752e-01	1.58098e-06	1.06308e-06	5.51677e-08	5.05595e-07	-1.01041e-07	-2.54287e-08	1	1.67200e-01	-6.00000e-01	1.50000e-01	-5.28000e-02
-2.48929e-01	-5.06909e-05	-1.37452e-04	3.44292e-04	7.09363e-01	2.83745e-01	1.57404e-06	1.06327e-06	5.48455e-08	5.04805e-07	-1.00118e-07	-2.55040e-08	1	1.69400e-01	-6.00000e-01	1.50000e-01	-5.06000e-02
-2.49204e-01	5.59771e-06	-1.06821e-04	3.48203e-04	7.09347e-01	2.83739e-01	1.56723e-06	1.06362e-06	5.44722e-08	5.04126e-07	-9.91463e-08	-2.55754e-08	1	1.71600e-01	-6.00000e-01	1.50000e-01	-4.84000e-02
-2.49433e-01	-1.84142e-05	-7.64512e-05	3.35191e-04	7.09332e-01	2.83733e-01	1.56043e-06	1.06378e-06	5.39655e-08	5.03297e-07	-9.80830e-08	-2.55726e-08	1	1.73800e-01	-6.00000e-01	1.50000e-01	-4.62000e-02
-2.49474e-01	-6.01445e-05	-7.08150e-05	3.43160e-04	7.09318e-01	2.83727e-01	1.55365e-06	1.06382e-06	5.33380e-08	5.02365e-07	-9.69383e-08	-2.55031e-08	1	1.76000e-01	-6.00000e-01	1.50000e-01	-4.40000e-02
-2.49441e-01	-6.11554e-05	-4.14741e-05	3.25332e-04	7.09305e-01	2.83722e-01	1.54694e-06	1.06377e-06	5.26041e-08	5.01358e-07	-9.57246e-08	-2.53740e-08	1	1.78200e-01	-6.00000e-01	1.50000e-01	-4.18000e-02
-2.49402e-01	-5.72658e-05	-2.15747e-05	3.37313e-04	7.09292e-01	2.83717e-01	1.54032e-06	1.06367e-06	5.17811e-08	5.00288e-07	-9.44594e-08	-2.51912e-08	1	1.80400e-01	-6.00000e-01	1.50000e-01	-3.96000e-02
-2.49443e-01	-5.42805e-05	-1.14336e-05	3.43888e-04	7.09279e-01	2.83712e-01	1.53380e-06	1.06366e-06	5.08995e-08	4.99317e-07	-9.31532e-08	-2.49928e-08	1	1.82600e-01	-6.00000e-01	1.50000e-01	-3.74000e-02
-2.49735e-01	-5.36155e-05	-4.18624e-06	3.28406e-04	7.09266e-01	2.83706e-01	1.52749e-06	1.06394e-06	5.00127e-08	4.98553e-07	-9.18411e-08	-2.48160e-08	1	1.84800e-01	-6.00000e-01	1.50000e-01	-3.52000e-02
-2.49978e-01	-2.88529e-05	-1.57960e-05	3.16479e-04	7.09253e-01	2.83701e-01	1.52124e-06	1.06416e-06	4.90325e-08	4.97767e-07	-9.04765e-08	-2.45861e-08	1	1.87000e-01	-6.00000e-01	1.50000e-01	-3.30000e-02
-2.50166e-01	-1.23056e-05	-1.27656e-06	3.20124e-04	7.09241e-01	2.83696e-01	1.51512e-06	1.06433e-06	4.79772e-08	4.96908e-07	-8.90788e-08	-2.42967e-08	1	1.89200e-01	-6.00000e-01	1.50000e-01	-3.08000e-02
-2.50324e-01	-3.51249e-07	-8.59562e-06	3.27370e-04	7.09229e-01	2.83692e-01	1.50907e-06	1.06446e-06	4.68498e-08	4.96042e-07	-8.76403e-08	-2.39553e-08	1	1.91400e-01	-6.00000e-01	1.50000e-01	-2.86000e-02
-2.50486e-01	1.78262e-05	-2.14804e-05	3.20821e-04	7.09219e-01	2.83688e-01	1.50313e-06	1.06456e-06	4.56598e-08	4.95174e-07	-8.61646e-08	-2.35615e-08	1	1.93600e-01	-6.00000e-01	1.50000e-01	-2.64000e-02
-2.50616e-01	3.42203e-05	-1.60391e-05	3.25995e-04	7.09208e-01	2.83683e-01	1.49729e-06	1.06463e-06	4.44156e-08	4.94309e-07	-8.46552e-08	-2.31152e-08	1	1.95800e-01	-6.00000e-01	1.50000e-01	-2.42000e-02
-2.50728e-01	4.81101e-05	-1.32765e-05	3.20822e-04	7.09198e-01	2.83679e-01	1.49154e-06	1.06466e-06	4.31235e-08	4.93454e-07	-8.31157e-08	-2.26164e-08	1	1.98000e-01	-6.00000e-01	1.50000e-01	-2.20000e-02
-2.50785e-01	6.33347e-05	-9.41174e-06	3.28780e-04	7.09189e-01	2.83676e-01	1.48594e-06	1.06464e-06	4.17948e-08	4.92551e-07	-8.15623e-08	-2.20586e-08	1	2.00200e-01	-6.00000e-01	1.50000e-01	-1.98000e-02
-2.50781e-01	6.27136e-05	-1.12747e-05	3.33621e-04	7.09181e-01	2.83672e-01	1.48041e-06	1.06454e-06	4.04271e-08	4.91655e-07	-7.99865e-08	-2.14456e-08	1	2.02400e-01	-6.00000e-01	1.50000e-01	-1.76000e-02
-2.51014e-01	7.95835e-05	1.16227e-05	3.43859e-04	7.09171e-01	2.83669e-01	1.47510e-06	1.06473e-06	3.90954e-08	4.90954e-07	-7.84198e-08	-2.08451e-08	1	2.04600e-01	-6.00000e-01	1.50000e-01	-1.54000e-02
