Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.955982	-0.0292938	0.0214622	-0.00975577	0.688089	0.00205579	0.00192362	0.00139909	-0.000752058	-0.000109776	-6.35479E-05	0.1	0.15	-0.0132
0.955955	-0.02861	0.0204595	-0.0101498	0.688044	0.00205807	0.00201908	0.00144291	-0.000664751	-0.000112423	-0.000169302	0.1	0.15	-0.011
0.955898	-0.0276123	0.0180026	-0.0102509	0.687977	0.00214522	0.0020206	0.00152048	-0.000675664	-0.000132813	-0.000232607	0.1	0.15	-0.0088
0.955816	-0.026595	0.0154846	-0.00988899	0.687916	0.0022315	0.00204568	0.00159614	-0.000779463	-0.000105099	-0.000255252	0.1	0.15	-0.0066
0.955724	-0.0254212	0.0138238	-0.00916422	0.687866	0.00236347	0.00211211	0.00165551	-0.000870535	-4.71099E-05	-0.00028533	0.1	0.15	-0.0044
0.955614	-0.0243142	0.0133839	-0.00835799	0.687807	0.00251913	0.00211465	0.00169486	-0.000873948	-1.44178E-06	-0.000302268	0.1	0.15	-0.0022
0.955485	-0.0238569	0.0137938	-0.00735214	0.68773	0.00263264	0.00203634	0.00174826	-0.000794107	2.60651E-05	-0.000286504	0.1	0.15	0
0.955342	-0.0239268	0.0149001	-0.00621466	0.687631	0.00267278	0.00190502	0.00183368	-0.000664854	4.03909E-05	-0.000248866	0.1	0.15	0.0022
0.955214	-0.024054	0.016332	-0.00519581	0.687521	0.00265374	0.00181923	0.00194438	-0.000518496	3.85781E-05	-0.00021117	0.1	0.15	0.0044
0.95512	-0.024096	0.0174955	-0.00454924	0.687419	0.00259717	0.00184564	0.00205736	-0.000401738	1.32948E-05	-0.000183776	0.1	0.15	0.0066
0.955059	-0.0240986	0.0181079	-0.0043611	0.687342	0.00252139	0.00191772	0.00213972	-0.000359366	-2.27913E-05	-0.000162589	0.1	0.15	0.0088
0.95503	-0.0239483	0.0184614	-0.00457206	0.687296	0.002457	0.00196023	0.0021739	-0.000388767	-6.49575E-05	-0.000136526	0.1	0.15	0.011
0.955022	-0.0234718	0.0191535	-0.00510112	0.687288	0.00241957	0.00194555	0.00216137	-0.000458241	-0.000110148	-0.000101649	0.1	0.15	0.0132
0.954989	-0.02231	0.0203454	-0.00575201	0.687298	0.00241839	0.00183603	0.00213879	-0.000545802	-0.000102157	-0.000054783	0.1	0.15	0.0154
0.954917	-0.0201716	0.0212201	-0.00626668	0.687309	0.00242675	0.00169011	0.00212526	-0.000599051	-4.17793E-05	-3.34805E-05	0.1	0.15	0.0176
0.954828	-0.0170566	0.0213354	-0.00644171	0.687317	0.00243232	0.0015538	0.00214293	-0.000577125	3.53811E-05	-0.000042651	0.1	0.15	0.0198
0.954757	-0.0135249	0.0208459	-0.00620575	0.687324	0.00245184	0.001495	0.00219515	-0.000503961	9.46754E-05	-8.84854E-05	0.1	0.15	0.022
0.95472	-0.0102044	0.020126	-0.00558738	0.687328	0.00248428	0.001513	0.00227261	-0.000418957	0.00012063	-0.000166535	0.1	0.15	0.0242
0.954715	-0.00745651	0.0193623	-0.00462592	0.687331	0.00254387	0.00155871	0.00235796	-0.000350298	0.000119012	-0.000254274	0.1	0.15	0.0264
0.954735	-0.00535955	0.0185373	-0.00336131	0.687333	0.00264196	0.00160155	0.00243189	-0.000326511	0.00011722	-0.000336075	0.1	0.15	0.0286
0.954764	-0.00376481	0.0175525	-0.00188683	0.687339	0.00276733	0.00163794	0.0024776	-0.000353227	0.000136001	-0.000408438	0.1	0.15	0.0308
