x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.34689 	 -1.19814 	-0.36094 	 -1.18929 	-0.34689 	 -1.15539 	-0.33283 	 -1.03991 	-0.34689 	 -1.14424 	-0.36094 	 -1.16352 	-0.34689 	 -1.14795 	-0.33283 	 -1.14645 	-0.34689 	 -1.19814 	 
-0.34333 	 -1.19922 	-0.35733 	 -1.19633 	-0.34333 	 -1.14610 	-0.32932 	 -1.03538 	-0.34333 	 -1.14278 	-0.35733 	 -1.16086 	-0.34333 	 -1.14397 	-0.32932 	 -1.14217 	-0.34333 	 -1.19922 	 
-0.33973 	 -1.19742 	-0.35368 	 -1.20392 	-0.33973 	 -1.14030 	-0.32577 	 -1.03024 	-0.33973 	 -1.13741 	-0.35368 	 -1.15793 	-0.33973 	 -1.13943 	-0.32577 	 -1.13744 	-0.33973 	 -1.19742 	 
-0.33608 	 -1.19202 	-0.34998 	 -1.20955 	-0.33608 	 -1.13490 	-0.32217 	 -1.02503 	-0.33608 	 -1.12827 	-0.34998 	 -1.16095 	-0.33608 	 -1.13531 	-0.32217 	 -1.13223 	-0.33608 	 -1.19202 	 
-0.33239 	 -1.18316 	-0.34623 	 -1.21296 	-0.33239 	 -1.12870 	-0.31853 	 -1.02162 	-0.33239 	 -1.11952 	-0.34623 	 -1.16899 	-0.33239 	 -1.13221 	-0.31853 	 -1.12624 	-0.33239 	 -1.18316 	 
-0.32866 	 -1.17283 	-0.34244 	 -1.21032 	-0.32866 	 -1.12305 	-0.31485 	 -1.01764 	-0.32866 	 -1.11146 	-0.34244 	 -1.17215 	-0.32866 	 -1.12944 	-0.31485 	 -1.11934 	-0.32866 	 -1.17283 	 
-0.32488 	 -1.16237 	-0.33861 	 -1.20160 	-0.32488 	 -1.11693 	-0.31112 	 -1.01023 	-0.32488 	 -1.10129 	-0.33861 	 -1.17080 	-0.32488 	 -1.12517 	-0.31112 	 -1.11165 	-0.32488 	 -1.16237 	 
-0.32105 	 -1.15199 	-0.33474 	 -1.19642 	-0.32105 	 -1.11306 	-0.30736 	 -1.00373 	-0.32105 	 -1.08523 	-0.33474 	 -1.16463 	-0.32105 	 -1.12036 	-0.30736 	 -1.10309 	-0.32105 	 -1.15199 	 
-0.31719 	 -1.14324 	-0.33081 	 -1.19413 	-0.31719 	 -1.10925 	-0.30355 	 -0.99974 	-0.31719 	 -1.06565 	-0.33081 	 -1.15082 	-0.31719 	 -1.11661 	-0.30355 	 -1.09362 	-0.31719 	 -1.14324 	 
-0.31328 	 -1.13682 	-0.32685 	 -1.18770 	-0.31328 	 -1.09721 	-0.29969 	 -0.99529 	-0.31328 	 -1.05201 	-0.32685 	 -1.13525 	-0.31328 	 -1.11209 	-0.29969 	 -1.08314 	-0.31328 	 -1.13682 	 
-0.30933 	 -1.13081 	-0.32284 	 -1.17993 	-0.30933 	 -1.08103 	-0.29580 	 -0.98969 	-0.30933 	 -1.04104 	-0.32284 	 -1.12302 	-0.30933 	 -1.10550 	-0.29580 	 -1.07207 	-0.30933 	 -1.13081 	 
-0.30534 	 -1.12375 	-0.31879 	 -1.17432 	-0.30534 	 -1.07006 	-0.29187 	 -0.98215 	-0.30534 	 -1.02724 	-0.31879 	 -1.11531 	-0.30534 	 -1.09814 	-0.29187 	 -1.06140 	-0.30534 	 -1.12375 	 
-0.30130 	 -1.11500 	-0.31470 	 -1.16674 	-0.30130 	 -1.06416 	-0.28789 	 -0.97445 	-0.30130 	 -1.01503 	-0.31470 	 -1.10916 	-0.30130 	 -1.09009 	-0.28789 	 -1.05053 	-0.30130 	 -1.11500 	 
-0.29723 	 -1.10375 	-0.31056 	 -1.15199 	-0.29723 	 -1.05853 	-0.28388 	 -0.96919 	-0.29723 	 -1.00303 	-0.31056 	 -1.09848 	-0.29723 	 -1.07991 	-0.28388 	 -1.03941 	-0.29723 	 -1.10375 	 
-0.29311 	 -1.09010 	-0.30639 	 -1.13980 	-0.29311 	 -1.05032 	-0.27982 	 -0.96517 	-0.29311 	 -0.99034 	-0.30639 	 -1.08960 	-0.29311 	 -1.06732 	-0.27982 	 -1.02982 	-0.29311 	 -1.09010 	 
-0.28896 	 -1.07667 	-0.30217 	 -1.13842 	-0.28896 	 -1.04080 	-0.27573 	 -0.96416 	-0.28896 	 -0.98381 	-0.30217 	 -1.08376 	-0.28896 	 -1.05342 	-0.27573 	 -1.02100 	-0.28896 	 -1.07667 	 
-0.28476 	 -1.06576 	-0.29791 	 -1.13413 	-0.28476 	 -1.02898 	-0.27160 	 -0.96506 	-0.28476 	 -0.98497 	-0.29791 	 -1.06991 	-0.28476 	 -1.04029 	-0.27160 	 -1.01115 	-0.28476 	 -1.06576 	 
-0.28053 	 -1.05547 	-0.29361 	 -1.11837 	-0.28053 	 -1.01555 	-0.26743 	 -0.96063 	-0.28053 	 -0.98818 	-0.29361 	 -1.05420 	-0.28053 	 -1.02911 	-0.26743 	 -1.00074 	-0.28053 	 -1.05547 	 
-0.27625 	 -1.04427 	-0.28927 	 -1.10080 	-0.27625 	 -1.00765 	-0.26322 	 -0.95183 	-0.27625 	 -0.98924 	-0.28927 	 -1.04849 	-0.27625 	 -1.01789 	-0.26322 	 -0.98897 	-0.27625 	 -1.04427 	 
