x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.02554 	 -0.00110 	-0.03443 	 -0.00137 	-0.02554 	 -0.00120 	-0.01664 	 -0.00113 	-0.02554 	 -0.00078 	-0.03443 	 -0.00087 	-0.02554 	 -0.00071 	-0.01664 	 -0.00112 	-0.02554 	 -0.00110 	 
-0.02009 	 -0.00106 	-0.02889 	 -0.00140 	-0.02009 	 -0.00121 	-0.01128 	 -0.00119 	-0.02009 	 -0.00076 	-0.02889 	 -0.00091 	-0.02009 	 -0.00075 	-0.01128 	 -0.00110 	-0.02009 	 -0.00106 	 
-0.01463 	 -0.00100 	-0.02333 	 -0.00141 	-0.01463 	 -0.00120 	-0.00591 	 -0.00128 	-0.01463 	 -0.00080 	-0.02333 	 -0.00094 	-0.01463 	 -0.00078 	-0.00591 	 -0.00113 	-0.01463 	 -0.00100 	 
-0.00917 	 -0.00094 	-0.01778 	 -0.00138 	-0.00917 	 -0.00115 	-0.00055 	 -0.00136 	-0.00917 	 -0.00088 	-0.01778 	 -0.00093 	-0.00917 	 -0.00083 	-0.00055 	 -0.00118 	-0.00917 	 -0.00094 	 
-0.00371 	 -0.00092 	-0.01222 	 -0.00131 	-0.00371 	 -0.00111 	0.00482 	 -0.00136 	-0.00371 	 -0.00095 	-0.01222 	 -0.00087 	-0.00371 	 -0.00088 	0.00482 	 -0.00121 	-0.00371 	 -0.00092 	 
0.00176 	 -0.00091 	-0.00666 	 -0.00123 	0.00176 	 -0.00112 	0.01019 	 -0.00134 	0.00176 	 -0.00102 	-0.00666 	 -0.00077 	0.00176 	 -0.00092 	0.01019 	 -0.00118 	0.00176 	 -0.00091 	 
0.00723 	 -0.00091 	-0.00110 	 -0.00117 	0.00723 	 -0.00119 	0.01557 	 -0.00138 	0.00723 	 -0.00107 	-0.00110 	 -0.00065 	0.00723 	 -0.00095 	0.01557 	 -0.00107 	0.00723 	 -0.00091 	 
0.01269 	 -0.00090 	0.00446 	 -0.00116 	0.01269 	 -0.00126 	0.02094 	 -0.00144 	0.01269 	 -0.00109 	0.00446 	 -0.00056 	0.01269 	 -0.00098 	0.02094 	 -0.00093 	0.01269 	 -0.00090 	 
0.01816 	 -0.00087 	0.01003 	 -0.00119 	0.01816 	 -0.00127 	0.02631 	 -0.00150 	0.01816 	 -0.00108 	0.01003 	 -0.00055 	0.01816 	 -0.00101 	0.02631 	 -0.00082 	0.01816 	 -0.00087 	 
0.02363 	 -0.00085 	0.01559 	 -0.00123 	0.02363 	 -0.00119 	0.03168 	 -0.00155 	0.02363 	 -0.00106 	0.01559 	 -0.00064 	0.02363 	 -0.00107 	0.03168 	 -0.00082 	0.02363 	 -0.00085 	 
0.02909 	 -0.00086 	0.02114 	 -0.00128 	0.02909 	 -0.00105 	0.03705 	 -0.00164 	0.02909 	 -0.00103 	0.02114 	 -0.00082 	0.02909 	 -0.00114 	0.03705 	 -0.00087 	0.02909 	 -0.00086 	 
0.03455 	 -0.00089 	0.02670 	 -0.00131 	0.03455 	 -0.00095 	0.04241 	 -0.00166 	0.03455 	 -0.00102 	0.02670 	 -0.00105 	0.03455 	 -0.00118 	0.04241 	 -0.00089 	0.03455 	 -0.00089 	 
0.04001 	 -0.00095 	0.03225 	 -0.00134 	0.04001 	 -0.00094 	0.04778 	 -0.00159 	0.04001 	 -0.00105 	0.03225 	 -0.00130 	0.04001 	 -0.00117 	0.04778 	 -0.00089 	0.04001 	 -0.00095 	 
