   n        time         Clp         Cdv
     285   185.50030   0.6320786   0.2689253
     286   185.62520   0.6303529   0.2696456
     287   185.75020   0.6308813   0.2702023
     288   185.87530   0.6279450   0.2697187
     289   186.00020   0.6272759   0.2700593
     290   186.12510   0.6266633   0.2712933
     291   186.25010   0.6243891   0.2712851
     292   186.37510   0.6202112   0.2708150
     293   186.50010   0.6167573   0.2702002
     294   186.62510   0.6149110   0.2700491
     295   186.75020   0.6131390   0.2704071
     296   186.87520   0.6108921   0.2703458
     297   187.00020   0.6103525   0.2709519
     298   187.12520   0.6093542   0.2713135
     299   187.25010   0.6078897   0.2711960
     300   187.37530   0.6042504   0.2703002
     301   187.50010   0.6014924   0.2693939
     302   187.62520   0.5982350   0.2681601
     303   187.75020   0.5967873   0.2674631
     304   187.87520   0.5954109   0.2670687
     305   188.00020   0.5945094   0.2669657
     306   188.12530   0.5940093   0.2664074
     307   188.25020   0.5919052   0.2655614
     308   188.37510   0.5918467   0.2655061
     309   188.50010   0.5905166   0.2653964
     310   188.62510   0.5909811   0.2650645
     311   188.75010   0.5893707   0.2641256
     312   188.87510   0.5896550   0.2637149
     313   189.00010   0.5878745   0.2627637
     314   189.12520   0.5853523   0.2616545
     315   189.25010   0.5835017   0.2599133
     316   189.37530   0.5809256   0.2586800
     317   189.50020   0.5806271   0.2585428
     318   189.62520   0.5784407   0.2573230
     319   189.75020   0.5749094   0.2554777
     320   189.87530   0.5738671   0.2542872
     321   190.00020   0.5731050   0.2526672
     322   190.12520   0.5726405   0.2524386
     323   190.25030   0.5734788   0.2533183
     324   190.37520   0.5751738   0.2548107
     325   190.50020   0.5777498   0.2567128
     326   190.62520   0.5795915   0.2578580
     327   190.75020   0.5809583   0.2580572
     328   190.87520   0.5827554   0.2589454
     329   191.00010   0.5853715   0.2599015
     330   191.12520   0.5874644   0.2613658
     331   191.25020   0.5919030   0.2639118
     332   191.37520   0.5955729   0.2665788
     333   191.50020   0.5973471   0.2687287
     334   191.62520   0.6014006   0.2712306
     335   191.75010   0.6047978   0.2734577
     336   191.87530   0.6059263   0.2748857
     337   192.00030   0.6066665   0.2757341
     338   192.12510   0.6065120   0.2756296
     339   192.25020   0.6071717   0.2757117
     340   192.37520   0.6087803   0.2762129
     341   192.50010   0.6096035   0.2767102
     342   192.62520   0.6077003   0.2761123
     343   192.75020   0.6057622   0.2749190
     344   192.87520   0.6047020   0.2743226
     345   193.00020   0.6036334   0.2736575
     346   193.12520   0.6021447   0.2729043
     347   193.25020   0.5999414   0.2715626
     348   193.37520   0.5997459   0.2710776
     349   193.50020   0.5973893   0.2698857
     350   193.62530   0.5957057   0.2695139
     351   193.75020   0.5951161   0.2692072
     352   193.87510   0.5942722   0.2688035
     353   194.00020   0.5936093   0.2687815
     354   194.12510   0.5940394   0.2691706
     355   194.25020   0.5926400   0.2691301
     356   194.37520   0.5922388   0.2696828
     357   194.50020   0.5921829   0.2695757
     358   194.62510   0.5919441   0.2703589
     359   194.75020   0.5949022   0.2720257
     360   194.87520   0.5970344   0.2737319
     361   195.00030   0.6003261   0.2763395
     362   195.12520   0.6033412   0.2790499
     363   195.25020   0.6051797   0.2806391
     364   195.37520   0.6062205   0.2816976
     365   195.50030   0.6079946   0.2830432
     366   195.62530   0.6097333   0.2840400
     367   195.75020   0.6097558   0.2841995
     368   195.87520   0.6116712   0.2855465
     369   196.00030   0.6132277   0.2872575
     370   196.12520   0.6153717   0.2887592
     371   196.25020   0.6148296   0.2895330
     372   196.37520   0.6158806   0.2909722
     373   196.50030   0.6173152   0.2919861
     374   196.62520   0.6183952   0.2928108
     375   196.75030   0.6195947   0.2940776
     376   196.87510   0.6227760   0.2953188
     377   197.00020   0.6238627   0.2965379
     378   197.12520   0.6228448   0.2969497
     379   197.25020   0.6244338   0.2987109
     380   197.37530   0.6241910   0.2992935
     381   197.50020   0.6238811   0.2995434
     382   197.62510   0.6239861   0.3006904
     383   197.75030   0.6258907   0.3027160
     384   197.87510   0.6285496   0.3043782
     385   198.00020   0.6305467   0.3055821
     386   198.12510   0.6323203   0.3064325
     387   198.25020   0.6316716   0.3059226
     388   198.37520   0.6306655   0.3052792
     389   198.50020   0.6276228   0.3040754
     390   198.62510   0.6272519   0.3042352
     391   198.75020   0.6258272   0.3044063
     392   198.87530   0.6248950   0.3049889
     393   199.00020   0.6208820   0.3040716
     394   199.12530   0.6153014   0.3025502
     395   199.25030   0.6114638   0.3014992
     396   199.37530   0.6053936   0.3000905
     397   199.50020   0.5998764   0.2977840
     398   199.62510   0.5945893   0.2952158
     399   199.75020   0.5887855   0.2915460
     400   199.87530   0.5828610   0.2875042
