   n        time         Clp         Cdp
     426   113.25020   0.5835844   0.2599201
     427   113.37520   0.5854956   0.2611721
     428   113.50020   0.5856135   0.2617107
     429   113.62520   0.5869159   0.2622205
     430   113.75030   0.5884608   0.2634437
     431   113.87520   0.5900110   0.2649926
     432   114.00020   0.5914748   0.2663372
     433   114.12530   0.5917248   0.2668344
     434   114.25020   0.5919063   0.2672453
     435   114.37530   0.5928377   0.2679936
     436   114.50030   0.5938332   0.2688677
     437   114.62530   0.5946388   0.2696020
     438   114.75020   0.5948770   0.2703109
     439   114.87520   0.5961332   0.2713239
     440   115.00020   0.5960071   0.2717549
     441   115.12530   0.5968692   0.2719354
     442   115.25020   0.5970028   0.2724736
     443   115.37520   0.5987482   0.2737833
     444   115.50020   0.6002755   0.2748639
     445   115.62530   0.6017450   0.2759671
     446   115.75020   0.6031995   0.2772465
     447   115.87520   0.6043011   0.2784496
     448   116.00020   0.6047078   0.2791075
     449   116.12530   0.6052309   0.2797637
     450   116.25020   0.6049109   0.2801710
     451   116.37520   0.6043755   0.2805119
     452   116.50010   0.6025685   0.2801269
     453   116.62520   0.5988358   0.2790993
     454   116.75030   0.5965476   0.2784632
     455   116.87530   0.5941474   0.2776063
     456   117.00030   0.5919808   0.2767017
     457   117.12510   0.5884266   0.2748723
     458   117.25030   0.5859787   0.2735737
     459   117.37520   0.5838416   0.2728545
     460   117.50020   0.5810571   0.2721492
     461   117.62530   0.5785908   0.2717708
     462   117.75020   0.5770846   0.2715681
     463   117.87510   0.5751815   0.2711030
     464   118.00020   0.5741601   0.2707425
     465   118.12530   0.5749674   0.2712999
     466   118.25020   0.5757431   0.2721289
     467   118.37530   0.5749577   0.2719823
     468   118.50020   0.5732033   0.2714174
     469   118.62520   0.5725982   0.2710537
     470   118.75020   0.5728659   0.2709953
     471   118.87520   0.5736053   0.2712551
     472   119.00020   0.5748073   0.2717045
     473   119.12520   0.5742051   0.2715767
     474   119.25030   0.5732480   0.2707829
     475   119.37520   0.5716596   0.2698380
     476   119.50020   0.5704126   0.2688909
     477   119.62530   0.5685883   0.2680404
     478   119.75020   0.5676338   0.2671744
     479   119.87530   0.5659534   0.2658324
