"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"vtkValidPointMask"	"Time"	"Point Coordinates:0"	"Point Coordinates:1"	"Point Coordinates:2"
9.26260e-01	-1.77233e-02	-9.76714e-02	3.85904e-02	6.68575e-01	2.64981e-01	-2.85691e-01	1	1.15000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.99241e-01	2.07785e-02	-1.76572e-01	3.81973e-02	6.35387e-01	2.46800e-01	-4.93117e-01	1	1.16000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.14303e-01	-2.49068e-02	-1.47557e-01	-1.66725e-02	5.56651e-01	2.17092e-01	-9.85217e-01	1	1.17000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.13103e-01	-2.82378e-01	3.85222e-02	-4.63985e-02	5.50717e-01	1.99779e-01	-1.02230e+00	1	1.18000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.94534e-01	-1.53197e-01	1.64798e-01	-8.68875e-02	6.40224e-01	2.43082e-01	-4.62885e-01	1	1.19000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.11756e-01	-6.64931e-03	4.35373e-02	-1.19473e-01	6.58231e-01	2.59736e-01	-3.50343e-01	1	1.20000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.94463e-01	9.62769e-03	-3.14178e-02	-1.86832e-02	6.38660e-01	2.55145e-01	-4.72661e-01	1	1.21000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.56716e-01	-9.45576e-02	-3.39841e-02	5.19763e-02	6.03088e-01	2.38248e-01	-6.94987e-01	1	1.22000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.55984e-01	-2.05581e-01	8.95995e-02	-3.38571e-02	6.00324e-01	2.28111e-01	-7.12261e-01	1	1.23000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.97812e-01	-1.40682e-01	1.21651e-01	-2.95765e-02	6.37503e-01	2.47101e-01	-4.79892e-01	1	1.24000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.24913e-01	-3.59273e-02	1.03693e-01	-1.76233e-02	6.66516e-01	2.63935e-01	-2.98563e-01	1	1.25000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.37015e-01	6.93842e-02	1.75406e-02	3.76027e-03	6.83059e-01	2.72127e-01	-1.95165e-01	1	1.26000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.45687e-01	1.95278e-01	-1.78086e-03	-3.52276e-02	6.73221e-01	2.60960e-01	-2.56657e-01	1	1.27000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.80255e-01	2.43336e-01	-2.47442e-02	-5.51126e-02	6.12995e-01	2.30915e-01	-6.33064e-01	1	1.28000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.14613e-01	1.57441e-01	6.52200e-02	-4.06345e-02	5.66707e-01	2.19147e-01	-9.22368e-01	1	1.29000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
7.90816e-01	7.87897e-02	9.14967e-02	1.45516e-02	5.42236e-01	2.13154e-01	-1.07531e+00	1	1.30000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.45914e-01	-1.52143e-01	1.74072e-01	8.54273e-03	5.81823e-01	2.20075e-01	-8.27891e-01	1	1.31000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.08561e-01	-1.51877e-01	1.41968e-01	-6.71564e-03	6.48864e-01	2.50021e-01	-4.08884e-01	1	1.32000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.12665e-01	-6.69776e-03	6.83896e-02	-1.19729e-02	6.63220e-01	2.64222e-01	-3.19163e-01	1	1.33000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.99436e-01	-2.85830e-02	-8.31249e-03	6.62155e-04	6.46178e-01	2.58274e-01	-4.25674e-01	1	1.34000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.82718e-01	-8.34987e-02	3.00757e-03	-1.50880e-02	6.30223e-01	2.50456e-01	-5.25392e-01	1	1.35000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
