"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-6.42629e-01	1.45853e-01	9.25823e-03	1.19770e+00	6.68322e-01	9.67454e-01	6.87515e-03	4.93280e-02	2.22463e-03	-6.97754e-03	2.15834e-04	5.05149e-04	1	9.90000e-02	7.50000e-01	2.50000e-01	-1.10000e-02
-6.61194e-01	1.75562e-01	-4.98112e-02	1.17814e+00	6.68276e-01	8.52447e-01	6.77631e-03	4.96029e-02	2.23195e-03	-6.80289e-03	2.93009e-04	5.28308e-04	1	1.01200e-01	7.50000e-01	2.50000e-01	-8.80000e-03
-6.84442e-01	2.57678e-01	-6.35953e-02	1.15188e+00	6.68234e-01	7.70570e-01	6.66637e-03	4.99033e-02	2.24080e-03	-6.56365e-03	3.75267e-04	5.54360e-04	1	1.03400e-01	7.50000e-01	2.50000e-01	-6.60000e-03
-6.64955e-01	3.48551e-01	-9.33314e-02	1.12213e+00	6.68202e-01	7.63991e-01	6.56106e-03	5.01617e-02	2.24711e-03	-6.30171e-03	4.49261e-04	5.75870e-04	1	1.05600e-01	7.50000e-01	2.50000e-01	-4.40000e-03
-6.13177e-01	3.59396e-01	-1.56789e-01	1.08919e+00	6.68183e-01	7.96730e-01	6.47216e-03	5.03628e-02	2.25074e-03	-6.09253e-03	5.06901e-04	5.88538e-04	1	1.07800e-01	7.50000e-01	2.50000e-01	-2.20000e-03
-5.71280e-01	2.75723e-01	-2.71954e-01	1.05183e+00	6.68176e-01	8.20345e-01	6.40817e-03	5.05248e-02	2.25537e-03	-5.98638e-03	5.44841e-04	5.91849e-04	1	1.10000e-01	7.50000e-01	2.50000e-01	0.00000e+00
-5.51020e-01	1.50087e-01	-4.28236e-01	1.01397e+00	6.68178e-01	8.33836e-01	6.39263e-03	5.06484e-02	2.26740e-03	-5.95436e-03	5.59144e-04	5.85421e-04	1	1.12200e-01	7.50000e-01	2.50000e-01	2.20000e-03
-5.52554e-01	7.32956e-03	-5.22903e-01	9.79631e-01	6.68178e-01	8.10914e-01	6.43495e-03	5.07090e-02	2.29231e-03	-5.91674e-03	5.49351e-04	5.69022e-04	1	1.14400e-01	7.50000e-01	2.50000e-01	4.40000e-03
-5.88427e-01	-1.44731e-01	-4.50003e-01	9.40595e-01	6.68171e-01	7.00894e-01	6.48077e-03	5.07148e-02	2.33032e-03	-5.81906e-03	5.25755e-04	5.38480e-04	1	1.16600e-01	7.50000e-01	2.50000e-01	6.60000e-03
-6.51183e-01	-2.68664e-01	-2.73322e-01	8.85903e-01	6.68154e-01	5.82269e-01	6.48593e-03	5.07321e-02	2.37599e-03	-5.67730e-03	5.05013e-04	4.82319e-04	1	1.18800e-01	7.50000e-01	2.50000e-01	8.80000e-03
-7.10699e-01	-3.58058e-01	-1.66374e-01	8.25227e-01	6.68129e-01	5.18512e-01	6.45452e-03	5.08077e-02	2.42388e-03	-5.55824e-03	4.94833e-04	3.95221e-04	1	1.21000e-01	7.50000e-01	2.50000e-01	1.10000e-02
