Density	Momentum:0	Momentum:1	Momentum:2	Pressure	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.911311	-0.112412	-0.129245	0.0143466	0.24843	0.0240087	0.0131769	0.00426175	-0.0092269	-0.000338423	0.000509546	0.5	0.15	0.0726
0.911289	-0.111528	-0.127442	0.0156745	0.248581	0.0241224	0.0132148	0.00413196	-0.00922532	-0.000308072	0.000461662	0.5	0.15	0.0748
0.911312	-0.111318	-0.125601	0.0167471	0.2487	0.0242301	0.0132174	0.00403121	-0.00925025	-0.000243549	0.000395564	0.5	0.15	0.077
0.911392	-0.111297	-0.123617	0.017544	0.248819	0.0243819	0.0132375	0.00397459	-0.00939696	-0.000165565	0.000341544	0.5	0.15	0.0792
0.911482	-0.111037	-0.121589	0.0180158	0.248947	0.0245164	0.0131191	0.00397069	-0.00958094	-0.000109579	0.000300715	0.5	0.15	0.0814
0.91156	-0.110624	-0.119893	0.0182183	0.249055	0.0246506	0.0128447	0.00400645	-0.00955043	-8.64732E-05	0.000259071	0.5	0.15	0.0836
0.911623	-0.110408	-0.118611	0.0183087	0.249126	0.024787	0.0126202	0.00405866	-0.00918832	-6.99417E-05	0.000186015	0.5	0.15	0.0858
0.91162	-0.110539	-0.117405	0.0183067	0.249166	0.0246448	0.0126131	0.00411867	-0.00860113	-0.000062829	6.75515E-05	0.5	0.15	0.088
0.911492	-0.110783	-0.11616	0.018079	0.249184	0.0241219	0.012658	0.0041971	-0.00801162	-6.29613E-05	-6.49839E-05	0.5	0.15	0.0902
0.911257	-0.110805	-0.115393	0.0175966	0.249175	0.0235389	0.0125772	0.00429866	-0.00750404	-2.21056E-05	-0.000169844	0.5	0.15	0.0924
0.910972	-0.110573	-0.115694	0.0170117	0.249117	0.023035	0.0125403	0.0044054	-0.00708707	5.98954E-05	-0.000200498	0.5	0.15	0.0946
0.910672	-0.110308	-0.117004	0.0164843	0.248999	0.0225143	0.0126674	0.00450722	-0.00676718	0.000131468	-0.000140703	0.5	0.15	0.0968
0.910391	-0.11015	-0.118902	0.0160617	0.248841	0.0219191	0.0128096	0.0046036	-0.0065472	0.000132266	-5.64518E-05	0.5	0.15	0.099
0.910207	-0.110018	-0.121122	0.0156535	0.248673	0.0213695	0.0129065	0.00468606	-0.00639911	6.90572E-05	7.08223E-08	0.5	0.15	0.1012
0.910139	-0.109643	-0.123482	0.015129	0.248528	0.0209063	0.0129802	0.00474651	-0.00637763	3.04219E-05	2.10524E-05	0.5	0.15	0.1034
0.910129	-0.108679	-0.125812	0.0144701	0.24843	0.0204693	0.0130176	0.00477711	-0.00653665	0.000104848	1.80657E-05	0.5	0.15	0.1056
0.910148	-0.107091	-0.128027	0.0137615	0.24838	0.0200905	0.0129985	0.00478557	-0.00678192	0.000217273	1.82675E-05	0.5	0.15	0.1078
0.910209	-0.105469	-0.129964	0.0131117	0.24836	0.0199027	0.0128912	0.00474623	-0.00699056	0.000262331	2.15762E-05	0.5	0.15	0.11
