"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Points:0"	"Points:1"	"Points:2"
8.98660e-01	2.22086e-18	-1.38917e-19	0.00000e+00	6.41901e-01	2.56760e-01	-1.24303e-04	2.16999e-05	1.02172e-05	-1.57729e-03	-9.04814e-01	2.04981e-01	6.16326e-02	1.10000e-01
8.98669e-01	2.49883e-18	4.85931e-19	0.00000e+00	6.41907e-01	2.56763e-01	-1.26401e-04	2.22012e-05	1.07624e-05	-1.60420e-03	-9.04739e-01	2.09237e-01	6.08942e-02	1.10000e-01
8.98718e-01	8.33084e-19	-5.54973e-19	0.00000e+00	6.41942e-01	2.56777e-01	-1.30196e-04	2.29549e-05	8.81302e-06	-1.65255e-03	-9.04298e-01	2.13470e-01	6.01553e-02	1.10000e-01
8.98782e-01	-1.38778e-18	2.77452e-19	0.00000e+00	6.41988e-01	2.56795e-01	-1.33845e-04	2.37663e-05	4.38320e-06	-1.69923e-03	-9.03723e-01	2.17682e-01	5.94159e-02	1.10000e-01
8.98784e-01	-2.35922e-18	-6.92155e-20	0.00000e+00	6.41989e-01	2.56796e-01	-1.33700e-04	2.38912e-05	2.19767e-06	-1.69773e-03	-9.03705e-01	2.21872e-01	5.86761e-02	1.10000e-01
8.98663e-01	-5.54626e-19	-1.38674e-19	0.00000e+00	6.41903e-01	2.56761e-01	-1.32305e-04	2.38365e-05	4.95058e-06	-1.68043e-03	-9.04784e-01	2.26039e-01	5.79362e-02	1.10000e-01
8.98589e-01	-3.90482e-32	-1.24879e-18	0.00000e+00	6.41850e-01	2.56740e-01	-1.35700e-04	2.46121e-05	7.76457e-06	-1.72392e-03	-9.05449e-01	2.30183e-01	5.71962e-02	1.10000e-01
8.98696e-01	-6.24549e-18	-6.94236e-20	0.00000e+00	6.41926e-01	2.56770e-01	-1.43501e-04	2.60750e-05	4.80665e-06	-1.82313e-03	-9.04497e-01	2.34304e-01	5.64563e-02	1.10000e-01
8.98845e-01	8.32043e-19	1.11019e-18	0.00000e+00	6.42032e-01	2.56813e-01	-1.52488e-04	2.78097e-05	-2.58462e-06	-1.93754e-03	-9.03167e-01	2.38401e-01	5.57166e-02	1.10000e-01
8.98970e-01	5.27418e-18	1.31867e-18	0.00000e+00	6.42122e-01	2.56849e-01	-1.60189e-04	2.94519e-05	-1.10871e-05	-2.03592e-03	-9.02052e-01	2.42475e-01	5.49772e-02	1.10000e-01
8.99099e-01	-2.77903e-19	-1.38771e-18	0.00000e+00	6.42213e-01	2.56885e-01	-1.62961e-04	3.01776e-05	-1.97573e-05	-2.07164e-03	-9.00905e-01	2.46525e-01	5.42383e-02	1.10000e-01
8.99167e-01	-5.55528e-19	-1.38813e-19	0.00000e+00	6.42263e-01	2.56905e-01	-1.61575e-04	3.01048e-05	-2.50672e-05	-2.05445e-03	-9.00288e-01	2.50551e-01	5.35000e-02	1.10000e-01
8.99147e-01	-1.52690e-18	3.46945e-23	0.00000e+00	6.42249e-01	2.56899e-01	-1.60169e-04	2.99562e-05	-2.41017e-05	-2.03682e-03	-9.00464e-01	2.54552e-01	5.27623e-02	1.10000e-01
8.99074e-01	1.38431e-19	3.46945e-23	0.00000e+00	6.42196e-01	2.56879e-01	-1.59785e-04	3.00838e-05	-2.07490e-05	-2.03240e-03	-9.01116e-01	2.58528e-01	5.20256e-02	1.10000e-01
8.99107e-01	-2.77695e-19	-4.85723e-19	0.00000e+00	6.42220e-01	2.56888e-01	-1.62597e-04	3.07473e-05	-1.93784e-05	-2.06848e-03	-9.00819e-01	2.62479e-01	5.12897e-02	1.10000e-01
8.99367e-01	1.11029e-18	1.45692e-18	0.00000e+00	6.42405e-01	2.56962e-01	-1.65219e-04	3.12377e-05	-1.98163e-05	-2.10182e-03	-8.98506e-01	2.66405e-01	5.05550e-02	1.10000e-01
8.99558e-01	-1.52718e-18	-7.63348e-19	0.00000e+00	6.42542e-01	2.57017e-01	-1.58368e-04	3.01356e-05	-2.07646e-05	-2.01512e-03	-8.96797e-01	2.70306e-01	4.98214e-02	1.10000e-01
8.99404e-01	1.38500e-19	-1.38917e-19	0.00000e+00	6.42433e-01	2.56973e-01	-1.50797e-04	2.90165e-05	-1.85331e-05	-1.91953e-03	-8.98163e-01	2.74181e-01	4.90891e-02	1.10000e-01
8.99263e-01	1.80557e-18	1.04090e-18	0.00000e+00	6.42331e-01	2.56933e-01	-1.61285e-04	3.10957e-05	-1.18229e-05	-2.05318e-03	-8.99429e-01	2.78030e-01	4.83582e-02	1.10000e-01
8.99549e-01	-1.38778e-19	-1.38570e-19	0.00000e+00	6.42535e-01	2.57014e-01	-1.82057e-04	3.52197e-05	-1.04727e-05	-2.31790e-03	-8.96883e-01	2.81853e-01	4.76288e-02	1.10000e-01
9.00029e-01	-1.38570e-19	-2.77590e-19	0.00000e+00	6.42878e-01	2.57151e-01	-1.88682e-04	3.67564e-05	-2.19336e-05	-2.40285e-03	-8.92598e-01	2.85650e-01	4.69010e-02	1.10000e-01
9.00304e-01	5.55077e-18	-9.71376e-19	0.00000e+00	6.43075e-01	2.57230e-01	-1.79258e-04	3.50846e-05	-3.52025e-05	-2.28324e-03	-8.90135e-01	2.89421e-01	4.61749e-02	1.10000e-01
